task,station
1,100
2,100
3,100
4,98
5,99
6,98
7,84
8,100
9,91
10,98
11,100
12,99
13,94
14,97
15,76
16,100
17,11
18,97
19,97
20,97
21,76
22,98
23,100
24,95
25,94
26,99
27,95
28,97
29,99
30,93
31,93
32,94
33,82
34,96
35,91
36,93
37,98
38,82
39,91
40,91
41,93
42,75
43,61
44,56
45,11
46,95
47,11
48,82
49,96
50,73
51,86
52,91
53,84
54,28
55,96
56,76
57,93
58,75
59,73
60,72
61,84
62,61
63,28
64,76
65,75
66,76
67,93
68,93
69,61
70,56
71,76
72,93
73,61
74,84
75,73
76,72
77,25
78,61
79,72
80,72
81,86
82,86
83,76
84,91
85,56
86,56
87,56
88,28
89,86
90,91
91,73
92,56
93,11
94,25
95,82
96,72
97,25
98,61
99,76
100,25
