task,station
1,99
2,99
3,99
4,99
5,100
6,100
7,100
8,98
9,87
10,100
11,100
12,98
13,94
14,99
15,97
16,97
17,100
18,98
19,97
20,100
21,87
22,97
23,98
24,95
25,92
26,90
27,1
28,98
29,90
30,93
31,99
32,97
33,92
34,89
35,97
36,89
37,95
38,89
39,97
40,94
41,89
42,95
43,95
44,96
45,72
46,94
47,89
48,97
49,72
50,92
51,94
52,95
53,87
54,96
55,94
56,96
57,95
58,72
59,87
60,90
61,93
62,96
63,96
64,96
65,96
66,95
67,87
68,72
69,90
70,92
71,94
72,93
73,72
74,95
75,87
76,90
77,90
78,94
79,92
80,72
81,72
82,90
83,94
84,93
85,93
86,1
87,92
88,1
89,1
90,1
91,72
92,90
93,1
94,92
95,93
96,90
97,89
98,87
99,92
100,87
