task,station
1,92
2,94
3,84
4,95
5,95
6,100
7,100
8,98
9,99
10,93
11,91
12,99
13,94
14,96
15,88
16,91
17,79
18,97
19,17
20,90
21,98
22,86
23,87
24,88
25,86
26,87
27,73
28,93
29,90
30,97
31,16
32,27
33,78
34,83
35,92
36,96
37,83
38,71
39,76
40,82
41,40
42,75
43,49
44,77
45,89
46,76
47,68
48,1
49,7
50,82
51,84
52,77
53,89
54,40
55,81
56,55
57,63
58,79
59,1
60,37
61,68
62,75
63,54
64,78
65,56
66,67
67,80
68,81
69,30
70,38
71,73
72,63
73,53
74,51
75,66
76,67
77,24
78,60
79,18
80,72
81,60
82,17
83,56
84,53
85,18
86,66
87,6
88,27
89,54
90,6
91,49
92,37
93,25
94,38
95,25
96,7
97,24
98,16
99,45
100,30
