task,station
1,100
2,99
3,99
4,91
5,100
6,99
7,99
8,99
9,100
10,92
11,97
12,100
13,96
14,86
15,83
16,86
17,94
18,100
19,92
20,99
21,95
22,95
23,100
24,71
25,86
26,97
27,91
28,99
29,95
30,94
31,83
32,83
33,90
34,96
35,98
36,94
37,81
38,88
39,90
40,53
41,87
42,94
43,87
44,93
45,98
46,89
47,87
48,72
49,71
50,96
51,92
52,95
53,81
54,97
55,98
56,53
57,72
58,89
59,89
60,92
61,93
62,93
63,83
64,53
65,88
66,90
67,88
68,72
69,41
70,87
71,28
72,92
73,81
74,87
75,41
76,53
77,28
78,28
79,1
80,90
81,30
82,28
83,71
84,30
85,71
86,30
87,53
88,81
89,89
90,1
91,41
92,41
93,53
94,41
95,30
96,1
97,1
98,1
99,41
100,28
