task,station
1,99
2,98
3,99
4,99
5,99
6,99
7,99
8,99
9,97
10,98
11,92
12,97
13,76
14,92
15,98
16,96
17,97
18,96
19,51
20,92
21,60
22,98
23,93
24,51
25,93
26,76
27,93
28,96
29,92
30,92
31,60
32,93
33,91
34,98
35,92
36,91
37,93
38,92
39,98
40,71
41,24
42,91
43,93
44,92
45,97
46,71
47,91
48,98
49,92
50,76
51,51
52,24
53,91
54,92
55,97
56,98
57,51
58,60
59,24
60,71
61,76
62,92
63,51
64,86
65,24
66,86
67,97
68,89
69,96
70,51
71,24
72,51
73,24
74,51
75,24
76,76
77,86
78,24
79,97
80,86
81,96
82,93
83,93
84,86
85,86
86,93
87,60
88,60
89,89
90,89
91,86
92,71
93,89
94,89
95,60
96,51
97,60
98,71
99,76
100,24
