task,station
1,95
2,99
3,99
4,72
5,98
6,98
7,96
8,99
9,96
10,98
11,93
12,99
13,96
14,92
15,97
16,96
17,99
18,95
19,93
20,98
21,97
22,97
23,93
24,95
25,93
26,96
27,98
28,93
29,99
30,97
31,96
32,95
33,90
34,90
35,92
36,91
37,98
38,92
39,96
40,99
41,92
42,91
43,97
44,98
45,92
46,92
47,95
48,96
49,97
50,95
51,93
52,91
53,91
54,95
55,95
56,90
57,97
58,95
59,10
60,10
61,93
62,91
63,90
64,1
65,91
66,1
67,91
68,90
69,1
70,1
71,90
72,93
73,92
74,90
75,93
76,88
77,92
78,72
79,1
80,72
81,88
82,88
83,88
84,10
85,87
86,90
87,1
88,10
89,87
90,87
91,10
92,1
93,72
94,87
95,10
96,72
97,87
98,1
99,1
100,10
