task,station
1,100
2,100
3,99
4,99
5,100
6,100
7,95
8,100
9,98
10,1
11,100
12,93
13,99
14,98
15,95
16,100
17,91
18,99
19,96
20,95
21,92
22,93
23,98
24,1
25,97
26,72
27,97
28,95
29,1
30,48
31,99
32,97
33,93
34,93
35,95
36,99
37,48
38,93
39,95
40,1
41,97
42,93
43,99
44,97
45,94
46,96
47,96
48,99
49,90
50,91
51,92
52,99
53,91
54,96
55,99
56,98
57,90
58,72
59,94
60,96
61,97
62,91
63,96
64,98
65,98
66,94
67,72
68,96
69,98
70,90
71,93
72,93
73,48
74,97
75,90
76,98
77,72
78,98
79,72
80,94
81,93
82,92
83,90
84,97
85,91
86,72
87,72
88,94
89,93
90,92
91,91
92,92
93,1
94,1
95,1
96,90
97,1
98,48
99,90
100,90
