station,load,cycle_time
1,892,1000
6,981,1000
7,990,1000
16,999,1000
17,925,1000
18,955,1000
24,963,1000
25,951,1000
27,992,1000
30,893,1000
37,939,1000
38,967,1000
40,992,1000
45,644,1000
49,979,1000
51,710,1000
53,980,1000
54,937,1000
55,722,1000
56,983,1000
60,922,1000
63,927,1000
66,986,1000
67,947,1000
68,979,1000
71,647,1000
72,761,1000
73,981,1000
75,1000,1000
76,997,1000
77,991,1000
78,1000,1000
79,988,1000
80,657,1000
81,969,1000
82,970,1000
83,989,1000
84,991,1000
86,970,1000
87,910,1000
88,981,1000
89,970,1000
90,988,1000
91,923,1000
92,926,1000
93,964,1000
94,982,1000
95,997,1000
96,967,1000
97,971,1000
98,976,1000
99,887,1000
100,905,1000
