station,load,cycle_time
13,809,1000
14,983,1000
15,992,1000
19,995,1000
20,873,1000
21,985,1000
25,759,1000
27,990,1000
29,883,1000
38,961,1000
39,963,1000
40,997,1000
42,993,1000
43,772,1000
44,987,1000
45,985,1000
46,966,1000
47,994,1000
48,998,1000
49,993,1000
50,938,1000
51,678,1000
52,999,1000
53,993,1000
54,998,1000
57,996,1000
62,977,1000
64,982,1000
65,992,1000
68,991,1000
71,982,1000
75,650,1000
78,985,1000
79,788,1000
80,993,1000
82,953,1000
83,622,1000
84,973,1000
85,969,1000
86,980,1000
88,979,1000
89,990,1000
90,993,1000
91,895,1000
92,1000,1000
93,999,1000
94,959,1000
95,976,1000
96,982,1000
97,943,1000
98,998,1000
99,981,1000
100,994,1000
