task,station
1,96
2,94
3,99
4,100
5,97
6,100
7,100
8,94
9,92
10,97
11,97
12,100
13,94
14,99
15,100
16,94
17,100
18,97
19,92
20,99
21,100
22,99
23,86
24,96
25,88
26,94
27,97
28,88
29,96
30,72
31,91
32,92
33,92
34,52
35,92
36,99
37,53
38,96
39,99
40,97
41,52
42,88
43,53
44,96
45,52
46,97
47,94
48,99
49,92
50,96
51,53
52,92
53,99
54,91
55,96
56,86
57,91
58,53
59,38
60,91
61,72
62,86
63,97
64,91
65,72
66,86
67,72
68,72
69,86
70,72
71,95
72,72
73,95
74,88
75,91
76,53
77,72
78,53
79,95
80,88
81,95
82,38
83,95
84,88
85,38
86,88
87,91
88,53
89,52
90,38
91,38
92,95
93,95
94,52
95,52
96,88
97,38
98,38
99,38
100,52
