task,station
1,97
2,96
3,99
4,99
5,99
6,100
7,100
8,100
9,97
10,97
11,97
12,100
13,94
14,96
15,98
16,100
17,96
18,95
19,91
20,92
21,99
22,99
23,98
24,95
25,95
26,95
27,97
28,95
29,90
30,99
31,99
32,90
33,98
34,98
35,99
36,95
37,96
38,98
39,94
40,98
41,98
42,96
43,99
44,95
45,90
46,90
47,93
48,95
49,93
50,93
51,94
52,94
53,1
54,1
55,93
56,93
57,93
58,92
59,91
60,1
61,74
62,92
63,90
64,92
65,74
66,93
67,91
68,92
69,90
70,91
71,91
72,91
73,90
74,89
75,90
76,89
77,89
78,90
79,1
80,89
81,1
82,1
83,88
84,1
85,1
86,1
87,90
88,74
89,89
90,88
91,74
92,88
93,88
94,88
95,88
96,88
97,74
98,74
99,88
100,74
