task,station
1,100
2,99
3,100
4,100
5,100
6,100
7,100
8,99
9,99
10,100
11,100
12,99
13,97
14,54
15,98
16,99
17,99
18,100
19,98
20,91
21,91
22,52
23,95
24,99
25,91
26,92
27,95
28,28
29,1
30,84
31,95
32,54
33,98
34,95
35,99
36,97
37,54
38,1
39,28
40,95
41,93
42,93
43,97
44,98
45,91
46,99
47,92
48,97
49,98
50,98
51,92
52,54
53,1
54,52
55,99
56,93
57,91
58,97
59,93
60,93
61,98
62,52
63,99
64,1
65,92
66,85
67,91
68,97
69,28
70,97
71,93
72,97
73,85
74,85
75,93
76,92
77,93
78,84
79,84
80,85
81,91
82,28
83,92
84,52
85,1
86,52
87,84
88,54
89,1
90,52
91,85
92,54
93,28
94,28
95,1
96,84
97,28
98,54
99,1
100,52
