Task,Station,Task_Time
23,1,108
15,1,106
3,1,116
16,1,74
21,1,69
11,1,70
6,1,370
8,2,107
13,2,118
18,2,223
9,2,93
22,2,175
1,2,25
2,2,253
7,3,209
5,3,178
12,3,272
19,3,139
10,3,184
20,4,245
17,4,165
14,4,42
4,4,34
26,4,72
28,4,38
36,4,90
32,4,61
30,4,101
34,4,61
31,5,94
35,5,174
33,5,134
24,5,56
25,5,174
27,5,152
29,5,56
45,5,72
53,5,43
79,6,198
72,6,113
73,6,62
39,6,112
52,6,248
70,6,113
54,7,252
41,7,445
48,7,118
50,7,122
65,8,160
58,8,28
61,8,57
64,8,56
68,8,83
43,8,145
38,8,74
46,8,82
55,8,254
80,9,293
71,9,177
74,9,204
51,9,151
67,9,84
76,10,307
78,10,126
42,10,102
47,10,100
44,10,205
37,10,114
57,11,234
75,11,199
69,11,190
59,11,33
77,11,108
60,11,159
40,11,72
49,12,85
56,12,27
66,12,125
63,12,197
62,12,126
84,12,28
86,12,105
91,12,230
117,13,102
113,13,33
143,13,28
140,13,74
139,13,144
120,13,97
144,13,242
107,13,109
114,13,93
119,14,144
118,14,75
155,14,49
157,14,106
167,14,191
183,14,142
168,14,161
182,14,119
191,15,131
178,15,156
159,15,68
166,15,137
88,15,178
82,15,134
94,16,230
101,16,223
110,16,112
125,16,112
141,16,57
96,16,237
111,17,62
116,17,166
115,17,322
138,17,32
109,17,90
142,17,84
146,17,131
154,18,207
173,18,111
187,18,239
165,18,97
161,18,238
156,18,94
175,19,194
197,19,154
93,19,44
102,19,125
112,19,21
137,19,72
121,19,273
85,19,70
158,20,76
170,20,205
188,20,181
174,20,413
198,21,337
200,21,150
204,21,197
236,21,194
233,21,113
237,22,107
232,22,110
249,22,129
257,22,126
272,22,75
274,22,271
245,22,78
273,23,123
300,23,24
296,23,181
331,23,67
89,23,296
97,23,203
212,24,215
210,24,63
229,24,204
231,24,90
246,24,192
253,24,124
224,24,44
248,25,151
242,25,150
238,25,30
90,25,159
92,25,124
83,25,56
81,25,141
98,25,151
103,26,235
124,26,106
105,26,179
123,26,96
136,26,113
108,26,97
122,26,110
100,27,163
150,27,147
149,27,87
148,27,48
151,27,421
147,27,126
172,28,92
196,28,101
190,28,186
177,28,133
194,28,137
189,28,242
185,28,45
171,29,192
181,29,24
195,29,142
184,29,99
95,29,267
99,29,194
106,29,35
145,30,106
87,30,94
104,30,28
129,30,196
127,30,40
126,30,220
133,30,185
135,31,343
134,31,227
131,31,122
130,31,231
128,31,38
132,32,116
152,32,46
153,32,33
164,32,68
160,32,220
162,32,70
163,32,139
176,32,78
186,32,113
169,32,69
192,32,28
199,33,147
179,33,233
180,33,157
211,33,117
209,33,331
203,34,235
226,34,43
241,34,273
230,34,91
214,34,102
201,34,142
216,34,48
243,35,316
252,35,93
256,35,100
222,35,271
244,35,116
270,35,70
254,36,190
247,36,84
277,36,240
220,36,31
275,36,269
217,36,140
251,37,137
268,37,99
218,37,66
219,37,98
250,37,288
255,37,61
223,37,110
240,37,121
267,38,42
278,38,164
284,38,232
282,38,77
286,38,29
285,38,95
287,38,71
288,38,125
283,38,78
221,39,88
279,39,195
281,39,31
280,39,182
336,39,219
333,39,133
334,39,99
329,40,313
313,40,147
337,40,147
304,40,102
341,40,62
306,40,101
316,41,192
345,41,155
340,41,124
349,41,173
302,41,154
338,41,147
307,41,25
348,42,94
305,42,156
312,42,55
303,42,249
314,42,63
310,42,243
308,42,121
315,43,133
311,43,23
318,43,133
309,43,86
317,43,165
347,43,33
324,43,28
343,43,58
346,43,283
322,43,25
339,44,108
321,44,171
325,44,49
335,44,190
344,44,122
326,44,147
319,44,153
328,44,37
320,45,162
327,45,77
323,45,272
342,45,363
363,45,47
375,45,31
380,45,31
361,46,203
377,46,143
384,46,63
396,46,57
398,46,219
394,46,201
391,46,113
376,47,164
362,47,131
371,47,169
353,47,110
369,47,133
379,47,153
352,48,150
358,48,101
366,48,176
364,48,52
357,48,108
355,48,135
374,48,109
387,48,106
388,49,92
373,49,40
356,49,84
370,49,157
385,49,196
392,49,144
354,49,254
360,50,90
368,50,70
381,50,57
378,50,143
393,50,287
400,50,53
395,50,52
365,50,201
351,51,65
359,51,190
367,51,223
382,51,156
402,51,78
389,51,154
372,51,35
383,51,82
386,52,62
390,52,37
397,52,244
401,52,62
399,52,97
350,52,212
208,52,59
228,52,127
215,52,73
239,53,67
258,53,204
259,53,87
262,53,115
260,53,190
264,53,105
271,53,190
265,53,23
263,54,71
261,54,123
266,54,152
293,54,59
276,54,155
301,54,155
298,54,284
294,55,96
295,55,107
332,55,269
330,55,182
206,55,71
227,55,144
207,55,53
213,55,35
225,56,192
235,56,185
420,56,260
433,56,77
422,56,45
431,56,51
443,56,32
442,56,31
403,56,90
414,56,37
461,57,76
487,57,85
502,57,223
471,57,263
417,57,87
425,57,121
453,57,60
441,58,174
416,58,20
406,58,125
462,58,115
479,58,105
512,58,118
506,58,180
475,58,80
408,58,73
405,59,202
423,59,39
435,59,139
456,59,208
438,59,164
452,59,82
451,59,111
439,60,69
458,60,78
469,60,89
457,60,79
421,60,96
429,60,245
455,60,150
446,60,72
412,61,173
410,61,259
424,61,119
447,61,219
465,61,111
490,61,50
508,62,79
470,62,94
488,62,52
473,62,39
492,62,140
494,62,44
513,62,73
472,62,69
489,62,197
493,62,197
498,63,150
497,63,296
499,63,180
404,63,215
436,63,158
427,64,73
445,64,48
440,64,81
454,64,111
437,64,110
467,64,210
491,64,172
510,64,115
460,65,226
476,65,93
486,65,63
464,65,91
481,65,59
483,65,197
485,65,85
496,66,225
507,66,113
511,66,92
500,66,73
509,66,86
419,66,145
533,66,106
520,66,140
550,67,59
557,67,181
566,67,63
516,67,57
546,67,164
569,67,61
587,67,98
527,67,80
522,67,24
519,67,150
537,67,22
554,68,148
567,68,64
548,68,31
564,68,141
577,68,184
588,68,73
594,68,150
534,68,60
530,69,202
524,69,173
553,69,32
517,69,70
532,69,265
518,69,256
549,70,58
407,70,59
411,70,144
430,70,108
426,70,185
449,70,107
450,70,215
418,70,121
415,71,189
409,71,124
432,71,76
413,71,63
434,71,130
428,71,133
444,71,37
448,71,107
466,72,190
459,72,76
478,72,108
484,72,67
504,72,138
501,72,160
468,72,256
482,73,219
474,73,39
480,73,91
477,73,311
505,73,66
503,73,146
495,73,67
600,74,319
529,74,161
535,74,246
523,74,147
555,75,150
515,75,153
545,75,88
568,75,365
573,75,169
525,75,64
552,76,199
565,76,219
589,76,32
605,76,209
604,76,183
597,76,141
586,77,207
526,77,40
514,77,29
541,77,80
559,77,169
544,77,213
539,77,129
540,77,23
570,77,51
590,78,204
563,78,84
571,78,262
542,78,135
536,78,110
538,78,163
543,78,32
558,79,167
560,79,140
578,79,60
593,79,401
584,79,153
551,79,29
581,79,41
592,80,120
595,80,173
575,80,136
602,80,101
576,80,71
607,80,229
599,80,167
608,81,126
596,81,160
572,81,137
579,81,99
601,81,271
606,81,76
585,82,151
580,82,200
574,82,137
598,82,112
583,82,108
528,82,64
547,82,114
561,82,86
582,83,41
603,83,37
615,83,63
639,83,128
620,83,138
626,83,226
627,83,245
638,83,93
628,84,69
649,84,28
655,84,165
624,84,156
619,84,186
614,84,137
630,84,132
650,85,271
631,85,22
651,85,65
666,85,26
633,85,206
661,85,99
658,85,88
634,85,213
656,86,29
629,86,86
632,86,182
672,86,42
679,86,58
696,86,31
712,86,68
718,86,74
683,86,135
692,86,90
667,86,46
671,86,100
613,87,301
617,87,97
647,87,198
611,87,130
686,87,156
701,88,186
729,88,45
700,88,167
719,88,179
715,88,81
724,88,114
704,88,108
717,88,91
720,89,162
705,89,121
702,89,195
730,89,255
703,89,93
743,90,196
737,90,60
748,90,40
747,90,26
735,90,50
746,90,246
616,90,350
648,91,86
643,91,66
635,91,105
665,91,211
662,91,160
684,91,82
670,91,163
680,91,64
697,91,36
623,92,38
644,92,213
654,92,83
652,92,52
636,92,90
660,92,20
676,92,125
690,92,71
698,92,127
710,92,89
687,93,138
707,93,32
722,93,97
732,93,110
693,93,136
738,93,115
739,93,140
741,93,133
736,93,54
677,94,140
678,94,325
695,94,87
709,94,108
725,94,74
668,94,183
681,95,92
694,95,51
688,95,95
713,95,219
731,95,219
744,95,51
733,95,32
669,95,140
691,95,45
708,96,168
618,96,126
645,96,58
664,96,211
646,96,179
674,96,250
612,97,83
622,97,116
641,97,41
653,97,71
685,97,145
699,97,37
711,97,143
727,97,71
714,97,267
723,98,133
728,98,143
734,98,211
742,98,27
621,98,121
625,98,57
640,98,84
659,98,82
657,98,76
642,98,33
663,99,83
637,99,60
682,99,29
689,99,155
706,99,241
716,99,61
726,99,210
721,99,103
463,100,193
745,100,68
740,100,151
675,100,51
673,100,204
752,100,290
770,101,136
798,101,208
785,101,113
782,101,181
764,101,147
761,101,141
815,101,36
834,102,202
843,102,83
863,102,164
892,102,257
873,102,160
869,102,47
749,103,117
757,103,149
766,103,170
769,103,169
794,103,33
783,103,100
772,103,152
796,104,362
780,104,217
804,104,102
760,104,49
755,104,221
759,105,278
776,105,82
786,105,289
802,105,88
800,105,201
792,106,122
758,106,66
768,106,164
797,106,60
801,106,54
788,106,71
805,106,263
762,106,101
774,107,105
799,107,157
789,107,224
750,107,190
778,107,83
810,107,184
831,108,263
824,108,111
829,108,98
818,108,209
822,108,233
832,108,60
817,108,20
821,109,385
816,109,268
836,109,169
811,110,291
756,110,171
825,110,21
830,110,105
803,110,83
820,110,43
823,110,146
193,110,104
827,111,214
807,111,134
806,111,51
835,111,183
808,111,66
828,111,58
763,111,63
777,111,57
790,111,55
773,112,124
787,112,108
771,112,121
784,112,143
779,112,325
795,113,242
781,113,77
751,113,44
775,113,121
791,113,265
754,113,41
767,113,49
793,113,106
826,114,104
809,114,197
819,114,123
813,114,122
833,114,314
812,114,59
814,114,61
854,115,117
866,115,107
899,115,311
849,115,59
845,115,95
874,115,117
868,115,180
872,116,143
846,116,203
870,116,125
888,116,109
867,116,259
895,116,108
