Station,Load,Capacity,Idle_Time
1,841,1000,159
2,763,1000,237
3,753,1000,247
4,735,1000,265
5,904,1000,96
6,926,1000,74
7,870,1000,130
8,953,1000,47
9,751,1000,249
10,986,1000,14
11,970,1000,30
12,973,1000,27
13,601,1000,399
14,939,1000,61
15,847,1000,153
16,1000,1000,0
17,891,1000,109
18,815,1000,185
19,891,1000,109
20,875,1000,125
21,878,1000,122
22,977,1000,23
23,946,1000,54
24,816,1000,184
25,900,1000,100
26,835,1000,165
27,945,1000,55
28,835,1000,165
29,819,1000,181
30,832,1000,168
31,939,1000,61
32,879,1000,121
33,946,1000,54
34,945,1000,55
35,963,1000,37
36,864,1000,136
37,833,1000,167
38,937,1000,63
39,891,1000,109
40,971,1000,29
41,756,1000,244
42,998,1000,2
43,901,1000,99
44,766,1000,234
45,899,1000,101
46,854,1000,146
47,736,1000,264
48,850,1000,150
49,970,1000,30
50,937,1000,63
51,827,1000,173
52,947,1000,53
53,999,1000,1
54,966,1000,34
55,713,1000,287
56,896,1000,104
57,902,1000,98
58,987,1000,13
59,996,1000,4
60,981,1000,19
61,962,1000,38
62,948,1000,52
63,787,1000,213
64,894,1000,106
65,764,1000,236
66,951,1000,49
67,825,1000,175
68,940,1000,60
69,960,1000,40
70,906,1000,94
71,989,1000,11
72,988,1000,12
73,822,1000,178
74,753,1000,247
75,798,1000,202
76,848,1000,152
77,730,1000,270
78,940,1000,60
79,830,1000,170
80,921,1000,79
81,880,1000,120
82,827,1000,173
83,772,1000,228
84,837,1000,163
85,992,1000,8
86,949,1000,51
87,858,1000,142
88,806,1000,194
89,1000,1000,0
90,890,1000,110
91,640,1000,360
92,908,1000,92
93,992,1000,8
94,1000,1000,0
95,960,1000,40
96,712,1000,288
97,983,1000,17
98,800,1000,200
99,882,1000,118
100,931,1000,69
101,943,1000,57
102,791,1000,209
103,953,1000,47
104,986,1000,14
105,768,1000,232
106,933,1000,67
107,982,1000,18
108,685,1000,315
109,953,1000,47
110,776,1000,224
111,999,1000,1
112,906,1000,94
113,936,1000,64
114,821,1000,179
115,916,1000,84
116,944,1000,56
117,993,1000,7
118,878,1000,122
119,925,1000,75
120,932,1000,68
121,911,1000,89
122,836,1000,164
123,898,1000,102
124,920,1000,80
125,865,1000,135
126,614,1000,386
127,937,1000,63
128,623,1000,377
129,987,1000,13
130,743,1000,257
131,851,1000,149
132,908,1000,92
133,953,1000,47
134,944,1000,56
135,949,1000,51
136,917,1000,83
137,959,1000,41
138,777,1000,223
139,1000,1000,0
140,983,1000,17
141,983,1000,17
142,978,1000,22
143,749,1000,251
144,942,1000,58
145,787,1000,213
146,982,1000,18
147,602,1000,398
148,988,1000,12
149,885,1000,115
150,916,1000,84
151,895,1000,105
152,786,1000,214
153,998,1000,2
154,916,1000,84
155,857,1000,143
156,948,1000,52
157,947,1000,53
158,873,1000,127
159,591,1000,409
160,971,1000,29
161,964,1000,36
162,992,1000,8
163,597,1000,403
164,733,1000,267
165,895,1000,105
166,962,1000,38
167,766,1000,234
168,939,1000,61
169,851,1000,149
170,936,1000,64
171,962,1000,38
172,912,1000,88
173,950,1000,50
174,620,1000,380
175,819,1000,181
176,895,1000,105
177,943,1000,57
178,951,1000,49
179,990,1000,10
180,860,1000,140
181,629,1000,371
182,818,1000,182
183,883,1000,117
184,915,1000,85
185,947,1000,53
186,859,1000,141
187,980,1000,20
188,768,1000,232
189,872,1000,128
190,952,1000,48
191,866,1000,134
192,906,1000,94
193,968,1000,32
194,656,1000,344
195,863,1000,137
196,861,1000,139
197,805,1000,195
198,913,1000,87
199,922,1000,78
200,967,1000,33
201,832,1000,168
202,937,1000,63
203,882,1000,118
204,586,1000,414
205,995,1000,5
206,838,1000,162
207,596,1000,404
208,549,1000,451
209,911,1000,89
210,575,1000,425
211,924,1000,76
212,897,1000,103
213,891,1000,109
214,818,1000,182
215,941,1000,59
216,968,1000,32
217,749,1000,251
218,900,1000,100
219,936,1000,64
220,934,1000,66
221,771,1000,229
222,914,1000,86
223,883,1000,117
224,922,1000,78
225,836,1000,164
226,913,1000,87
227,928,1000,72
228,674,1000,326
229,894,1000,106
230,880,1000,120
231,768,1000,232
232,569,1000,431
233,976,1000,24
234,889,1000,111
235,955,1000,45
236,947,1000,53
237,918,1000,82
238,913,1000,87
239,916,1000,84
240,920,1000,80
241,949,1000,51
242,889,1000,111
243,914,1000,86
244,885,1000,115
245,994,1000,6
246,973,1000,27
247,939,1000,61
248,955,1000,45
249,692,1000,308
250,953,1000,47
251,933,1000,67
252,759,1000,241
