Station,Load,Capacity,Idle_Time
1,977,1000,23
2,958,1000,42
3,929,1000,71
4,990,1000,10
5,854,1000,146
6,931,1000,69
7,967,1000,33
8,864,1000,136
9,859,1000,141
10,940,1000,60
11,862,1000,138
12,946,1000,54
13,927,1000,73
14,898,1000,102
15,934,1000,66
16,994,1000,6
17,949,1000,51
18,950,1000,50
19,875,1000,125
20,919,1000,81
21,890,1000,110
22,970,1000,30
23,929,1000,71
24,956,1000,44
25,914,1000,86
26,979,1000,21
27,932,1000,68
28,962,1000,38
29,805,1000,195
30,912,1000,88
31,999,1000,1
32,897,1000,103
33,914,1000,86
34,898,1000,102
35,982,1000,18
36,960,1000,40
37,881,1000,119
38,962,1000,38
39,990,1000,10
40,977,1000,23
41,961,1000,39
42,961,1000,39
43,809,1000,191
44,864,1000,136
45,913,1000,87
46,958,1000,42
47,989,1000,11
48,919,1000,81
49,926,1000,74
50,870,1000,130
51,940,1000,60
52,910,1000,90
53,952,1000,48
54,944,1000,56
55,854,1000,146
56,936,1000,64
57,929,1000,71
58,976,1000,24
59,878,1000,122
60,999,1000,1
61,908,1000,92
62,980,1000,20
63,944,1000,56
64,889,1000,111
65,969,1000,31
66,919,1000,81
67,903,1000,97
68,924,1000,76
69,960,1000,40
70,846,1000,154
71,999,1000,1
72,892,1000,108
73,942,1000,58
74,981,1000,19
75,978,1000,22
76,952,1000,48
77,983,1000,17
78,940,1000,60
79,988,1000,12
80,933,1000,67
81,925,1000,75
82,958,1000,42
83,943,1000,57
84,934,1000,66
85,888,1000,112
86,921,1000,79
87,1000,1000,0
88,989,1000,11
89,889,1000,111
90,888,1000,112
91,975,1000,25
92,902,1000,98
93,987,1000,13
94,840,1000,160
95,984,1000,16
96,898,1000,102
97,903,1000,97
98,990,1000,10
99,949,1000,51
100,928,1000,72
101,944,1000,56
102,913,1000,87
103,945,1000,55
104,992,1000,8
105,999,1000,1
106,960,1000,40
107,966,1000,34
108,799,1000,201
109,855,1000,145
110,974,1000,26
111,948,1000,52
112,904,1000,96
113,974,1000,26
114,947,1000,53
115,911,1000,89
116,968,1000,32
117,982,1000,18
118,985,1000,15
119,956,1000,44
120,953,1000,47
121,884,1000,116
122,964,1000,36
123,946,1000,54
124,965,1000,35
125,992,1000,8
126,992,1000,8
127,963,1000,37
128,835,1000,165
129,995,1000,5
130,908,1000,92
131,957,1000,43
132,854,1000,146
133,963,1000,37
134,883,1000,117
135,947,1000,53
136,947,1000,53
137,930,1000,70
138,1000,1000,0
139,969,1000,31
140,892,1000,108
141,915,1000,85
142,887,1000,113
143,951,1000,49
