Station,Load,Capacity,Idle_Time
1,986,1000,14
2,907,1000,93
3,958,1000,42
4,945,1000,55
5,950,1000,50
6,960,1000,40
7,977,1000,23
8,920,1000,80
9,792,1000,208
10,926,1000,74
11,1000,1000,0
12,990,1000,10
13,916,1000,84
14,994,1000,6
15,931,1000,69
16,908,1000,92
17,978,1000,22
18,998,1000,2
19,934,1000,66
20,973,1000,27
21,980,1000,20
22,932,1000,68
23,986,1000,14
24,813,1000,187
25,939,1000,61
26,999,1000,1
27,994,1000,6
28,945,1000,55
29,991,1000,9
30,892,1000,108
31,986,1000,14
32,842,1000,158
33,755,1000,245
34,824,1000,176
35,987,1000,13
36,947,1000,53
37,932,1000,68
38,946,1000,54
39,949,1000,51
40,970,1000,30
41,909,1000,91
42,977,1000,23
43,806,1000,194
44,892,1000,108
45,914,1000,86
46,974,1000,26
47,962,1000,38
48,970,1000,30
49,872,1000,128
50,964,1000,36
51,999,1000,1
52,967,1000,33
53,868,1000,132
54,896,1000,104
55,966,1000,34
56,966,1000,34
57,970,1000,30
58,908,1000,92
59,991,1000,9
60,913,1000,87
61,980,1000,20
62,989,1000,11
63,865,1000,135
64,792,1000,208
65,966,1000,34
66,776,1000,224
67,963,1000,37
68,990,1000,10
69,995,1000,5
70,888,1000,112
71,955,1000,45
72,950,1000,50
73,918,1000,82
74,858,1000,142
75,969,1000,31
76,937,1000,63
77,992,1000,8
78,907,1000,93
79,892,1000,108
80,992,1000,8
81,938,1000,62
82,996,1000,4
83,998,1000,2
84,976,1000,24
85,882,1000,118
86,997,1000,3
87,923,1000,77
88,992,1000,8
89,963,1000,37
90,911,1000,89
91,827,1000,173
92,870,1000,130
93,894,1000,106
94,981,1000,19
95,965,1000,35
96,972,1000,28
97,916,1000,84
98,967,1000,33
99,935,1000,65
100,970,1000,30
101,989,1000,11
102,889,1000,111
103,967,1000,33
104,989,1000,11
105,982,1000,18
106,982,1000,18
107,927,1000,73
108,987,1000,13
109,946,1000,54
110,951,1000,49
111,917,1000,83
112,953,1000,47
113,985,1000,15
114,910,1000,90
115,775,1000,225
116,863,1000,137
117,840,1000,160
118,949,1000,51
119,921,1000,79
120,952,1000,48
121,943,1000,57
122,981,1000,19
123,926,1000,74
124,926,1000,74
125,990,1000,10
126,965,1000,35
127,916,1000,84
128,835,1000,165
129,881,1000,119
130,950,1000,50
131,846,1000,154
132,985,1000,15
133,981,1000,19
134,982,1000,18
135,994,1000,6
136,936,1000,64
137,964,1000,36
138,968,1000,32
139,949,1000,51
140,994,1000,6
141,874,1000,126
142,992,1000,8
