Task,Station,Task_Time
6,1,494
4,1,389
2,2,325
13,2,584
17,3,528
9,4,567
15,4,286
8,5,584
7,6,493
16,7,513
5,8,593
18,8,347
12,9,533
3,10,497
11,11,568
10,12,583
19,12,255
20,13,436
14,13,377
35,14,484
44,14,449
40,15,676
66,16,596
62,17,580
61,18,428
81,18,498
76,19,710
100,20,518
111,21,617
124,22,632
145,23,419
144,23,570
149,24,379
28,24,554
30,25,751
45,26,656
26,27,533
25,27,315
54,28,409
72,28,515
73,29,605
88,30,428
71,30,417
74,31,412
70,31,535
104,32,469
108,32,510
112,33,666
109,34,393
128,34,513
125,35,636
147,35,233
135,36,539
101,36,309
117,37,483
113,37,493
110,38,458
114,38,359
120,39,449
122,40,611
139,41,550
146,41,434
153,42,483
152,42,516
136,43,445
132,43,293
150,44,607
141,45,400
131,45,518
137,46,705
143,46,293
130,47,606
155,48,581
126,49,558
154,49,413
138,50,413
148,50,538
127,51,353
142,51,513
133,52,777
151,53,307
129,53,491
92,54,636
95,55,584
99,56,845
97,57,560
105,58,741
119,59,594
107,60,518
98,60,407
103,61,503
118,62,763
116,63,565
121,63,320
123,64,551
24,64,402
43,65,438
60,65,433
34,66,781
41,67,393
58,67,522
21,68,335
38,68,495
55,69,665
64,70,446
78,70,451
83,71,654
36,72,613
23,73,540
59,74,549
46,75,678
48,76,474
53,76,469
52,77,508
49,78,497
50,79,536
51,79,441
47,80,572
82,81,647
77,82,487
67,82,473
85,83,548
80,83,283
68,84,697
84,85,635
75,86,426
89,86,547
86,87,595
90,88,542
102,88,325
106,89,371
96,89,586
115,90,506
134,90,465
140,91,595
93,91,328
91,92,454
39,92,388
56,93,289
22,93,434
33,94,437
42,94,512
63,95,408
79,95,529
87,96,299
69,96,511
31,97,553
37,97,282
29,98,538
27,98,457
32,99,484
57,99,466
65,100,523
159,100,203
164,101,371
167,101,401
161,102,560
168,103,564
166,103,367
162,104,355
175,104,437
170,105,561
165,106,500
157,107,523
172,107,405
182,108,494
191,109,589
187,110,460
208,110,533
186,111,545
199,111,349
193,112,825
204,113,637
184,114,596
203,115,609
211,116,436
173,116,462
160,117,622
