Task,Station,Task_Time
11,1,50
12,1,417
31,1,300
48,1,178
23,2,88
17,2,125
30,2,149
2,2,99
16,2,450
1,3,256
15,3,92
24,3,31
27,3,498
53,4,224
46,4,36
7,4,100
5,4,493
4,5,213
29,5,266
36,5,186
19,5,112
25,5,174
3,6,230
20,6,154
10,6,192
26,7,576
50,7,252
41,7,149
51,8,359
61,8,68
62,8,76
66,8,26
8,8,263
9,8,120
21,9,407
39,9,284
47,10,457
59,10,460
22,11,110
68,11,390
77,11,44
13,11,161
34,11,104
43,11,42
32,11,140
52,12,96
72,12,156
67,12,117
6,12,56
38,12,56
45,12,117
54,12,321
57,13,323
64,13,574
65,13,79
75,14,472
18,14,301
14,14,49
35,15,179
49,15,77
55,15,38
44,15,141
28,15,63
60,15,472
58,16,113
40,16,438
76,16,79
69,16,38
73,16,22
74,16,284
71,17,176
37,17,77
42,17,428
56,17,64
63,17,155
70,18,157
79,18,77
103,18,324
114,18,195
87,18,37
99,18,150
97,19,322
94,19,209
102,19,319
131,19,145
127,20,98
100,20,330
89,20,428
83,21,503
105,21,149
84,21,140
116,22,224
110,22,296
96,22,364
104,23,127
113,23,100
128,23,379
81,23,119
86,23,127
111,24,313
124,24,148
85,24,130
109,25,590
118,26,559
123,26,141
120,26,157
80,27,193
107,27,209
129,27,251
106,27,336
126,28,297
117,28,518
125,28,113
78,28,69
92,29,178
115,29,99
101,29,280
132,29,202
119,29,107
122,30,284
121,30,274
90,30,100
112,30,216
93,30,92
108,31,295
130,31,432
133,31,76
98,31,132
88,32,517
95,32,468
82,33,143
91,33,448
141,33,190
145,33,78
163,34,215
169,34,83
197,34,159
204,34,194
232,35,414
248,35,59
261,35,267
293,35,97
258,36,183
321,36,73
205,36,73
231,36,338
244,36,238
265,37,128
270,37,68
296,37,195
267,37,197
271,37,287
300,38,345
298,38,423
253,38,177
272,39,276
292,39,122
317,39,134
304,39,226
314,39,97
143,40,596
139,40,86
142,40,47
157,40,167
162,41,139
174,41,30
184,41,164
195,41,253
177,41,291
187,42,187
193,42,193
164,42,101
201,42,213
235,42,240
210,43,292
215,43,444
213,43,105
219,43,81
207,44,130
212,44,114
140,44,161
136,44,43
138,44,54
160,44,97
179,44,360
185,45,74
233,45,575
236,45,216
203,46,175
221,46,238
234,46,409
245,46,161
262,47,271
288,47,523
263,47,68
291,48,185
303,48,148
228,48,79
246,48,441
266,48,125
299,49,534
274,49,219
290,49,152
289,49,41
260,50,190
287,50,430
269,50,214
294,50,133
312,51,493
322,51,180
305,52,526
137,52,47
146,52,271
159,53,228
161,53,45
178,53,498
176,53,105
190,54,439
166,54,143
170,54,91
181,54,165
180,54,139
186,55,173
172,55,478
208,55,63
216,55,213
200,56,226
230,56,253
242,56,481
217,57,234
218,57,60
211,57,261
149,57,229
148,58,266
158,58,32
171,58,219
194,58,254
175,58,60
206,58,88
198,58,60
147,59,508
134,59,66
144,59,389
135,60,266
150,60,558
154,60,35
155,61,170
152,61,29
151,61,86
182,61,532
188,62,346
192,62,359
196,62,81
173,62,148
168,63,73
189,63,238
165,63,94
209,63,576
229,64,186
241,64,90
240,64,520
250,64,99
259,65,192
256,65,119
202,65,270
226,65,22
243,65,38
252,65,323
264,66,214
297,66,169
257,66,87
275,66,234
295,66,90
313,67,327
227,67,54
237,67,35
225,67,556
239,68,107
224,68,276
251,68,435
191,68,20
273,68,140
254,69,31
247,69,341
268,69,165
220,69,75
223,69,104
238,69,230
255,70,90
280,70,92
301,70,453
277,70,165
283,71,318
285,71,80
281,71,251
286,71,140
278,72,258
284,72,550
279,72,100
282,73,104
315,73,283
308,73,557
306,74,94
310,74,288
302,74,168
309,74,319
318,75,355
319,75,387
320,75,144
316,76,116
307,76,544
311,76,87
340,77,256
324,77,461
338,77,78
360,77,72
368,78,170
377,78,239
382,78,359
399,78,230
405,79,204
342,79,47
343,79,59
349,79,81
380,79,426
363,79,82
339,80,228
355,80,536
373,80,235
358,81,88
393,81,249
394,81,546
414,81,108
430,82,300
423,82,228
437,82,311
449,83,365
453,83,212
468,83,119
493,84,308
508,84,542
519,84,123
336,85,196
331,85,132
357,85,112
326,85,398
346,86,445
369,86,217
350,86,302
367,87,41
341,87,152
353,87,39
327,87,124
351,87,513
347,88,152
378,88,40
356,88,232
371,88,199
381,88,89
364,88,186
345,89,182
366,89,330
222,89,77
249,90,490
276,90,286
402,91,271
395,91,64
398,91,533
410,91,53
439,92,229
438,92,522
434,92,171
420,93,264
435,93,493
407,94,299
417,94,537
422,95,296
432,95,33
334,95,351
325,95,169
333,95,148
328,96,122
352,96,175
365,96,466
361,96,51
370,97,519
374,98,504
401,98,137
404,99,542
411,99,124
335,99,280
329,100,383
354,100,469
323,101,555
332,101,276
344,102,199
359,102,301
372,102,166
379,102,188
396,102,99
400,102,38
408,103,102
412,103,375
428,103,150
330,103,73
348,103,48
376,103,201
406,104,497
448,104,200
465,105,471
488,105,81
471,105,52
489,105,151
501,105,179
524,106,167
455,106,202
456,106,94
156,106,529
167,107,221
183,107,89
214,107,48
442,107,162
473,107,445
466,108,306
479,108,320
499,108,172
497,109,319
480,109,486
503,110,241
514,110,105
458,110,61
491,110,355
500,111,257
526,111,277
527,111,145
498,111,180
546,112,170
541,112,68
510,112,112
525,112,360
517,112,138
485,113,212
440,113,268
441,113,233
552,113,271
580,114,64
587,114,92
597,114,350
583,114,484
608,115,159
604,115,565
614,115,137
581,116,579
607,116,88
601,116,106
585,116,154
582,117,125
584,117,179
606,117,319
615,117,234
586,118,564
603,118,392
610,119,514
454,119,49
470,119,65
490,119,135
506,120,428
521,120,223
516,120,205
543,121,513
461,121,249
460,121,194
492,122,99
502,122,207
495,122,669
513,123,363
535,123,188
532,123,51
533,123,69
530,123,218
534,124,237
531,124,27
476,124,27
472,124,91
483,124,215
450,124,346
474,125,191
494,125,264
447,125,275
463,125,63
443,125,65
469,126,236
567,126,211
563,126,319
560,127,408
571,127,283
561,127,141
551,128,325
573,128,137
575,128,312
598,128,185
611,129,586
589,129,330
600,130,438
577,130,156
578,130,188
574,130,178
596,130,39
576,131,532
616,131,63
636,131,28
646,131,218
640,131,158
654,132,39
670,132,77
658,132,136
657,132,544
672,133,422
688,133,314
694,134,427
698,134,523
716,135,538
736,135,80
741,135,33
743,135,222
740,135,114
739,136,229
737,136,330
742,137,493
738,137,155
750,137,276
705,138,348
693,138,517
702,138,110
733,139,85
706,139,556
747,139,90
763,139,223
780,140,175
767,140,78
786,140,74
768,140,42
788,140,496
632,141,527
650,141,64
669,141,30
666,141,71
633,141,204
651,141,45
33,142,182
662,142,126
673,142,115
676,142,55
690,142,42
626,142,107
637,143,476
629,143,51
638,143,98
627,143,201
652,144,236
362,144,532
392,144,124
383,145,485
397,145,486
385,146,70
384,146,493
390,146,113
387,146,247
388,146,34
391,147,192
389,147,148
386,147,474
413,147,68
424,148,190
425,148,236
429,148,286
418,148,199
433,149,216
419,149,559
431,149,223
421,150,268
427,150,275
415,150,133
436,150,64
416,150,205
426,150,54
409,151,139
444,151,184
475,151,274
486,151,198
511,151,112
528,152,152
504,152,291
529,152,458
548,153,328
544,153,241
568,153,237
559,154,595
445,154,155
467,155,425
459,155,495
487,156,328
482,156,74
509,156,220
520,156,56
522,156,93
547,156,147
507,157,332
545,157,492
477,157,44
457,158,267
481,158,289
512,158,294
523,159,184
550,159,230
549,159,111
478,159,318
505,160,159
518,160,44
496,160,471
515,161,492
537,161,126
538,161,153
540,162,522
536,163,556
539,163,33
542,163,45
570,163,110
591,164,422
558,164,467
569,164,52
557,165,120
594,165,203
613,165,34
588,165,303
602,165,264
599,166,256
565,166,76
554,166,235
595,166,52
605,166,115
628,166,246
564,167,108
553,167,205
555,167,65
593,167,95
609,167,33
556,167,343
566,168,156
579,168,247
590,168,25
592,168,99
612,168,361
572,169,338
562,169,39
446,169,496
462,169,104
484,170,356
464,170,121
451,170,491
452,171,228
634,171,56
645,171,221
674,171,207
630,171,207
648,172,199
675,172,261
695,172,489
697,173,195
710,173,542
792,173,34
820,173,25
818,173,79
827,174,152
838,174,148
835,174,281
796,174,128
801,174,115
821,174,118
811,175,507
840,175,476
830,176,133
841,176,524
842,176,174
832,177,574
844,177,181
879,177,70
199,177,74
848,178,156
855,178,75
876,178,154
888,178,294
884,178,213
891,179,160
895,179,110
907,179,498
925,180,334
901,180,510
877,181,486
862,181,132
853,181,200
873,182,533
894,182,66
867,182,39
849,182,328
847,183,136
870,183,113
881,183,602
889,184,475
861,184,53
880,184,242
887,184,74
890,185,561
908,185,273
926,185,117
337,186,189
920,186,468
942,186,78
949,186,126
957,187,564
964,187,248
979,188,258
990,188,184
904,188,454
852,188,50
872,189,134
896,189,64
882,189,40
910,189,173
919,189,118
927,189,224
922,189,216
948,190,334
945,190,194
951,190,96
941,190,233
938,191,601
937,191,54
971,191,89
974,191,136
989,192,180
960,192,492
975,192,317
966,193,90
982,193,529
851,193,56
854,193,42
375,193,239
403,194,260
869,194,23
886,194,161
892,194,80
909,194,297
930,195,185
921,195,75
924,195,177
931,195,414
946,196,313
939,196,584
940,196,26
944,197,263
950,197,265
968,197,278
981,198,483
996,198,411
980,199,362
963,199,188
972,199,70
984,199,72
998,199,95
994,199,137
958,200,289
962,200,35
961,200,59
965,200,533
969,201,100
983,201,114
991,201,101
988,201,102
977,201,260
995,201,126
997,202,477
987,202,44
970,202,55
976,202,352
850,203,153
874,203,540
