Station,Load,Capacity,Idle_Time
1,607,1000,393
2,979,1000,21
3,859,1000,141
4,566,1000,434
5,930,1000,70
6,976,1000,24
7,932,1000,68
8,924,1000,76
9,991,1000,9
10,898,1000,102
11,790,1000,210
12,944,1000,56
13,988,1000,12
14,917,1000,83
15,839,1000,161
16,613,1000,387
17,508,1000,492
18,948,1000,52
19,991,1000,9
20,806,1000,194
21,428,1000,572
22,662,1000,338
23,726,1000,274
24,662,1000,338
25,961,1000,39
26,931,1000,69
27,792,1000,208
28,521,1000,479
29,506,1000,494
30,582,1000,418
31,765,1000,235
32,959,1000,41
33,990,1000,10
34,571,1000,429
35,489,1000,511
36,764,1000,236
37,957,1000,43
38,620,1000,380
39,893,1000,107
40,543,1000,457
41,574,1000,426
42,960,1000,40
43,568,1000,432
44,884,1000,116
45,690,1000,310
46,758,1000,242
47,512,1000,488
48,986,1000,14
49,603,1000,397
50,639,1000,361
51,954,1000,46
52,652,1000,348
53,466,1000,534
54,594,1000,406
55,999,1000,1
56,552,1000,448
57,544,1000,456
58,483,1000,517
59,584,1000,416
60,988,1000,12
61,550,1000,450
62,967,1000,33
63,867,1000,133
64,601,1000,399
65,862,1000,138
66,972,1000,28
67,623,1000,377
68,685,1000,315
69,744,1000,256
70,739,1000,261
71,867,1000,133
72,884,1000,116
73,739,1000,261
74,950,1000,50
75,905,1000,95
76,994,1000,6
77,587,1000,413
78,833,1000,167
79,919,1000,81
80,706,1000,294
81,776,1000,224
82,946,1000,54
83,607,1000,393
84,856,1000,144
85,946,1000,54
86,838,1000,162
87,976,1000,24
88,652,1000,348
89,947,1000,53
90,811,1000,189
91,756,1000,244
92,676,1000,324
93,999,1000,1
94,878,1000,122
95,615,1000,385
96,841,1000,159
97,967,1000,33
98,971,1000,29
99,931,1000,69
100,974,1000,26
101,828,1000,172
102,999,1000,1
103,546,1000,454
104,520,1000,480
105,596,1000,404
106,936,1000,64
107,526,1000,474
108,925,1000,75
109,903,1000,97
110,765,1000,235
111,884,1000,116
112,829,1000,171
113,966,1000,34
114,455,1000,545
115,624,1000,376
116,591,1000,409
117,589,1000,411
118,977,1000,23
