Station,Load,Capacity,Idle_Time
1,883,1000,117
2,909,1000,91
3,528,1000,472
4,853,1000,147
5,584,1000,416
6,493,1000,507
7,513,1000,487
8,940,1000,60
9,533,1000,467
10,497,1000,503
11,568,1000,432
12,838,1000,162
13,813,1000,187
14,933,1000,67
15,676,1000,324
16,596,1000,404
17,580,1000,420
18,926,1000,74
19,710,1000,290
20,518,1000,482
21,617,1000,383
22,632,1000,368
23,989,1000,11
24,933,1000,67
25,751,1000,249
26,656,1000,344
27,848,1000,152
28,924,1000,76
29,605,1000,395
30,845,1000,155
31,947,1000,53
32,979,1000,21
33,666,1000,334
34,906,1000,94
35,869,1000,131
36,848,1000,152
37,976,1000,24
38,817,1000,183
39,449,1000,551
40,611,1000,389
41,984,1000,16
42,999,1000,1
43,738,1000,262
44,607,1000,393
45,918,1000,82
46,998,1000,2
47,606,1000,394
48,581,1000,419
49,971,1000,29
50,951,1000,49
51,866,1000,134
52,777,1000,223
53,798,1000,202
54,636,1000,364
55,584,1000,416
56,845,1000,155
57,560,1000,440
58,741,1000,259
59,594,1000,406
60,925,1000,75
61,503,1000,497
62,763,1000,237
63,885,1000,115
64,953,1000,47
65,871,1000,129
66,781,1000,219
67,915,1000,85
68,830,1000,170
69,665,1000,335
70,897,1000,103
71,654,1000,346
72,613,1000,387
73,540,1000,460
74,549,1000,451
75,678,1000,322
76,943,1000,57
77,508,1000,492
78,497,1000,503
79,977,1000,23
80,572,1000,428
81,647,1000,353
82,960,1000,40
83,831,1000,169
84,697,1000,303
85,635,1000,365
86,973,1000,27
87,595,1000,405
88,867,1000,133
89,957,1000,43
90,971,1000,29
91,923,1000,77
92,842,1000,158
93,723,1000,277
94,949,1000,51
95,937,1000,63
96,810,1000,190
97,835,1000,165
98,995,1000,5
99,950,1000,50
100,726,1000,274
101,772,1000,228
102,560,1000,440
103,931,1000,69
104,792,1000,208
105,561,1000,439
106,500,1000,500
107,928,1000,72
108,494,1000,506
109,589,1000,411
110,993,1000,7
111,894,1000,106
112,825,1000,175
113,637,1000,363
114,596,1000,404
115,609,1000,391
116,898,1000,102
117,889,1000,111
118,557,1000,443
119,666,1000,334
120,574,1000,426
121,538,1000,462
122,901,1000,99
123,985,1000,15
124,881,1000,119
125,559,1000,441
126,583,1000,417
127,607,1000,393
128,912,1000,88
129,588,1000,412
130,595,1000,405
131,893,1000,107
132,793,1000,207
133,713,1000,287
134,852,1000,148
135,909,1000,91
136,535,1000,465
137,626,1000,374
138,731,1000,269
139,961,1000,39
140,938,1000,62
141,965,1000,35
142,959,1000,41
143,689,1000,311
144,659,1000,341
145,990,1000,10
