Station,Load,Capacity,Idle_Time
1,913,1000,87
2,994,1000,6
3,982,1000,18
4,909,1000,91
5,955,1000,45
6,846,1000,154
7,937,1000,63
8,939,1000,61
9,909,1000,91
10,954,1000,46
11,995,1000,5
12,923,1000,77
13,922,1000,78
14,987,1000,13
15,804,1000,196
16,971,1000,29
17,887,1000,113
18,986,1000,14
19,953,1000,47
20,875,1000,125
21,991,1000,9
22,896,1000,104
23,894,1000,106
24,932,1000,68
25,962,1000,38
26,936,1000,64
27,992,1000,8
28,936,1000,64
29,953,1000,47
30,869,1000,131
31,961,1000,39
32,980,1000,20
33,985,1000,15
34,934,1000,66
35,966,1000,34
36,954,1000,46
37,980,1000,20
38,913,1000,87
39,947,1000,53
40,872,1000,128
41,970,1000,30
42,981,1000,19
43,967,1000,33
44,977,1000,23
45,983,1000,17
46,999,1000,1
47,860,1000,140
48,937,1000,63
49,967,1000,33
50,953,1000,47
51,983,1000,17
52,973,1000,27
53,981,1000,19
54,999,1000,1
55,957,1000,43
56,1000,1000,0
57,915,1000,85
58,990,1000,10
59,945,1000,55
60,878,1000,122
61,931,1000,69
62,984,1000,16
63,999,1000,1
64,920,1000,80
65,814,1000,186
66,980,1000,20
67,959,1000,41
68,851,1000,149
69,998,1000,2
70,997,1000,3
71,859,1000,141
72,995,1000,5
73,939,1000,61
74,873,1000,127
75,989,1000,11
76,983,1000,17
77,941,1000,59
78,990,1000,10
79,991,1000,9
80,997,1000,3
81,869,1000,131
82,972,1000,28
83,971,1000,29
84,873,1000,127
85,990,1000,10
86,941,1000,59
87,882,1000,118
88,971,1000,29
89,826,1000,174
90,968,1000,32
91,973,1000,27
92,908,1000,92
93,955,1000,45
94,917,1000,83
95,944,1000,56
96,992,1000,8
97,974,1000,26
98,967,1000,33
99,942,1000,58
100,957,1000,43
101,962,1000,38
102,913,1000,87
103,890,1000,110
104,951,1000,49
105,938,1000,62
106,901,1000,99
107,943,1000,57
108,994,1000,6
109,822,1000,178
110,964,1000,36
111,881,1000,119
112,821,1000,179
113,945,1000,55
114,980,1000,20
115,986,1000,14
116,947,1000,53
117,977,1000,23
118,954,1000,46
119,934,1000,66
120,957,1000,43
121,979,1000,21
122,802,1000,198
123,962,1000,38
124,950,1000,50
125,961,1000,39
126,948,1000,52
127,918,1000,82
128,929,1000,71
129,825,1000,175
130,1000,1000,0
131,967,1000,33
132,931,1000,69
133,974,1000,26
134,850,1000,150
135,913,1000,87
136,993,1000,7
137,957,1000,43
138,815,1000,185
139,979,1000,21
