Task,Station,Task_Time
2,1,165
8,1,171
21,1,157
4,1,107
7,1,229
9,1,91
12,1,57
10,2,66
6,2,168
20,2,308
13,2,55
14,2,35
5,2,66
17,2,177
22,2,83
19,3,73
18,3,48
15,3,22
16,3,137
1,3,192
3,3,84
23,3,273
11,3,25
31,3,75
61,4,199
90,4,224
67,4,114
88,4,41
51,4,190
54,4,222
60,5,221
76,5,267
43,5,34
55,5,49
65,5,56
75,5,64
85,5,163
77,6,187
48,6,198
29,6,43
46,6,42
59,6,164
74,6,171
73,6,126
62,7,122
80,7,94
79,7,85
53,7,187
72,7,74
25,7,169
36,7,24
26,7,212
33,8,132
63,8,263
68,8,211
69,8,24
71,8,86
32,8,148
50,9,174
28,9,197
30,9,147
49,9,158
57,9,183
83,10,189
78,10,51
84,10,43
38,10,229
45,10,127
56,10,101
41,10,142
64,10,58
34,11,106
44,11,104
27,11,48
24,11,84
42,11,244
52,11,179
35,11,97
37,12,176
40,12,102
47,12,86
58,12,150
70,12,39
89,12,154
82,12,111
86,12,128
81,13,317
87,13,133
66,13,255
39,13,117
113,13,105
103,14,102
117,14,273
102,14,134
109,14,159
130,14,230
131,15,204
139,15,267
140,15,84
154,15,179
108,15,94
112,15,58
104,15,48
129,16,73
142,16,197
160,16,226
164,16,80
190,16,103
181,16,215
192,16,100
189,17,113
172,17,119
150,17,252
119,17,108
207,17,89
211,17,154
105,17,114
124,18,113
138,18,175
141,18,73
151,18,77
98,18,67
128,18,156
144,18,289
115,19,137
100,19,183
118,19,134
127,19,53
148,19,139
155,19,229
152,20,269
158,20,123
162,20,153
161,20,251
193,20,94
184,20,29
170,21,86
179,21,235
213,21,91
202,21,123
95,21,173
96,21,182
121,22,150
132,22,57
99,22,133
92,22,117
97,22,24
114,22,60
110,22,130
122,22,153
149,22,36
168,22,110
188,23,75
186,23,226
145,23,179
125,23,125
143,23,166
159,23,51
205,23,107
208,24,179
195,24,182
106,24,139
120,24,334
101,24,122
111,25,47
123,25,55
126,25,130
147,25,172
166,25,226
185,25,144
146,25,140
163,26,263
107,26,65
94,26,184
116,26,99
136,26,182
165,26,164
157,26,22
178,27,405
191,27,51
183,27,139
182,27,161
180,27,49
137,27,127
134,28,133
153,28,254
133,28,124
156,28,201
175,28,124
173,28,61
176,28,65
177,29,100
174,29,22
135,29,142
167,29,182
187,29,107
169,29,69
209,29,183
215,30,252
203,30,162
206,30,135
200,30,41
204,30,30
210,30,252
214,30,40
212,31,128
201,31,246
93,31,284
171,31,110
199,31,149
196,31,82
198,32,172
197,32,293
91,32,89
194,32,116
228,32,91
243,32,76
263,32,60
224,33,260
253,33,272
236,33,321
280,33,61
304,34,151
312,34,125
320,34,105
217,34,58
250,34,58
257,34,122
267,34,245
264,34,34
218,35,247
216,35,136
246,35,179
219,35,178
245,35,136
269,35,106
272,36,49
229,36,116
220,36,260
291,36,128
293,36,83
273,36,72
285,36,123
306,36,129
314,37,81
318,37,166
330,37,139
283,37,63
290,37,189
313,37,67
303,37,138
295,37,38
326,38,130
324,38,87
339,38,214
334,38,269
327,38,85
343,38,177
336,39,89
333,39,130
274,39,130
363,39,129
364,39,239
354,39,108
370,39,165
376,40,121
387,40,96
390,40,187
356,40,82
379,40,234
383,40,91
399,40,166
352,41,84
369,41,181
374,41,79
381,41,44
380,41,40
373,41,62
401,41,125
397,41,40
392,41,140
395,41,166
389,42,84
400,42,60
232,42,42
248,42,64
239,42,30
268,42,154
288,42,201
298,42,109
289,42,85
299,42,132
309,43,75
307,43,264
321,43,30
227,43,121
233,43,26
251,43,85
241,43,208
262,44,192
255,44,219
226,44,37
237,44,104
231,44,312
240,45,152
247,45,216
238,45,307
256,45,238
266,46,150
222,46,81
258,46,180
223,46,21
242,46,65
235,46,207
265,46,254
270,47,205
260,47,39
230,47,182
244,47,151
254,47,69
259,47,99
271,47,94
261,47,47
292,47,103
294,48,70
325,48,56
287,48,36
282,48,218
300,48,269
279,48,270
305,49,366
281,49,55
286,49,177
311,49,88
297,49,25
296,49,215
317,50,158
338,50,58
331,50,203
322,50,81
341,50,307
328,50,63
335,51,161
355,51,282
365,51,287
350,51,130
362,51,80
359,52,136
371,52,154
377,52,158
378,52,210
396,52,252
391,53,218
357,53,230
375,53,65
382,53,117
372,53,198
394,53,63
398,53,61
386,54,128
402,54,115
388,54,154
349,54,134
347,54,81
276,54,212
310,54,120
315,55,90
323,55,92
332,55,106
345,55,185
277,55,177
302,55,204
316,56,150
346,56,30
329,56,139
342,56,309
340,56,43
319,56,121
337,56,97
344,56,47
278,57,148
284,57,27
275,57,96
301,57,267
308,57,53
348,57,151
367,57,43
353,57,144
351,58,272
361,58,47
360,58,119
358,58,218
366,58,87
368,58,37
385,58,196
393,59,183
221,59,158
234,59,148
249,59,179
225,59,34
252,59,89
421,59,87
440,60,165
455,60,156
448,60,211
425,60,38
441,60,123
450,60,137
472,60,35
499,60,91
485,60,43
523,61,137
525,61,181
543,61,179
560,61,138
587,61,64
420,61,86
442,61,123
444,62,114
453,62,80
478,62,112
480,62,139
486,62,162
417,62,295
423,62,78
416,63,196
422,63,121
419,63,147
424,63,148
415,63,227
439,63,105
464,64,386
482,64,196
487,64,171
