Task,Station,Task_Time
17,1,84
8,1,254
5,1,283
11,1,139
16,1,226
21,2,165
13,2,125
4,2,137
20,2,129
15,2,351
1,3,107
19,3,144
6,3,43
14,3,156
2,3,89
7,3,217
18,3,91
22,3,111
10,4,206
12,4,154
9,4,308
3,4,102
35,4,175
43,5,123
52,5,187
45,5,120
58,5,203
71,5,145
30,5,172
55,6,337
42,6,72
46,6,180
38,6,150
75,6,83
66,6,138
56,7,118
33,7,99
26,7,241
50,7,209
39,7,85
63,7,173
59,7,52
70,8,113
77,8,33
61,8,24
24,8,158
32,8,120
48,8,29
36,8,347
41,8,96
69,9,215
25,9,144
37,9,318
31,9,115
29,10,242
54,10,31
47,10,374
51,10,52
40,10,130
67,10,97
74,11,119
68,11,73
73,11,221
76,11,102
57,11,185
64,11,268
28,11,32
53,12,53
62,12,74
27,12,278
49,12,77
44,12,154
65,12,145
60,12,117
72,12,60
34,12,32
23,13,191
85,13,250
94,13,52
86,13,26
96,13,140
89,13,257
93,14,201
84,14,126
80,14,274
82,14,45
90,14,175
87,14,102
92,14,36
83,14,35
79,15,32
81,15,42
95,15,163
88,15,51
91,15,146
78,15,141
108,15,102
137,15,168
103,15,86
113,16,185
107,16,40
98,16,234
100,16,75
134,16,66
133,16,90
138,16,120
149,16,98
171,17,204
169,17,99
173,17,145
156,17,179
140,17,197
187,17,56
184,17,52
185,17,46
194,18,79
205,18,164
218,18,120
239,18,221
208,18,148
197,18,266
229,19,57
222,19,92
207,19,41
224,19,172
232,19,129
211,19,221
225,19,222
251,20,257
238,20,87
260,20,130
266,20,94
282,20,105
283,20,153
293,20,147
291,21,106
297,21,62
204,21,195
214,21,33
240,21,210
227,21,26
262,21,348
272,22,22
254,22,226
199,22,95
217,22,156
252,22,112
228,22,117
257,22,62
265,22,142
278,23,186
269,23,158
277,23,85
279,23,30
289,23,131
290,23,240
210,23,156
105,24,97
136,24,299
129,24,189
130,24,169
144,24,59
170,25,206
159,25,236
148,25,112
164,25,124
147,25,128
172,25,133
102,26,137
127,26,164
106,26,186
135,26,251
141,26,218
155,26,43
163,27,75
166,27,241
161,27,72
153,27,171
158,27,102
186,27,176
183,27,31
109,27,126
125,28,129
99,28,155
118,28,112
122,28,66
115,28,114
120,28,32
116,28,266
121,28,36
117,28,35
123,29,96
124,29,188
114,29,239
119,29,162
216,29,35
249,29,62
154,29,153
174,29,56
152,30,97
143,30,157
160,30,113
139,30,94
151,30,205
150,30,182
162,30,44
167,31,109
145,31,300
190,31,22
189,31,103
181,31,219
209,31,233
110,32,155
126,32,331
132,32,139
142,32,217
104,33,179
128,33,118
146,33,150
165,33,84
168,33,114
188,33,110
182,34,251
191,34,88
101,34,70
111,34,54
112,34,148
131,34,213
157,35,184
175,35,58
176,35,155
178,35,169
177,35,22
180,35,36
179,35,168
97,35,112
198,35,83
230,36,299
221,36,43
236,36,57
263,36,164
201,36,89
226,36,74
245,36,87
248,36,87
220,36,47
233,37,172
231,37,67
234,37,201
255,37,41
256,37,67
259,37,48
276,37,241
284,37,55
292,37,40
192,38,187
200,38,98
202,38,119
213,38,114
246,38,174
244,38,197
196,38,57
193,39,324
212,39,112
241,39,160
250,39,145
237,39,208
219,40,180
243,40,105
264,40,178
271,40,199
281,40,74
286,40,196
288,40,38
298,41,54
294,41,66
253,41,179
268,41,123
270,41,97
280,41,190
274,41,200
258,42,92
285,42,40
295,42,190
287,42,170
195,42,61
203,42,149
206,42,193
215,42,82
242,43,179
247,43,166
223,43,86
235,43,155
267,43,120
275,43,45
299,43,55
296,44,214
261,44,101
273,44,178
302,44,158
315,44,79
310,44,116
336,44,46
341,45,217
370,45,78
387,45,166
389,45,203
365,45,250
385,46,161
386,46,64
395,46,55
418,46,81
424,46,54
420,46,99
433,46,106
444,46,165
437,46,79
417,46,110
311,47,256
368,47,217
309,47,96
322,47,112
338,47,191
328,47,90
353,48,294
313,48,259
306,48,129
325,48,81
345,48,88
371,48,119
394,49,135
381,49,110
382,49,30
361,49,96
393,49,112
419,49,134
421,49,75
427,49,41
426,49,139
422,50,323
431,50,32
440,50,45
312,50,163
