Station_ID,Tasks,Load,Capacity
1,"[9, 22, 23, 14, 2, 39]",995,1000
2,"[7, 12, 11, 49, 1, 3, 25]",943,1000
3,"[17, 8, 18, 16, 29, 24, 15, 10, 13]",985,1000
4,"[6, 57, 4, 43, 41, 5, 67]",989,1000
5,"[51, 36, 19, 48, 32, 44, 21, 26]",962,1000
6,"[50, 45, 30, 35, 40, 34]",985,1000
7,"[31, 37, 46, 60, 47, 69, 20]",912,1000
8,"[80, 33, 58, 64, 78, 71, 56]",1000,1000
9,"[55, 81, 63, 83, 42, 62, 61]",909,1000
10,"[59, 52, 77, 28, 70, 65, 79, 68]",907,1000
11,"[54, 93, 95, 38, 73, 108]",849,1000
12,"[116, 53, 72, 86, 89, 102]",882,1000
13,"[66, 74, 104, 85, 125, 128, 76]",859,1000
14,"[87, 82, 106, 99, 84, 127, 124, 92]",902,1000
15,"[143, 90, 113, 103, 133, 115, 27]",888,1000
16,"[123, 147, 153, 181, 141, 142]",964,1000
17,"[145, 212, 117, 152, 107, 180, 140]",926,1000
18,"[156, 210, 151, 149, 162, 118, 225]",993,1000
19,"[170, 75, 98, 97]",950,1000
20,"[109, 101, 88, 155, 219, 105, 100, 91, 185]",949,1000
21,"[121, 110, 150, 112]",941,1000
22,"[179, 129, 148, 216, 132, 114]",973,1000
23,"[111, 94, 183, 169, 172, 160, 186, 144, 164]",973,1000
24,"[213, 157, 188, 193, 173, 135, 191]",987,1000
25,"[134, 217, 204, 130, 138, 190]",969,1000
26,"[131, 120, 136, 119]",856,1000
27,"[189, 208, 206, 184, 200]",905,1000
28,"[222, 209, 146, 182, 154, 96, 158]",916,1000
29,"[192, 178, 174, 126, 165, 194]",938,1000
30,"[205, 159, 122, 137, 139, 214, 176, 167]",952,1000
31,"[161, 198, 163, 243, 207, 171, 241, 203]",917,1000
32,"[175, 242, 201, 197, 195, 166, 177, 168]",988,1000
33,"[223, 196, 224, 233, 231, 234, 221, 248, 253]",838,1000
34,"[229, 215, 187, 199, 246, 230, 236]",900,1000
35,"[235, 239, 267, 240, 252, 265, 249]",985,1000
36,"[202, 245, 218, 211, 279, 227, 226, 254]",996,1000
37,"[262, 237, 244, 251, 288, 282, 263]",994,1000
