Station_ID,Tasks,Load,Capacity
1,"[18, 12, 2, 1, 7, 35, 17]",992,1000
2,"[36, 62, 9, 6]",856,1000
3,"[10, 24, 21, 19]",991,1000
4,"[4, 31, 5]",981,1000
5,"[56, 3, 40]",845,1000
6,"[25, 32, 39, 27, 20]",999,1000
7,"[23, 42, 26, 13, 34]",689,1000
8,"[33, 50, 8]",982,1000
9,"[48, 55, 14, 11, 46, 37]",929,1000
10,"[29, 16]",895,1000
11,"[15, 63]",973,1000
12,"[38, 51, 60]",954,1000
13,"[72, 79]",738,1000
14,"[59, 61]",902,1000
15,"[43, 28, 53, 67]",970,1000
16,"[83, 98, 86, 30, 105]",938,1000
17,"[85, 58, 82, 47]",798,1000
18,"[64, 70, 52]",965,1000
19,"[68, 71, 45]",963,1000
20,"[22, 44, 65, 66, 41]",847,1000
21,"[87, 49, 75, 57]",940,1000
22,"[106, 96, 101]",836,1000
23,"[130, 74]",667,1000
24,[81],482,1000
25,"[104, 76]",641,1000
26,"[73, 113]",979,1000
27,"[78, 88, 109, 118, 139, 115, 126]",893,1000
28,"[146, 89, 103, 99]",962,1000
29,"[151, 100, 158]",967,1000
30,"[112, 80, 69, 90]",806,1000
31,"[102, 92, 129, 125, 121, 135, 97]",988,1000
32,"[127, 124, 154]",999,1000
33,"[140, 123, 77, 93, 117]",996,1000
34,"[144, 107, 132]",978,1000
35,"[165, 114, 136, 133]",916,1000
36,"[54, 116, 108, 176]",867,1000
37,"[94, 163, 164, 172]",919,1000
38,"[110, 147, 186, 122, 160]",955,1000
39,"[91, 137]",626,1000
40,"[148, 187, 181, 119, 120]",916,1000
41,"[131, 152, 171, 169, 149, 185, 183, 174]",996,1000
42,"[167, 155]",662,1000
43,"[173, 145, 190, 168]",987,1000
44,"[84, 150, 175, 194]",986,1000
45,"[191, 161, 211, 159, 153, 195, 138]",894,1000
46,"[141, 226, 170, 177, 201, 196]",928,1000
47,"[219, 200, 221]",681,1000
48,"[193, 198]",661,1000
49,"[180, 228, 197]",927,1000
50,"[189, 202, 162, 188, 220, 206]",854,1000
51,"[192, 204, 208]",913,1000
52,"[184, 227]",608,1000
53,"[241, 212, 215]",966,1000
54,"[249, 218, 222, 207, 179]",964,1000
55,"[111, 214, 229, 95]",963,1000
56,"[223, 182, 199, 244]",956,1000
57,"[178, 254, 209, 210, 205]",750,1000
58,"[128, 250, 217, 143, 230]",980,1000
59,"[266, 243, 256, 203]",918,1000
60,"[283, 225, 246, 235, 237, 272, 234]",842,1000
61,"[259, 156, 236]",890,1000
62,"[252, 166, 264, 216, 293, 245, 247]",924,1000
63,"[142, 232, 248, 258, 295]",635,1000
64,"[231, 265, 242, 253]",786,1000
65,"[239, 240, 262]",922,1000
66,"[157, 238, 261, 260, 268]",934,1000
67,"[278, 275, 251, 213]",890,1000
68,"[134, 277]",633,1000
69,"[255, 257]",773,1000
70,"[281, 285, 273, 274]",817,1000
71,[267],539,1000
72,"[279, 233, 276, 284, 271]",959,1000
73,"[289, 224, 291, 298]",798,1000
74,"[299, 287]",867,1000
75,"[315, 288]",587,1000
76,"[269, 307, 333]",718,1000
77,"[344, 308, 300, 306, 314]",977,1000
78,"[263, 290, 310, 301, 324, 313, 331]",986,1000
79,"[304, 316, 270, 320]",800,1000
80,"[305, 286]",783,1000
81,"[282, 327, 312]",732,1000
82,"[296, 280, 309, 321]",984,1000
83,"[294, 354, 318, 326]",968,1000
84,"[319, 329, 297, 317]",876,1000
85,"[339, 332, 341]",880,1000
86,"[302, 347, 377, 325]",986,1000
87,"[311, 334, 303, 383, 400, 335, 340, 336, 322]",992,1000
88,"[408, 328, 323]",931,1000
89,"[337, 345, 338, 349, 350]",891,1000
90,"[402, 365, 370, 352]",944,1000
91,"[394, 393, 358]",492,1000
92,"[330, 346]",645,1000
93,"[386, 368, 389, 364]",836,1000
94,"[351, 363, 355, 378]",747,1000
95,"[390, 398]",703,1000
96,"[361, 396, 392]",947,1000
97,"[353, 425, 406, 399, 385, 411]",1000,1000
98,"[407, 292, 359, 422]",948,1000
99,"[395, 424, 342]",806,1000
100,"[444, 446, 384, 439, 373]",970,1000
101,"[434, 417, 421, 447]",914,1000
102,"[464, 380, 415, 429, 366, 428]",943,1000
103,"[372, 360, 414]",963,1000
104,"[348, 413, 430, 379, 403, 442]",908,1000
105,"[376, 388, 441]",962,1000
106,"[343, 459, 423, 445]",985,1000
107,"[412, 455, 448, 362]",974,1000
108,"[416, 356]",696,1000
109,"[410, 436, 427]",778,1000
110,"[440, 452, 367, 382]",974,1000
111,"[371, 463, 357, 369, 375]",881,1000
112,"[391, 381, 466, 449]",835,1000
113,"[397, 437, 454, 419, 418]",925,1000
114,"[475, 458, 405, 451, 479]",857,1000
115,"[450, 374, 482]",648,1000
116,"[480, 502, 520]",990,1000
117,"[401, 498, 517, 496]",891,1000
118,"[473, 472, 474, 497, 483]",765,1000
119,"[508, 420, 460, 550]",949,1000
120,"[469, 435, 519, 518, 495, 493, 547, 558]",986,1000
121,"[486, 506, 470, 499]",645,1000
122,"[409, 500, 433]",977,1000
123,"[490, 432, 516, 387, 522, 509, 586]",877,1000
124,"[492, 504, 431]",802,1000
125,"[515, 485, 536, 512, 462, 538]",992,1000
126,"[560, 456, 532, 534, 557]",877,1000
127,"[526, 503]",596,1000
128,"[554, 513]",649,1000
129,"[556, 587, 505]",980,1000
130,"[539, 548, 478, 467]",821,1000
131,"[527, 562, 476, 489]",924,1000
132,"[555, 549, 465, 531]",956,1000
133,"[571, 533, 553, 564]",891,1000
134,"[514, 577, 404]",618,1000
135,"[542, 529, 566]",951,1000
136,"[543, 576, 537, 525, 588]",918,1000
137,"[583, 581, 570]",814,1000
138,"[481, 535, 426, 589]",846,1000
139,"[585, 544, 545, 602]",788,1000
140,"[568, 438, 559, 601, 582]",930,1000
141,"[579, 443, 523, 561]",993,1000
142,"[584, 607, 619, 573, 572, 591]",998,1000
143,"[597, 457, 623, 468, 638]",929,1000
144,"[578, 627]",914,1000
145,"[600, 605, 594, 614]",985,1000
146,"[541, 484, 546, 599, 629, 510]",883,1000
147,"[567, 461, 580, 471, 596]",808,1000
148,"[604, 613]",560,1000
149,"[487, 540, 552, 477]",987,1000
150,"[453, 622, 650, 488, 664, 598, 590]",976,1000
151,"[612, 626, 644, 494, 595]",991,1000
152,"[628, 615, 668, 603]",980,1000
153,"[646, 617, 641, 507, 575]",967,1000
154,"[663, 593, 621]",707,1000
155,"[645, 569, 528]",910,1000
156,"[620, 640, 574, 625, 524, 616]",845,1000
157,"[609, 608]",952,1000
158,"[680, 491, 530]",823,1000
159,"[551, 618, 501]",717,1000
160,"[639, 565, 511, 563, 624, 649]",937,1000
161,"[666, 610, 636, 592, 630, 634, 606]",857,1000
162,"[635, 631, 633, 611, 667, 648, 637]",964,1000
163,"[647, 669]",565,1000
164,"[521, 655]",819,1000
165,"[697, 657, 654]",892,1000
166,"[632, 694, 661, 674]",935,1000
167,"[656, 687, 653, 723, 685]",629,1000
168,"[679, 733]",894,1000
169,"[673, 698]",777,1000
170,"[665, 690]",800,1000
171,"[660, 662, 677, 682]",991,1000
172,"[719, 700, 713]",999,1000
173,"[678, 740, 671, 670]",990,1000
174,"[722, 720, 659, 658, 681]",991,1000
175,"[701, 689, 686, 707, 717]",982,1000
176,"[691, 675, 683]",918,1000
177,"[703, 688, 651, 737, 704]",680,1000
178,"[735, 742, 718]",940,1000
179,"[730, 736, 693]",891,1000
180,"[643, 672, 684, 709, 702, 692]",959,1000
181,"[731, 705, 716, 726, 759, 696, 754]",876,1000
182,"[745, 652, 779]",888,1000
183,"[699, 757, 744, 773, 734, 752, 642]",983,1000
184,"[708, 798, 706]",972,1000
185,"[728, 738, 714]",958,1000
186,"[776, 749, 732, 753, 721]",946,1000
187,"[780, 796, 756]",605,1000
188,"[750, 695, 797, 676]",962,1000
189,"[727, 711, 819, 710]",963,1000
190,"[769, 712, 751, 813, 792, 844, 788, 725]",967,1000
191,"[741, 724, 786, 816, 774, 743, 715, 760, 805]",975,1000
192,"[784, 818]",663,1000
193,"[794, 821]",980,1000
194,"[739, 778, 822, 834, 764]",912,1000
195,"[765, 789]",802,1000
196,"[747, 782, 748, 770]",728,1000
197,"[775, 758, 771, 810, 845]",854,1000
198,"[802, 820, 783, 825, 785]",949,1000
199,"[746, 799, 761, 767]",928,1000
200,"[793, 829, 826]",939,1000
201,"[729, 842, 803, 812, 833, 839]",915,1000
202,"[860, 763, 853]",828,1000
203,"[762, 872]",961,1000
204,"[791, 840, 766]",669,1000
205,"[790, 827]",996,1000
206,"[772, 755, 801, 806, 835, 781, 857, 811]",979,1000
207,"[768, 865, 809, 837, 862]",926,1000
208,"[828, 854, 891, 800]",976,1000
209,"[815, 855, 836, 777]",810,1000
210,"[823, 850, 787]",898,1000
211,"[856, 900, 914, 861, 814]",826,1000
212,"[795, 874, 873]",566,1000
213,"[830, 893]",902,1000
214,"[870, 831, 843, 808]",939,1000
215,"[848, 838, 832, 851]",986,1000
216,"[817, 866, 859]",978,1000
217,"[804, 858, 847, 841]",721,1000
218,"[852, 888, 899]",972,1000
219,"[889, 929, 846, 864]",977,1000
220,"[880, 868, 849, 824]",941,1000
221,"[883, 807, 887, 890, 881]",983,1000
222,"[896, 892]",534,1000
223,[882],479,1000
224,"[931, 923]",800,1000
225,"[894, 905, 920, 958, 869]",914,1000
226,"[886, 906, 926]",842,1000
227,"[898, 904, 910, 918]",820,1000
228,"[978, 895, 922]",976,1000
229,"[884, 867, 863, 875, 878, 897]",996,1000
230,"[938, 925, 935]",920,1000
231,"[908, 876, 912, 871]",856,1000
232,"[933, 928, 907, 902]",809,1000
233,"[941, 930, 903]",826,1000
234,"[960, 916, 909]",694,1000
235,"[885, 921, 956]",845,1000
236,"[911, 924, 942]",821,1000
