Station,Load,Capacity,Idle,Tasks
1,979,1000,21,"[15, 18, 5, 26, 2, 21, 45, 39]"
2,966,1000,34,"[1, 17, 12, 35, 44, 11, 9, 16]"
3,985,1000,15,"[31, 6, 19, 27, 32, 58, 38]"
4,972,1000,28,"[74, 93, 70, 14]"
5,992,1000,8,"[3, 68, 89, 23, 30, 71]"
6,988,1000,12,"[20, 13, 28, 63, 37]"
7,985,1000,15,"[66, 65, 60, 90, 110, 108, 79]"
8,1000,1000,0,"[121, 147, 168, 186, 153, 161, 166, 92]"
9,989,1000,11,"[112, 118, 97, 133, 123, 143, 156, 139, 61]"
10,999,1000,1,"[64, 82, 100, 114, 130, 94, 34]"
11,996,1000,4,"[152, 33, 78, 76, 88, 87]"
12,992,1000,8,"[95, 106, 127, 126, 148, 124, 164]"
13,985,1000,15,"[183, 47, 113, 125, 167, 180, 8, 116]"
14,992,1000,8,"[193, 214, 236, 216, 235, 234]"
15,982,1000,18,"[249, 252, 278, 285, 128, 151]"
16,975,1000,25,"[43, 59, 22, 48, 49, 67, 259]"
17,980,1000,20,"[85, 104, 111, 122, 142, 155, 154, 42, 99, 29, 119]"
18,978,1000,22,"[138, 158, 4, 24, 52, 50]"
19,984,1000,16,"[53, 51, 181, 190, 191, 228, 255]"
20,984,1000,16,"[284, 134, 150, 157, 41, 40]"
21,966,1000,34,"[69, 72, 163, 173, 198, 220, 224, 251, 256]"
22,945,1000,55,"[242, 274, 296, 288, 315]"
23,982,1000,18,"[197, 203, 205, 210, 232]"
24,988,1000,12,"[254, 174, 96, 46, 136, 159]"
25,985,1000,15,"[36, 73, 160, 75, 140, 10, 117]"
26,997,1000,3,"[7, 25, 57, 81, 56, 91, 102, 129]"
27,975,1000,25,"[137, 101, 144, 170, 178, 185, 196, 204]"
28,959,1000,41,"[213, 215, 239, 231]"
29,974,1000,26,"[258, 248, 273, 262, 222, 211, 219]"
30,978,1000,22,"[209, 149, 162, 230, 250, 283, 300, 295, 317, 276, 299, 319]"
31,983,1000,17,"[350, 326, 344, 363, 323, 279, 287]"
32,979,1000,21,"[286, 294, 325, 171, 182, 329, 358, 378]"
33,978,1000,22,"[377, 399, 414, 379, 381, 120, 141, 55, 246]"
34,996,1000,4,"[271, 370, 390, 403, 184, 202, 84]"
35,954,1000,46,"[103, 105, 302, 313, 349, 367, 388, 405, 393]"
36,944,1000,56,"[433, 432, 438, 454]"
37,977,1000,23,"[453, 206, 233, 244, 54, 83, 109]"
