Station,Load,Capacity,Idle,Tasks
1,1000,1000,0,"[11, 27]"
2,629,1000,371,[51]
3,622,1000,378,[63]
4,970,1000,30,"[13, 28]"
5,656,1000,344,[10]
6,767,1000,233,"[36, 53]"
7,955,1000,45,"[80, 107]"
8,842,1000,158,"[125, 140]"
9,516,1000,484,[163]
10,609,1000,391,[188]
11,677,1000,323,[206]
12,816,1000,184,"[162, 182]"
13,916,1000,84,"[197, 232]"
14,890,1000,110,"[245, 262]"
15,670,1000,330,[282]
16,985,1000,15,"[298, 309]"
17,640,1000,360,[328]
18,546,1000,454,[350]
19,803,1000,197,"[17, 32]"
20,626,1000,374,[20]
21,985,1000,15,"[24, 368]"
22,560,1000,440,[384]
23,619,1000,381,"[394, 414]"
24,987,1000,13,"[447, 55]"
25,637,1000,363,[56]
26,983,1000,17,"[74, 2]"
27,786,1000,214,"[86, 97]"
28,959,1000,41,"[21, 23]"
29,656,1000,344,[34]
30,654,1000,346,[57]
31,616,1000,384,[66]
32,658,1000,342,[3]
33,895,1000,105,"[65, 89]"
34,762,1000,238,[47]
35,625,1000,375,[26]
36,705,1000,295,[100]
37,952,1000,48,"[121, 41]"
38,991,1000,9,"[67, 48]"
39,614,1000,386,[122]
40,995,1000,5,"[61, 82]"
41,970,1000,30,"[90, 16]"
42,912,1000,88,"[25, 114]"
43,985,1000,15,"[133, 315]"
44,992,1000,8,"[326, 75]"
45,933,1000,67,"[88, 31]"
46,974,1000,26,"[58, 337]"
47,841,1000,159,"[85, 19]"
48,930,1000,70,"[40, 42]"
49,686,1000,314,[43]
50,660,1000,340,[96]
51,941,1000,59,"[128, 141]"
52,716,1000,284,[164]
53,939,1000,61,"[171, 60]"
54,713,1000,287,[62]
55,921,1000,79,"[104, 83]"
56,895,1000,105,"[102, 109]"
57,847,1000,153,"[110, 78]"
58,922,1000,78,"[1, 108]"
59,976,1000,24,"[87, 132]"
60,694,1000,306,[359]
61,991,1000,9,"[151, 450]"
62,975,1000,25,"[174, 469]"
63,898,1000,102,"[487, 68]"
64,945,1000,55,"[126, 134]"
65,993,1000,7,"[81, 69]"
66,963,1000,37,"[91, 322]"
67,840,1000,160,"[135, 194]"
68,888,1000,112,"[217, 357]"
69,948,1000,52,"[248, 259]"
70,998,1000,2,"[181, 283]"
71,610,1000,390,[371]
72,931,1000,69,"[288, 157]"
73,673,1000,327,[180]
74,717,1000,283,[306]
75,684,1000,316,[46]
76,865,1000,135,"[45, 192]"
77,634,1000,366,[321]
78,730,1000,270,[339]
79,929,1000,71,"[207, 208]"
80,559,1000,441,[370]
81,924,1000,76,"[373, 378]"
82,963,1000,37,"[390, 411]"
83,890,1000,110,"[249, 515]"
84,728,1000,272,[540]
85,484,1000,516,[556]
86,934,1000,66,"[586, 596]"
87,547,1000,453,[537]
88,988,1000,12,"[229, 618]"
89,798,1000,202,"[558, 623]"
90,944,1000,56,"[583, 645]"
91,897,1000,103,"[655, 692]"
92,994,1000,6,"[574, 592]"
93,930,1000,70,"[709, 607]"
94,982,1000,18,"[632, 642]"
95,957,1000,43,"[106, 130]"
96,645,1000,355,[15]
97,700,1000,300,[143]
98,913,1000,87,"[167, 35]"
99,627,1000,373,[54]
100,944,1000,56,"[175, 71]"
101,666,1000,334,"[158, 176]"
102,854,1000,146,"[70, 4]"
103,973,1000,27,"[195, 221]"
104,922,1000,78,"[669, 685]"
105,573,1000,427,[714]
106,977,1000,23,"[728, 236]"
107,642,1000,358,[269]
108,957,1000,43,"[271, 72]"
109,551,1000,449,[76]
110,959,1000,41,"[152, 184]"
111,905,1000,95,"[199, 186]"
112,615,1000,385,[200]
113,571,1000,429,[119]
114,928,1000,72,"[136, 5]"
115,667,1000,333,[224]
116,981,1000,19,"[115, 49]"
117,900,1000,100,"[225, 92]"
118,730,1000,270,[159]
119,951,1000,49,"[196, 235]"
120,593,1000,407,[258]
121,715,1000,285,[253]
122,622,1000,378,[270]
123,962,1000,38,"[721, 752]"
124,672,1000,328,[769]
125,802,1000,198,[781]
126,951,1000,49,"[341, 804]"
127,890,1000,110,"[820, 833]"
128,656,1000,344,[857]
129,985,1000,15,"[155, 875]"
130,590,1000,410,[882]
131,928,1000,72,"[223, 488]"
132,751,1000,249,[531]
133,533,1000,467,[551]
134,937,1000,63,"[555, 573]"
135,547,1000,453,[377]
136,991,1000,9,"[603, 407]"
137,572,1000,428,[418]
138,888,1000,112,"[606, 620]"
139,676,1000,324,[538]
140,980,1000,20,"[561, 434]"
141,936,1000,64,"[609, 629]"
142,953,1000,47,"[7, 641]"
143,942,1000,58,"[6, 667]"
144,983,1000,17,"[683, 695]"
145,1000,1000,0,"[160, 569]"
146,861,1000,139,"[589, 116]"
147,894,1000,106,"[720, 743]"
148,557,1000,443,[758]
149,786,1000,214,[129]
150,720,1000,280,[29]
151,1000,1000,0,"[203, 44]"
152,565,1000,435,[365]
153,569,1000,431,[386]
154,618,1000,382,[399]
155,580,1000,420,[427]
156,891,1000,109,"[440, 465]"
157,857,1000,143,"[481, 381]"
158,936,1000,64,"[391, 412]"
159,650,1000,350,[433]
160,611,1000,389,[149]
161,761,1000,239,"[139, 168]"
162,960,1000,40,"[251, 798]"
163,722,1000,278,[587]
164,980,1000,20,"[93, 189]"
165,899,1000,101,"[254, 190]"
166,975,1000,25,"[272, 284]"
167,667,1000,333,"[420, 448]"
168,993,1000,7,"[453, 148]"
169,983,1000,17,"[241, 172]"
170,995,1000,5,"[111, 191]"
171,903,1000,97,"[250, 305]"
172,961,1000,39,"[479, 317]"
173,682,1000,318,[352]
174,989,1000,11,"[362, 511]"
175,978,1000,22,"[514, 742]"
176,868,1000,132,"[771, 177]"
177,907,1000,93,"[782, 393]"
178,907,1000,93,"[432, 772]"
179,917,1000,83,"[360, 796]"
180,830,1000,170,"[813, 693]"
181,929,1000,71,"[338, 554]"
182,979,1000,21,"[64, 819]"
183,888,1000,112,"[222, 800]"
184,986,1000,14,"[94, 113]"
185,984,1000,16,"[234, 193]"
186,997,1000,3,"[112, 828]"
187,910,1000,90,"[810, 209]"
188,953,1000,47,"[817, 848]"
189,998,1000,2,"[445, 486]"
190,685,1000,315,"[385, 401]"
191,918,1000,82,"[868, 410]"
192,956,1000,44,"[568, 876]"
193,603,1000,397,[893]
194,575,1000,425,[915]
195,600,1000,400,[954]
196,555,1000,445,[966]
197,740,1000,260,[657]
198,627,1000,373,[686]
199,946,1000,54,"[705, 733]"
200,531,1000,469,[791]
201,883,1000,117,"[808, 825]"
202,982,1000,18,"[280, 295]"
203,929,1000,71,"[844, 312]"
204,988,1000,12,"[858, 325]"
205,959,1000,41,"[621, 637]"
206,999,1000,1,"[601, 161]"
207,974,1000,26,"[173, 673]"
208,777,1000,223,[605]
209,637,1000,363,[588]
210,858,1000,142,"[676, 694]"
211,711,1000,289,[716]
212,644,1000,356,[201]
213,721,1000,279,[814]
214,600,1000,400,[826]
215,625,1000,375,[846]
216,997,1000,3,"[402, 917]"
217,983,1000,17,"[950, 955]"
218,924,1000,76,"[974, 441]"
219,925,1000,75,"[457, 482]"
220,788,1000,212,[502]
221,547,1000,453,[527]
222,541,1000,459,[344]
223,942,1000,58,"[363, 822]"
224,699,1000,301,[838]
225,917,1000,83,"[856, 382]"
226,971,1000,29,"[396, 873]"
227,1000,1000,0,"[881, 415]"
228,606,1000,394,[443]
229,557,1000,443,[866]
230,542,1000,458,[627]
231,986,1000,14,"[238, 260]"
232,984,1000,16,"[650, 753]"
233,964,1000,36,"[281, 765]"
234,974,1000,26,"[291, 884]"
235,1000,1000,0,"[894, 744]"
236,992,1000,8,"[762, 604]"
237,991,1000,9,"[668, 776]"
238,656,1000,344,[307]
239,994,1000,6,"[675, 793]"
240,998,1000,2,"[809, 268]"
241,950,1000,50,"[277, 452]"
242,973,1000,27,"[485, 703]"
243,864,1000,136,"[532, 723]"
244,968,1000,32,"[735, 921]"
245,970,1000,30,"[942, 324]"
246,624,1000,376,[404]
247,603,1000,397,[421]
248,638,1000,362,[444]
249,685,1000,315,[467]
250,620,1000,380,[471]
251,796,1000,204,[718]
252,996,1000,4,"[755, 353]"
253,982,1000,18,"[367, 389]"
254,721,1000,279,[400]
255,620,1000,380,[156]
256,596,1000,404,[741]
257,610,1000,390,[535]
258,740,1000,260,[343]
259,957,1000,43,"[567, 364]"
260,817,1000,183,[383]
261,1000,1000,0,"[649, 278]"
262,981,1000,19,"[296, 484]"
263,764,1000,236,"[508, 522]"
264,987,1000,13,"[861, 869]"
265,996,1000,4,"[541, 892]"
266,998,1000,2,"[395, 908]"
267,642,1000,358,[927]
268,743,1000,257,[860]
269,1000,1000,0,"[905, 886]"
270,641,1000,359,[895]
271,701,1000,299,[922]
272,965,1000,35,"[153, 812]"
273,617,1000,383,[500]
274,749,1000,251,"[570, 600]"
275,975,1000,25,"[614, 530]"
276,907,1000,93,"[552, 824]"
277,916,1000,84,"[375, 565]"
278,893,1000,107,"[877, 914]"
279,969,1000,31,"[572, 595]"
280,993,1000,7,"[924, 615]"
281,998,1000,2,"[633, 636]"
282,952,1000,48,"[332, 662]"
283,711,1000,289,[147]
284,977,1000,23,"[166, 750]"
285,923,1000,77,"[775, 491]"
286,967,1000,33,"[787, 516]"
287,639,1000,361,[351]
288,955,1000,45,"[37, 256]"
289,997,1000,3,"[625, 279]"
290,965,1000,35,"[408, 671]"
291,656,1000,344,[687]
292,980,1000,20,"[918, 862]"
293,988,1000,12,"[823, 887]"
294,946,1000,54,"[834, 903]"
295,992,1000,8,"[403, 980]"
296,629,1000,371,[417]
297,995,1000,5,"[513, 425]"
298,942,1000,58,"[439, 843]"
299,603,1000,397,[855]
300,810,1000,190,[872]
301,959,1000,41,"[634, 880]"
302,992,1000,8,"[985, 257]"
303,998,1000,2,"[275, 941]"
304,615,1000,385,[276]
305,953,1000,47,"[916, 392]"
306,935,1000,65,"[429, 767]"
307,995,1000,5,"[777, 952]"
308,993,1000,7,"[832, 498]"
309,978,1000,22,"[890, 523]"
310,999,1000,1,"[920, 948]"
311,950,1000,50,"[959, 984]"
312,933,1000,67,"[740, 764]"
313,956,1000,44,"[506, 784]"
314,984,1000,16,"[802, 702]"
315,964,1000,36,"[987, 520]"
316,974,1000,26,"[210, 646]"
317,585,1000,415,[661]
318,989,1000,11,"[748, 759]"
319,633,1000,367,[356]
320,936,1000,64,"[563, 366]"
321,979,1000,21,"[768, 387]"
322,967,1000,33,"[405, 369]"
323,946,1000,54,"[745, 774]"
324,994,1000,6,"[374, 786]"
325,653,1000,347,[664]
326,985,1000,15,"[859, 430]"
327,680,1000,320,[449]
328,938,1000,62,"[468, 218]"
329,960,1000,40,"[240, 419]"
330,639,1000,361,[438]
331,648,1000,352,[865]
332,968,1000,32,"[493, 525]"
333,945,1000,55,"[297, 205]"
334,641,1000,359,[226]
335,954,1000,46,"[204, 907]"
336,992,1000,8,"[127, 507]"
337,994,1000,6,"[99, 461]"
338,916,1000,84,"[169, 183]"
339,993,1000,7,"[579, 198]"
340,911,1000,89,"[658, 688]"
341,999,1000,1,"[179, 707]"
342,1000,1000,0,"[562, 300]"
343,993,1000,7,"[252, 929]"
344,909,1000,91,"[949, 971]"
345,756,1000,244,[982]
346,665,1000,335,[584]
347,699,1000,301,[910]
348,668,1000,332,[766]
349,997,1000,3,"[778, 647]"
350,620,1000,380,[416]
351,997,1000,3,"[154, 431]"
352,635,1000,365,[117]
353,722,1000,278,[672]
354,993,1000,7,"[212, 935]"
355,990,1000,10,"[989, 943]"
356,933,1000,67,"[666, 970]"
357,989,1000,11,"[679, 975]"
358,663,1000,337,[348]
359,620,1000,380,[314]
360,971,1000,29,"[335, 680]"
361,1000,1000,0,"[261, 274]"
362,949,1000,51,"[696, 304]"
363,1000,1000,0,"[146, 747]"
364,713,1000,287,[773]
365,991,1000,9,"[725, 456]"
366,986,1000,14,"[797, 477]"
367,687,1000,313,[462]
368,668,1000,332,[805]
369,972,1000,28,"[821, 830]"
370,984,1000,16,"[792, 435]"
371,655,1000,345,[458]
372,999,1000,1,"[230, 409]"
373,994,1000,6,"[780, 578]"
374,960,1000,40,"[590, 266]"
375,999,1000,1,"[863, 660]"
376,762,1000,238,[330]
377,1000,1000,0,"[8, 811]"
378,638,1000,362,[933]
379,755,1000,245,[946]
380,652,1000,348,[960]
381,677,1000,323,[12]
382,990,1000,10,"[931, 202]"
383,994,1000,6,"[754, 610]"
384,993,1000,7,"[227, 622]"
385,990,1000,10,"[534, 928]"
386,710,1000,290,[413]
387,676,1000,324,[630]
388,975,1000,25,"[509, 454]"
389,959,1000,41,"[290, 478]"
390,968,1000,32,"[503, 517]"
391,628,1000,372,[968]
392,968,1000,32,"[144, 983]"
393,955,1000,45,"[998, 219]"
394,966,1000,34,"[651, 463]"
395,967,1000,33,"[473, 644]"
396,685,1000,315,[734]
397,994,1000,6,"[602, 303]"
398,607,1000,393,[318]
399,991,1000,9,"[52, 934]"
400,999,1000,1,"[497, 936]"
401,920,1000,80,"[840, 533]"
402,719,1000,281,[550]
403,991,1000,9,"[346, 494]"
404,999,1000,1,"[849, 518]"
405,977,1000,23,"[889, 613]"
406,992,1000,8,"[991, 624]"
407,1000,1000,0,"[653, 867]"
408,684,1000,316,[150]
409,989,1000,11,"[612, 628]"
410,855,1000,145,"[640, 302]"
411,999,1000,1,"[665, 529]"
412,675,1000,325,[345]
413,998,1000,2,"[911, 938]"
414,998,1000,2,"[9, 648]"
415,621,1000,379,[663]
416,992,1000,8,"[308, 340]"
417,678,1000,322,[901]
418,626,1000,374,[495]
419,997,1000,3,"[548, 470]"
420,981,1000,19,"[900, 891]"
421,989,1000,11,"[483, 380]"
422,987,1000,13,"[398, 594]"
423,989,1000,11,"[490, 611]"
424,959,1000,41,"[501, 835]"
425,957,1000,43,"[964, 422]"
426,997,1000,3,"[436, 336]"
427,730,1000,270,[231]
428,996,1000,4,"[316, 593]"
429,995,1000,5,"[806, 879]"
430,995,1000,5,"[885, 972]"
431,992,1000,8,"[739, 549]"
432,993,1000,7,"[265, 912]"
433,954,1000,46,"[904, 932]"
434,952,1000,48,"[708, 788]"
435,1000,1000,0,"[30, 334]"
436,724,1000,276,[617]
437,691,1000,309,[499]
438,671,1000,329,[746]
439,990,1000,10,"[349, 761]"
440,977,1000,23,"[690, 783]"
441,973,1000,27,"[801, 652]"
442,995,1000,5,"[233, 674]"
443,695,1000,305,[794]
444,987,1000,13,"[678, 712]"
445,943,1000,57,"[670, 681]"
446,998,1000,2,"[730, 701]"
447,991,1000,9,"[361, 727]"
448,992,1000,8,"[953, 945]"
449,988,1000,12,"[342, 717]"
450,992,1000,8,"[635, 656]"
451,989,1000,11,"[677, 986]"
452,984,1000,16,"[472, 996]"
453,961,1000,39,"[994, 981]"
454,804,1000,196,[926]
455,926,1000,74,"[544, 770]"
456,682,1000,318,[559]
457,996,1000,4,"[239, 713]"
458,778,1000,222,[749]
459,995,1000,5,"[763, 726]"
460,1000,1000,0,"[699, 913]"
461,1000,1000,0,"[899, 684]"
462,935,1000,65,"[329, 722]"
463,991,1000,9,"[956, 757]"
464,1000,1000,0,"[214, 803]"
465,963,1000,37,"[965, 287]"
466,972,1000,28,"[424, 576]"
467,996,1000,4,"[39, 59]"
468,995,1000,5,"[545, 451]"
469,967,1000,33,"[170, 327]"
470,1000,1000,0,"[347, 323]"
471,990,1000,10,"[33, 957]"
472,951,1000,49,"[292, 311]"
473,922,1000,78,"[289, 682]"
474,996,1000,4,"[737, 711]"
475,973,1000,27,"[585, 874]"
476,998,1000,2,"[582, 626]"
477,987,1000,13,"[976, 839]"
478,993,1000,7,"[79, 852]"
479,981,1000,19,"[829, 883]"
480,957,1000,43,"[310, 333]"
481,990,1000,10,"[909, 355]"
482,997,1000,3,"[896, 760]"
483,1000,1000,0,"[785, 243]"
484,957,1000,43,"[187, 990]"
485,979,1000,21,"[897, 406]"
486,937,1000,63,"[428, 715]"
487,992,1000,8,"[969, 95]"
488,997,1000,3,"[978, 131]"
489,980,1000,20,"[598, 142]"
490,982,1000,18,"[242, 273]"
491,961,1000,39,"[293, 120]"
492,986,1000,14,"[575, 510]"
493,940,1000,60,"[528, 512]"
494,994,1000,6,"[521, 853]"
495,963,1000,37,"[557, 871]"
496,996,1000,4,"[299, 597]"
497,992,1000,8,"[841, 220]"
498,986,1000,14,"[504, 689]"
499,989,1000,11,"[831, 993]"
500,971,1000,29,"[616, 464]"
501,921,1000,79,"[437, 460]"
502,998,1000,2,"[988, 995]"
503,995,1000,5,"[77, 940]"
504,994,1000,6,"[105, 697]"
505,999,1000,1,"[73, 816, 827]"
