Station,Load,Capacity,Idle,Tasks
1,969,1000,31,"[16, 36, 53, 72, 96, 109, 142, 161]"
2,959,1000,41,"[175, 197, 204, 236, 15, 37]"
3,925,1000,75,"[57, 69, 91, 113, 143, 155, 168]"
4,970,1000,30,"[182, 13, 33, 51, 78, 115]"
5,966,1000,34,"[249, 138, 154, 117, 144, 55]"
6,982,1000,18,"[257, 71, 98, 103, 80]"
7,965,1000,35,"[14, 81, 108, 23, 34, 94, 58, 61, 83, 43]"
8,978,1000,22,"[42, 6, 32, 41]"
9,969,1000,31,"[124, 151, 171, 139, 157]"
10,971,1000,29,"[181, 167, 5, 183, 122, 39, 40, 201]"
11,981,1000,19,"[216, 210, 173, 243, 187, 229]"
12,948,1000,52,"[159, 101, 256, 200, 166, 238, 277]"
13,994,1000,6,"[7, 323, 342, 352]"
14,970,1000,30,"[231, 246, 253, 74, 95, 114]"
15,973,1000,27,"[1, 233, 252, 118, 237, 99, 165, 275]"
16,974,1000,26,"[8, 316, 335, 344, 349, 359]"
17,939,1000,61,"[372, 361, 377, 384, 396, 413, 434, 20]"
18,988,1000,12,"[444, 474, 480, 383, 397, 405, 27, 59, 77]"
19,979,1000,21,"[351, 84, 423, 439, 458, 495, 514, 541, 559, 576, 596, 340]"
20,984,1000,16,"[360, 368, 381, 400, 422, 431, 442, 471, 18, 30]"
21,954,1000,46,"[536, 579, 304, 341, 356, 370, 385, 392]"
22,984,1000,16,"[73, 404, 436, 445, 464, 483, 500, 520]"
23,964,1000,36,"[550, 67, 90, 10, 75, 86, 47, 540, 570]"
24,976,1000,24,"[578, 56, 62, 50, 31, 64, 63, 9, 48, 68]"
25,972,1000,28,"[49, 52, 70, 85, 65, 89]"
26,980,1000,20,"[87, 88, 104, 135, 302, 448, 459]"
27,968,1000,32,"[217, 222, 244, 254, 557, 162]"
28,971,1000,29,"[179, 251, 478, 501, 525, 552, 11]"
29,985,1000,15,"[26, 120, 565, 589, 605, 353, 268, 338]"
30,988,1000,12,"[369, 379, 481, 511, 519, 593]"
31,984,1000,16,"[537, 614, 631, 666, 529, 535, 119, 626]"
32,977,1000,23,"[630, 627, 606, 2, 650]"
33,976,1000,24,"[611, 667, 180, 350, 686, 575, 602, 623]"
34,979,1000,21,"[644, 654, 306, 107, 358, 4, 93, 112, 121]"
35,990,1000,10,"[195, 208, 215, 19, 25, 60, 239, 652, 676]"
