Station,Load,Capacity,Idle,Tasks
1,984,1000,16,"[10, 16]"
2,977,1000,23,"[24, 39, 60, 78]"
3,919,1000,81,"[9, 7]"
4,948,1000,52,"[18, 11, 8, 6, 28]"
5,980,1000,20,"[50, 80]"
6,962,1000,38,"[110, 115, 31, 12, 19]"
7,965,1000,35,"[30, 65, 75]"
8,996,1000,4,"[102, 95, 48, 88, 114]"
9,961,1000,39,"[63, 74, 96, 136, 156]"
10,993,1000,7,"[100, 181, 155, 177]"
11,941,1000,59,"[195, 183, 120, 157]"
12,989,1000,11,"[207, 180, 194, 205]"
13,937,1000,63,"[138, 228, 239, 175, 158]"
14,953,1000,47,"[214, 246, 271]"
15,943,1000,57,"[199, 210, 272, 295]"
16,933,1000,67,"[212, 174, 286]"
17,961,1000,39,"[302, 169, 179, 184, 303]"
18,931,1000,69,"[231, 320, 343, 376, 388, 413, 426]"
19,836,1000,164,"[446, 453, 482, 498]"
20,946,1000,54,"[526, 533, 556, 567]"
21,915,1000,85,"[142, 162, 176, 196, 208]"
22,877,1000,123,"[216, 241, 279, 293]"
23,900,1000,100,"[584, 309, 448, 84, 109, 122]"
24,956,1000,44,"[137, 332, 357, 364]"
25,972,1000,28,"[467, 371, 391, 397, 253, 267, 471, 283, 307]"
26,978,1000,22,"[490, 509, 538, 557]"
27,935,1000,65,"[575, 586, 25]"
28,916,1000,84,"[32, 67, 219, 232]"
29,946,1000,54,"[127, 146, 217, 55, 79]"
30,980,1000,20,"[106, 121, 135, 215]"
31,941,1000,59,"[305, 554]"
32,978,1000,22,"[297, 4, 260, 187, 294]"
33,958,1000,42,"[206, 245, 223, 236]"
34,986,1000,14,"[266, 282, 300, 256, 301]"
35,948,1000,52,"[152, 319, 274, 290, 306]"
36,989,1000,11,"[51, 317, 331, 353, 339, 375]"
37,945,1000,55,"[386, 405, 13, 35]"
38,997,1000,3,"[52, 71, 43]"
39,970,1000,30,"[69, 3, 91, 92]"
40,971,1000,29,"[423, 22, 93, 445, 26]"
41,965,1000,35,"[72, 329, 70, 113, 457, 351]"
42,946,1000,54,"[46, 470, 367, 392]"
43,991,1000,9,"[569, 399, 422, 235]"
44,999,1000,1,"[129, 582, 362, 432, 601]"
45,996,1000,4,"[197, 610, 632, 651]"
46,911,1000,89,"[677, 690, 705, 711]"
47,980,1000,20,"[622, 732, 748]"
48,952,1000,48,"[769, 192, 211, 226, 233]"
49,973,1000,27,"[621, 132]"
50,961,1000,39,"[49, 315, 333, 354]"
51,999,1000,1,"[366, 663, 669, 695, 700]"
52,919,1000,81,"[709, 385]"
53,929,1000,71,"[133, 404, 420, 441, 459]"
54,967,1000,33,"[480, 85, 103]"
55,984,1000,16,"[111, 613, 493]"
56,975,1000,25,"[520, 626, 782, 5]"
57,979,1000,21,"[511, 792, 508, 530]"
58,972,1000,28,"[806, 822, 47]"
59,973,1000,27,"[847, 77, 201]"
60,979,1000,21,"[153, 2, 98]"
61,989,1000,11,"[165, 172, 112, 141, 298, 308]"
62,983,1000,17,"[304, 171, 321, 185, 1, 336, 170, 360]"
63,971,1000,29,"[884, 380, 659, 680]"
64,989,1000,11,"[682, 702, 535, 544, 334]"
65,983,1000,17,"[714, 355, 564, 363, 200]"
66,976,1000,24,"[204, 227, 406, 726]"
67,960,1000,40,"[721, 252, 712, 899, 916, 943, 955]"
68,966,1000,34,"[733, 725, 414, 173, 602, 744, 761]"
69,918,1000,82,"[786, 973, 803]"
70,994,1000,6,"[992, 247, 819, 424]"
71,994,1000,6,"[434, 834, 857, 390]"
72,921,1000,79,"[82, 105, 382]"
73,986,1000,14,"[701, 90, 402]"
74,951,1000,49,"[254, 713, 739]"
75,909,1000,91,"[213, 15, 751]"
76,960,1000,40,"[805, 624]"
77,968,1000,32,"[649, 747, 182, 42]"
78,973,1000,27,"[68, 193, 202]"
79,934,1000,66,"[763, 708]"
80,917,1000,83,"[73, 820, 772, 776, 791]"
81,989,1000,11,"[841, 809, 821, 865, 418]"
82,960,1000,40,"[449, 886, 464]"
83,967,1000,33,"[476, 314, 330, 356, 491, 365]"
84,929,1000,71,"[27, 378, 915, 932]"
85,967,1000,33,"[966, 930, 949, 837]"
86,945,1000,55,"[259, 373, 387, 411]"
87,954,1000,46,"[419, 323, 230]"
88,963,1000,37,"[337, 322, 242, 94, 37]"
89,951,1000,49,"[257, 542, 431, 430, 149, 128, 45]"
90,962,1000,38,"[154, 258, 234, 563, 593]"
91,961,1000,39,"[958, 619, 630]"
92,919,1000,81,"[650, 845, 873, 888, 927, 944, 961]"
93,959,1000,41,"[972, 347, 447, 452, 473]"
94,920,1000,80,"[507, 518, 559, 393]"
95,929,1000,71,"[565, 410, 428, 592]"
96,971,1000,29,"[599, 436, 460, 475]"
97,937,1000,63,"[517, 537, 489, 587]"
98,916,1000,84,"[488, 370, 555]"
99,994,1000,6,"[562, 377, 437, 450, 358, 359, 529]"
100,979,1000,21,"[600, 469, 620, 591]"
101,982,1000,18,"[638, 603, 421]"
102,1000,1000,0,"[637, 657, 876, 896, 440]"
103,999,1000,1,"[919, 684, 704, 716]"
104,913,1000,87,"[463, 728, 757, 771, 775]"
105,984,1000,16,"[802, 107, 21, 238]"
106,980,1000,20,"[268, 29, 61, 1000, 485, 497]"
107,949,1000,51,"[398, 766, 666, 777]"
108,993,1000,7,"[800, 688, 639, 665, 691, 269, 104]"
109,968,1000,32,"[277, 123, 150]"
110,963,1000,37,"[379, 835, 465, 484, 870]"
111,988,1000,12,"[889, 921, 536, 818]"
112,998,1000,2,"[737, 743, 140]"
113,955,1000,45,"[707, 167, 361, 408, 710]"
114,983,1000,17,"[280, 784, 804, 735]"
115,979,1000,21,"[755, 396, 178, 186, 836]"
116,956,1000,44,"[435, 724, 863]"
117,963,1000,37,"[442, 816, 270, 451, 281, 885]"
118,958,1000,42,"[908, 825, 862]"
119,965,1000,35,"[683, 864, 108]"
120,951,1000,49,"[118, 914, 887, 920, 941]"
121,993,1000,7,"[957, 20]"
122,958,1000,42,"[275, 58, 950]"
123,994,1000,6,"[970, 987, 608, 472]"
124,962,1000,38,"[609, 494, 528, 541, 553]"
125,982,1000,18,"[905, 574, 596, 571]"
126,984,1000,16,"[928, 595, 218]"
127,966,1000,34,"[904, 635, 660]"
128,958,1000,42,"[670, 697, 933, 645]"
129,982,1000,18,"[17, 433, 458, 971]"
130,977,1000,23,"[661, 993, 576, 117, 190]"
131,985,1000,15,"[848, 344, 263, 578]"
132,986,1000,14,"[607, 415, 699, 723, 730, 531, 549]"
133,994,1000,6,"[568, 980, 221, 243]"
134,982,1000,18,"[527, 540, 560, 324, 352]"
135,994,1000,6,"[372, 389, 570, 588]"
136,989,1000,11,"[605, 788]"
137,970,1000,30,"[793, 134, 597]"
138,959,1000,41,"[606, 829, 854, 880]"
139,955,1000,45,"[640, 879, 894]"
140,977,1000,23,"[124, 506, 125]"
141,963,1000,37,"[34, 148, 455, 510]"
142,985,1000,15,"[395, 742, 750, 765]"
143,972,1000,28,"[643, 787, 237, 265]"
144,996,1000,4,"[325, 288, 801, 811, 826]"
145,996,1000,4,"[310, 858, 866, 844, 871]"
146,960,1000,40,"[890, 119, 703]"
147,994,1000,6,"[717, 59, 144, 229, 456, 487, 496]"
148,969,1000,31,"[261, 832, 479]"
149,988,1000,12,"[654, 500, 515, 653, 674]"
150,1000,1000,0,"[686, 641, 929, 951, 979]"
151,963,1000,37,"[900, 477, 341]"
152,988,1000,12,"[644, 44, 66, 898, 952]"
153,971,1000,29,"[902, 965, 625, 664]"
154,979,1000,21,"[983, 678, 512]"
155,962,1000,38,"[342, 101, 539, 912, 940]"
156,991,1000,9,"[853, 924, 959, 558]"
157,986,1000,14,"[585, 815, 572, 590, 618]"
158,990,1000,10,"[824, 628, 244, 41]"
159,998,1000,2,"[62, 977, 57, 292, 694]"
160,998,1000,2,"[698, 318, 839, 163, 349]"
161,995,1000,5,"[368, 869, 893, 799, 812]"
162,966,1000,34,"[159, 830, 901, 14, 583]"
163,999,1000,1,"[634, 276, 291, 778, 795, 296, 945, 960]"
164,982,1000,18,"[976, 312, 191, 740]"
165,976,1000,24,"[401, 126, 746]"
166,991,1000,9,"[403, 779, 798, 814]"
167,989,1000,11,"[532, 83, 754, 808, 823]"
168,981,1000,19,"[855, 790, 874, 145]"
169,986,1000,14,"[439, 642, 850]"
170,984,1000,16,"[672, 273, 284, 917]"
171,985,1000,15,"[942, 774, 407]"
172,992,1000,8,"[906, 56, 425]"
173,970,1000,30,"[706, 444, 462, 474]"
174,981,1000,19,"[689, 922, 516]"
175,973,1000,27,"[827, 616, 468, 481, 64, 931, 646, 409]"
176,992,1000,8,"[810, 878, 996, 615]"
177,984,1000,16,"[856, 573, 681]"
178,969,1000,31,"[248, 875, 852]"
179,993,1000,7,"[760, 828, 636]"
180,978,1000,22,"[658, 861, 962, 656, 982]"
181,1000,1000,0,"[994, 519, 369, 416]"
182,973,1000,27,"[53, 222, 338, 86]"
183,990,1000,10,"[968, 892, 486, 348]"
184,990,1000,10,"[340, 903, 831, 974]"
185,977,1000,23,"[995, 860, 164]"
186,971,1000,29,"[577, 36, 673]"
187,997,1000,3,"[727, 255]"
188,982,1000,18,"[685, 991, 328, 264, 997]"
189,975,1000,25,"[483, 209, 715, 738]"
190,990,1000,10,"[749, 311, 374, 40]"
191,1000,1000,0,"[316, 722, 745, 505]"
192,997,1000,3,"[523, 648, 849, 934, 54, 287]"
193,981,1000,19,"[907, 978, 492, 935, 964]"
194,992,1000,8,"[897, 495, 522, 589, 614]"
195,983,1000,17,"[417, 249, 667]"
196,997,1000,3,"[668, 696, 720, 524]"
197,992,1000,8,"[81, 461, 551, 627, 594, 611, 963]"
198,984,1000,16,"[543, 687, 967, 986, 478]"
199,993,1000,7,"[718, 647, 671, 948]"
200,999,1000,1,"[693, 872, 975]"
201,995,1000,5,"[501, 891, 936, 999, 985]"
202,990,1000,10,"[925, 938, 947, 807]"
203,995,1000,5,"[867, 838, 384, 250, 130, 502]"
204,996,1000,4,"[278, 188, 734, 427, 633]"
205,987,1000,13,"[346, 833, 946, 877, 381]"
206,983,1000,17,"[299, 953, 289]"
207,986,1000,14,"[546, 545, 780, 937, 566]"
208,990,1000,10,"[843, 38, 345, 143]"
209,991,1000,9,"[731, 842, 612, 631]"
210,1000,1000,0,"[131, 561, 552, 499, 652]"
211,986,1000,14,"[736, 753, 438, 676, 503, 514]"
212,990,1000,10,"[797, 262]"
213,983,1000,17,"[617, 400, 598]"
214,989,1000,11,"[954, 926, 534, 189]"
215,980,1000,20,"[33, 623, 662]"
216,985,1000,15,"[89, 759, 548, 796]"
217,998,1000,2,"[550, 513, 525, 579, 729]"
218,997,1000,3,"[752, 998, 225, 773, 97, 116]"
219,982,1000,18,"[350, 783, 794]"
220,984,1000,16,"[990, 679, 604, 768, 23]"
221,988,1000,12,"[846, 147, 969, 285, 203]"
222,991,1000,9,"[547, 758, 87, 770, 160, 139, 161]"
223,985,1000,15,"[911, 764, 580]"
224,979,1000,21,"[719, 918, 781, 984]"
225,990,1000,10,"[629, 883, 198, 785]"
226,979,1000,21,"[909, 166]"
227,998,1000,2,"[789, 817, 913, 99]"
228,992,1000,8,"[988, 168, 335, 383, 412, 521]"
229,989,1000,11,"[956, 767, 741]"
230,989,1000,11,"[251, 151, 756, 454]"
231,982,1000,18,"[882, 851, 939]"
232,990,1000,10,"[692, 881, 989, 655, 313]"
233,991,1000,9,"[675, 868, 394]"
234,985,1000,15,"[326, 466, 224, 429, 840]"
235,994,1000,6,"[762, 581, 910, 240, 895, 923, 220, 981, 504, 813, 76, 327]"
236,986,1000,14,"[859, 443]"
