Station,Load,Capacity,Idle,Tasks
1,878,1000,122,"[9, 33]"
2,932,1000,68,"[15, 26]"
3,748,1000,252,"[55, 8]"
4,960,1000,40,"[25, 51]"
5,959,1000,41,"[54, 66]"
6,1000,1000,0,"[86, 45]"
7,582,1000,418,[62]
8,826,1000,174,"[7, 23]"
9,963,1000,37,"[19, 30]"
10,858,1000,142,"[50, 64]"
11,880,1000,120,"[65, 92]"
12,861,1000,139,"[4, 63]"
13,899,1000,101,"[3, 102]"
14,995,1000,5,"[117, 137]"
15,994,1000,6,"[168, 188]"
16,972,1000,28,"[201, 75]"
17,970,1000,30,"[88, 227]"
18,956,1000,44,"[250, 268]"
19,475,1000,525,[285]
20,667,1000,333,[292]
21,992,1000,8,"[308, 17]"
22,662,1000,338,[28]
23,662,1000,338,[52]
24,610,1000,390,[69]
25,530,1000,470,[49]
26,764,1000,236,[67]
27,978,1000,22,"[12, 96]"
28,878,1000,122,"[109, 123]"
29,561,1000,439,[143]
30,526,1000,474,[174]
31,522,1000,478,[184]
32,811,1000,189,"[202, 234]"
33,999,1000,1,"[249, 260]"
34,997,1000,3,"[277, 138]"
35,585,1000,415,[171]
36,547,1000,453,[266]
37,654,1000,346,[306]
38,996,1000,4,"[324, 282]"
39,951,1000,49,"[288, 167]"
40,995,1000,5,"[189, 208]"
41,946,1000,54,"[219, 186]"
42,998,1000,2,"[328, 77]"
43,686,1000,314,[196]
44,984,1000,16,"[298, 351]"
45,927,1000,73,"[27, 44]"
46,607,1000,393,[2]
47,747,1000,253,[379]
48,727,1000,273,[400]
49,529,1000,471,[422]
50,872,1000,128,"[68, 95]"
51,992,1000,8,"[101, 447]"
52,994,1000,6,"[465, 265]"
53,838,1000,162,"[283, 294]"
54,586,1000,414,[85]
55,765,1000,235,[57]
56,640,1000,360,[111]
57,965,1000,35,"[112, 128]"
58,924,1000,76,"[114, 149]"
59,912,1000,88,"[175, 42]"
60,965,1000,35,"[98, 103]"
61,990,1000,10,"[70, 120]"
62,987,1000,13,"[79, 132]"
63,990,1000,10,"[153, 134]"
64,932,1000,68,"[83, 76]"
65,979,1000,21,"[61, 84]"
66,990,1000,10,"[60, 190]"
67,924,1000,76,"[198, 220]"
68,965,1000,35,"[241, 264]"
69,950,1000,50,"[213, 271]"
70,911,1000,89,"[133, 14]"
71,658,1000,342,[36]
72,974,1000,26,"[226, 20]"
73,690,1000,310,[21]
74,866,1000,134,"[303, 320]"
75,666,1000,334,[327]
76,954,1000,46,"[59, 99]"
77,689,1000,311,[41]
78,974,1000,26,"[89, 100]"
79,957,1000,43,"[81, 116]"
80,969,1000,31,"[157, 253]"
81,975,1000,25,"[182, 262]"
82,951,1000,49,"[203, 274]"
83,785,1000,215,"[295, 310]"
84,999,1000,1,"[311, 56]"
85,912,1000,88,"[297, 350]"
86,600,1000,400,[225]
87,985,1000,15,"[254, 258]"
88,987,1000,13,"[13, 180]"
89,726,1000,274,[197]
90,636,1000,364,[325]
91,958,1000,42,"[22, 347]"
92,576,1000,424,[369]
93,555,1000,445,[261]
94,992,1000,8,"[388, 284]"
95,615,1000,385,[287]
96,918,1000,82,"[73, 286]"
97,572,1000,428,[178]
98,942,1000,58,"[399, 413]"
99,896,1000,104,"[106, 431]"
100,936,1000,64,"[152, 58]"
101,656,1000,344,[374]
102,955,1000,45,"[115, 373]"
103,626,1000,374,[456]
104,967,1000,33,"[82, 469]"
105,567,1000,433,[501]
106,640,1000,360,[31]
107,981,1000,19,"[481, 498]"
108,845,1000,155,"[510, 532]"
109,757,1000,243,[561]
110,756,1000,244,[78]
111,613,1000,387,[515]
112,477,1000,523,[534]
113,672,1000,328,[553]
114,982,1000,18,"[573, 586]"
115,625,1000,375,[612]
116,528,1000,472,[626]
117,792,1000,208,"[636, 653]"
118,670,1000,330,[678]
119,998,1000,2,"[6, 693]"
120,935,1000,65,"[707, 593]"
121,948,1000,52,"[614, 738]"
122,889,1000,111,"[749, 770]"
123,593,1000,407,[794]
124,814,1000,186,"[568, 585]"
125,923,1000,77,"[611, 627]"
126,898,1000,102,"[623, 635]"
127,999,1000,1,"[647, 657]"
128,890,1000,110,"[800, 824]"
129,966,1000,34,"[844, 672]"
130,918,1000,82,"[686, 652]"
131,863,1000,137,"[238, 700]"
132,907,1000,93,"[721, 755]"
133,990,1000,10,"[622, 97]"
134,932,1000,68,"[278, 649]"
135,869,1000,131,"[651, 293]"
136,873,1000,127,"[40, 299]"
137,749,1000,251,"[313, 853]"
138,1000,1000,0,"[329, 724]"
139,956,1000,44,"[741, 761]"
140,915,1000,85,"[778, 873]"
141,667,1000,333,[894]
142,652,1000,348,[110]
143,972,1000,28,"[74, 125]"
144,999,1000,1,"[580, 141]"
145,979,1000,21,"[600, 176]"
146,573,1000,427,[629]
147,996,1000,4,"[645, 654]"
148,947,1000,53,"[349, 193]"
149,596,1000,404,[212]
150,604,1000,396,[362]
151,652,1000,348,[139]
152,624,1000,376,[159]
153,591,1000,409,[194]
154,642,1000,358,[723]
155,584,1000,416,[759]
156,970,1000,30,"[722, 39]"
157,662,1000,338,[771]
158,938,1000,62,"[784, 788]"
159,794,1000,206,"[806, 819]"
160,963,1000,37,"[848, 855]"
161,733,1000,267,[877]
162,902,1000,98,"[912, 805]"
163,934,1000,66,"[823, 841]"
164,989,1000,11,"[924, 865]"
