Station,Load,Capacity,Idle,Tasks
1,981,1000,19,"[13, 38]"
2,529,1000,471,[53]
3,636,1000,364,[18]
4,849,1000,151,"[9, 45]"
5,948,1000,52,"[19, 33]"
6,950,1000,50,"[55, 23]"
7,674,1000,326,[34]
8,669,1000,331,[39]
9,744,1000,256,[56]
10,960,1000,40,"[26, 32]"
11,993,1000,7,"[25, 36]"
12,830,1000,170,[52]
13,979,1000,21,"[46, 54]"
14,634,1000,366,[6]
15,953,1000,47,"[10, 7]"
16,989,1000,11,"[8, 11]"
17,900,1000,100,"[31, 75]"
18,713,1000,287,[92]
19,577,1000,423,[114]
20,958,1000,42,"[17, 30]"
21,643,1000,357,[5]
22,875,1000,125,"[4, 3]"
23,976,1000,24,"[50, 72]"
24,561,1000,439,[109]
25,782,1000,218,"[121, 140]"
26,923,1000,77,"[170, 185]"
27,962,1000,38,"[195, 216]"
28,685,1000,315,[40]
29,609,1000,391,[64]
30,629,1000,371,[78]
31,987,1000,13,"[63, 1]"
32,925,1000,75,"[93, 113]"
33,639,1000,361,[65]
34,984,1000,16,"[27, 66]"
35,864,1000,136,"[130, 157]"
36,568,1000,432,[186]
37,688,1000,312,[99]
38,964,1000,36,"[205, 123]"
39,997,1000,3,"[128, 106]"
40,561,1000,439,[126]
41,575,1000,425,[129]
42,665,1000,335,[158]
43,917,1000,83,"[237, 171]"
44,667,1000,333,[247]
45,985,1000,15,"[268, 291]"
46,818,1000,182,"[312, 336]"
47,983,1000,17,"[348, 295]"
48,661,1000,339,"[319, 328]"
49,995,1000,5,"[373, 347]"
50,899,1000,101,"[372, 389]"
51,973,1000,27,"[388, 410]"
52,972,1000,28,"[406, 423]"
53,652,1000,348,[440]
54,953,1000,47,"[199, 461]"
55,962,1000,38,"[211, 479]"
56,971,1000,29,"[243, 252]"
57,986,1000,14,"[12, 282]"
58,874,1000,126,"[298, 320]"
59,651,1000,349,[339]
60,872,1000,128,"[345, 37]"
61,998,1000,2,"[359, 488]"
62,853,1000,147,"[429, 446]"
63,853,1000,147,"[156, 183]"
64,924,1000,76,"[198, 221]"
65,981,1000,19,"[245, 517]"
66,926,1000,74,"[261, 275]"
67,921,1000,79,"[452, 302]"
68,994,1000,6,"[482, 308]"
69,683,1000,317,[20]
70,559,1000,441,[29]
71,969,1000,31,"[528, 547]"
72,978,1000,22,"[554, 486]"
73,605,1000,395,[190]
74,819,1000,181,"[584, 591]"
75,576,1000,424,[226]
76,557,1000,443,[606]
77,788,1000,212,"[240, 255]"
78,955,1000,45,"[285, 303]"
79,612,1000,388,[324]
80,772,1000,228,"[338, 343]"
81,951,1000,49,"[380, 391]"
82,738,1000,262,"[409, 419]"
83,642,1000,358,[445]
84,554,1000,446,[462]
85,827,1000,173,"[57, 79]"
86,990,1000,10,"[89, 232]"
87,643,1000,357,[260]
88,609,1000,391,[278]
89,665,1000,335,[297]
90,991,1000,9,"[309, 485]"
91,788,1000,212,[625]
92,892,1000,108,"[499, 161]"
93,943,1000,57,"[179, 206]"
94,973,1000,27,"[218, 519]"
95,645,1000,355,[522]
96,961,1000,39,"[238, 530]"
97,576,1000,424,[94]
98,989,1000,11,"[246, 117]"
99,908,1000,92,"[147, 642]"
100,962,1000,38,"[150, 661]"
101,995,1000,5,"[682, 264]"
102,680,1000,320,[279]
103,960,1000,40,"[139, 162]"
104,676,1000,324,[174]
105,573,1000,427,[265]
106,825,1000,175,"[413, 420]"
107,700,1000,300,"[49, 189]"
108,849,1000,151,"[430, 269]"
109,758,1000,242,"[449, 470]"
110,619,1000,381,[491]
111,772,1000,228,[512]
112,788,1000,212,[526]
113,589,1000,411,[314]
114,535,1000,465,[149]
115,593,1000,407,[166]
116,700,1000,300,[175]
117,646,1000,354,[197]
118,863,1000,137,[220]
119,672,1000,328,[239]
120,671,1000,329,[267]
121,627,1000,373,[280]
122,556,1000,444,[304]
123,885,1000,115,"[321, 335]"
124,761,1000,239,[358]
125,926,1000,74,"[378, 395]"
126,737,1000,263,"[399, 421]"
127,647,1000,353,[169]
128,979,1000,21,"[184, 208]"
129,778,1000,222,[213]
130,992,1000,8,"[624, 498]"
131,984,1000,16,"[501, 326]"
132,641,1000,359,[235]
133,937,1000,63,"[2, 289]"
134,639,1000,361,[249]
135,933,1000,67,"[342, 362]"
136,554,1000,446,[390]
137,999,1000,1,"[397, 394]"
138,996,1000,4,"[407, 422]"
139,874,1000,126,"[447, 458]"
140,581,1000,419,[472]
141,872,1000,128,"[688, 708]"
142,930,1000,70,"[718, 739]"
143,868,1000,132,"[340, 349]"
144,590,1000,410,[374]
145,913,1000,87,"[473, 536]"
146,827,1000,173,"[500, 507]"
147,988,1000,12,"[525, 392]"
148,947,1000,53,"[535, 400]"
149,742,1000,258,[418]
150,990,1000,10,"[90, 553]"
151,974,1000,26,"[534, 229]"
152,967,1000,33,"[116, 230]"
153,886,1000,114,"[173, 172]"
154,986,1000,14,"[643, 663]"
155,700,1000,300,[151]
156,930,1000,70,"[694, 555]"
157,921,1000,79,"[571, 296]"
