Station,Load,Capacity,Idle,Tasks
1,959,1000,41,"[22, 27, 49, 20, 32, 48, 69]"
2,958,1000,42,"[19, 29, 47, 13, 68]"
3,968,1000,32,"[81, 26, 17, 35, 8, 30]"
4,993,1000,7,"[38, 5, 50, 15]"
5,980,1000,20,"[74, 82, 55, 77, 80, 83, 59, 39]"
6,994,1000,6,"[99, 117, 75, 25, 37, 42, 52]"
7,985,1000,15,"[66, 58, 51, 76, 95, 101, 89]"
8,982,1000,18,"[86, 57, 100, 138, 140, 98, 65]"
9,979,1000,21,"[139, 79, 103, 3, 4, 78, 111, 112, 113]"
10,994,1000,6,"[157, 180, 193, 212, 241, 264]"
11,932,1000,68,"[271, 288, 312, 286, 294, 304, 326]"
12,963,1000,37,"[354, 357, 104, 128, 146, 165, 188]"
13,967,1000,33,"[191, 56, 351, 36, 356, 378, 400, 429]"
14,973,1000,27,"[449, 332, 344, 134, 149, 176, 173]"
15,961,1000,39,"[198, 185, 199, 217, 252, 265, 269, 178]"
16,984,1000,16,"[201, 179, 335, 24, 206, 223, 235]"
17,974,1000,26,"[226, 245, 230, 256, 346, 41, 359, 380]"
18,970,1000,30,"[412, 2, 87, 402, 435, 450, 204, 214, 240]"
19,968,1000,32,"[254, 458, 475, 500, 532, 106]"
20,957,1000,43,"[135, 536, 329, 499, 531, 537, 340, 220]"
21,985,1000,15,"[233, 554, 141, 219, 243, 577]"
22,992,1000,8,"[258, 358, 60, 590, 609, 630, 658, 668, 685, 710]"
23,992,1000,8,"[723, 207, 734, 755, 781, 211]"
24,976,1000,24,"[799, 818, 843, 398, 410, 428, 443, 467]"
25,1000,1000,0,"[757, 786, 790, 110, 126, 285, 295]"
26,995,1000,5,"[463, 321, 323, 578, 598, 619, 637, 579]"
27,997,1000,3,"[606, 655, 667, 692, 709]"
28,981,1000,19,"[722, 735, 762, 774, 439, 362, 277]"
29,984,1000,16,"[290, 306, 325, 345, 371, 382, 421, 225]"
30,987,1000,13,"[177, 491, 427, 238, 266, 282, 121, 152, 461, 476, 293]"
31,994,1000,6,"[302, 200, 512, 361, 393, 422, 535, 431]"
32,989,1000,11,"[440, 549, 9, 123, 150, 167]"
33,975,1000,25,"[181, 612, 645, 651, 215, 247, 267, 275]"
34,989,1000,11,"[654, 662, 319, 676, 455]"
35,985,1000,15,"[327, 255, 459, 114, 538, 507, 301]"
36,973,1000,27,"[520, 392, 665, 677, 6, 408, 142, 698, 716]"
37,974,1000,26,"[732, 441, 465, 713, 746, 753, 605, 627, 736, 764]"
38,979,1000,21,"[300, 787, 789, 564, 769, 250, 253, 788]"
39,976,1000,24,"[809, 588, 23, 589, 224, 483, 514]"
40,989,1000,11,"[534, 153, 553, 158, 232, 287, 561]"
