Task,Station,Time
16,1,70
9,1,82
26,1,79
4,1,60
12,1,243
43,1,308
57,1,101
14,1,45
1,2,131
29,2,112
48,2,115
63,2,215
97,2,45
95,2,124
15,2,96
24,2,146
22,3,45
28,3,73
3,3,53
49,3,90
13,3,217
60,3,233
89,3,109
40,3,72
51,3,48
17,3,41
38,4,220
64,4,216
107,4,128
137,4,44
122,4,155
23,4,138
54,4,62
19,4,28
67,5,166
98,5,99
65,5,142
6,5,132
21,5,154
25,5,119
44,5,120
37,5,41
46,6,144
66,6,124
75,6,112
70,6,153
74,6,194
69,6,165
58,6,94
93,7,214
108,7,258
109,7,102
135,7,79
62,7,172
119,7,26
128,7,66
146,7,55
7,8,162
5,8,178
18,8,232
31,8,70
2,8,183
87,8,42
113,8,113
101,9,47
36,9,277
42,9,208
53,9,88
90,9,182
8,9,140
165,9,36
183,10,28
192,10,111
11,10,257
120,10,165
144,10,141
172,10,65
166,10,122
30,10,55
45,10,41
182,11,131
68,11,151
94,11,212
96,11,93
117,11,128
156,11,160
174,11,25
185,11,35
217,11,47
202,12,108
209,12,74
210,12,69
190,12,215
215,12,21
221,12,59
229,12,113
245,12,45
50,12,178
59,12,85
88,13,148
195,13,258
39,13,146
52,13,28
116,13,331
123,13,80
132,14,137
143,14,65
176,14,214
181,14,120
164,14,62
212,14,28
20,14,253
33,14,100
103,15,85
71,15,110
27,15,142
41,15,26
34,15,131
47,15,143
61,15,171
115,15,93
220,15,72
125,16,142
150,16,128
153,16,52
169,16,108
186,16,64
216,16,44
203,16,154
171,16,143
204,16,104
35,16,48
167,17,233
196,17,40
191,17,122
189,17,121
214,17,335
207,17,53
231,17,72
228,18,300
250,18,21
234,18,84
252,18,200
268,18,102
256,18,47
240,18,32
260,18,107
208,18,100
246,19,325
261,19,315
289,19,135
298,19,86
305,19,32
224,19,71
244,19,28
314,20,114
263,20,330
335,20,32
362,20,121
349,20,106
242,20,79
269,20,195
288,21,151
309,21,202
324,21,132
354,21,201
339,21,117
275,21,120
331,21,37
358,22,221
264,22,296
284,22,207
306,22,49
376,22,99
321,22,42
