Station,Load,Capacity,Idle,Tasks
1,916,1000,84,"[23, 46, 59, 77, 89, 123]"
2,919,1000,81,"[6, 43, 16, 45, 54, 64]"
3,950,1000,50,"[140, 155, 171, 185, 57]"
4,972,1000,28,"[1, 62, 20, 31, 47]"
5,960,1000,40,"[63, 83, 107, 139, 157, 170, 187]"
6,971,1000,29,"[200, 225, 238, 199, 221, 236, 223]"
7,984,1000,16,"[243, 264, 275, 280, 128, 102, 120, 134]"
8,970,1000,30,"[149, 169, 138, 145, 21, 41, 52]"
9,985,1000,15,"[106, 141, 182, 204, 148]"
10,975,1000,25,"[160, 227, 229, 192, 166, 164]"
11,995,1000,5,"[180, 176, 193, 281, 73, 85]"
12,970,1000,30,"[302, 324, 184, 203, 215, 233, 18]"
13,955,1000,45,"[28, 4, 196, 3, 13, 29]"
14,965,1000,35,"[250, 212, 344, 374, 393, 51, 417]"
15,967,1000,33,"[430, 79, 22, 325, 341]"
16,991,1000,9,"[144, 330, 175, 191, 24, 361]"
17,960,1000,40,"[352, 168, 388, 405, 425, 447, 179]"
18,969,1000,31,"[205, 218, 234, 7]"
19,970,1000,30,"[32, 257, 278, 294, 271, 383, 439]"
20,970,1000,30,"[156, 167, 190, 392, 409]"
21,964,1000,36,"[420, 202, 220, 244, 246, 8, 40, 288]"
22,960,1000,40,"[450, 49, 306, 369, 103, 467, 468, 50]"
23,972,1000,28,"[228, 339, 343, 301, 489, 511, 384]"
24,964,1000,36,"[530, 549, 366, 398, 404, 423]"
25,972,1000,28,"[443, 568, 586, 609, 208, 99]"
26,974,1000,26,"[116, 620, 647, 255, 269, 291, 654]"
27,990,1000,10,"[675, 307, 111, 224, 690, 714, 733, 763, 773]"
28,972,1000,28,"[794, 808, 815, 844, 871, 886, 10, 33]"
29,984,1000,16,"[328, 53, 389, 415, 424, 65, 96, 126, 137, 154, 60]"
30,972,1000,28,"[235, 252, 265, 433, 365, 403, 408, 421, 438]"
31,969,1000,31,"[458, 75, 93, 125, 129, 434, 464, 473]"
32,997,1000,3,"[505, 165, 183, 197, 219, 239, 159, 349]"
33,988,1000,12,"[363, 428, 82, 88, 36, 445, 454, 484, 319]"
34,987,1000,13,"[492, 451, 337, 342, 127, 130]"
35,983,1000,17,"[48, 26, 247, 358, 362]"
36,991,1000,9,"[523, 25, 531, 248, 158, 550, 576, 146, 512, 448]"
37,985,1000,15,"[533, 453, 516, 78, 86, 554, 579]"
38,972,1000,28,"[178, 895, 593, 194, 532, 912, 929, 972]"
39,973,1000,27,"[68, 177, 427, 442, 457, 717, 741, 750]"
40,968,1000,32,"[386, 812, 758, 777, 797, 799, 823]"
41,961,1000,39,"[829, 97, 840, 865, 877, 902, 915, 931]"
42,973,1000,27,"[17, 973, 459, 785, 471]"
43,984,1000,16,"[798, 501, 114, 135, 153, 161, 664]"
44,972,1000,28,"[679, 514, 546, 558, 582, 695, 27, 574]"
45,971,1000,29,"[591, 597, 604, 322, 713, 452, 730, 747]"
46,970,1000,30,"[779, 793, 801, 828, 851, 869]"
47,987,1000,13,"[885, 260, 266, 487, 768, 256, 277]"
48,993,1000,7,"[289, 299, 633, 286, 300, 385, 814, 849]"
49,981,1000,19,"[367, 864, 893, 565, 866, 892, 904, 913]"
50,964,1000,36,"[943, 962, 216, 230, 297, 316, 333, 867]"
51,959,1000,41,"[880, 69, 206, 211, 95, 573, 587, 272, 607]"
52,984,1000,16,"[625, 282, 323, 634, 649, 671, 699, 56, 67, 296]"
53,997,1000,3,"[231, 831, 848, 858]"
54,971,1000,29,"[214, 387, 419, 429, 444, 648]"
55,994,1000,6,"[242, 660, 746, 677, 689, 644, 499, 308, 329, 571]"
56,970,1000,30,"[251, 835, 863, 320, 334, 888, 898, 910]"
57,981,1000,19,"[407, 790, 802, 460, 249, 806]"
58,983,1000,17,"[832, 748, 818, 847, 873, 890, 897]"
59,974,1000,26,"[469, 113, 770, 782, 911, 488, 132]"
60,983,1000,17,"[926, 954, 990, 900, 921, 933, 970]"
61,992,1000,8,"[997, 923, 937, 916, 932, 490, 955, 188, 210]"
62,983,1000,17,"[820, 527, 542, 561, 581, 599]"
63,988,1000,12,"[603, 610, 729, 917, 924, 360, 632, 950]"
64,978,1000,22,"[226, 241, 979, 14, 887, 908, 922, 592]"
65,981,1000,19,"[611, 940, 368, 630, 462, 482, 497]"
66,987,1000,13,"[379, 935, 91, 470, 952, 273, 295, 668, 692]"
67,982,1000,18,"[722, 313, 335, 357, 376, 947, 964]"
68,987,1000,13,"[659, 686, 700, 721, 738, 753, 771]"
69,981,1000,19,"[373, 796, 372, 400, 418]"
70,986,1000,14,"[108, 824, 853, 855, 293, 578, 598, 616, 596, 614, 628]"
71,986,1000,14,"[626, 638, 304, 605, 619, 641, 764, 735, 572, 678]"
72,980,1000,20,"[650, 283, 311, 390, 410, 422, 201, 98, 121]"
73,992,1000,8,"[143, 480, 982, 465, 477, 504, 526, 759]"
74,985,1000,15,"[774, 402, 934, 706, 720]"
75,984,1000,16,"[974, 528, 332, 287, 318, 326, 639]"
76,990,1000,10,"[652, 521, 698, 724, 739, 751, 780, 795]"
77,992,1000,8,"[437, 463, 595, 691, 813, 825, 807]"
78,985,1000,15,"[396, 74, 348, 377, 84, 548]"
79,990,1000,10,"[115, 563, 918, 925, 894, 483]"
80,990,1000,10,"[486, 2, 951, 566, 412]"
81,984,1000,16,"[585, 817, 432, 440, 455, 476, 507, 529]"
82,996,1000,4,"[984, 449, 986, 536, 525, 590, 104]"
83,985,1000,15,"[44, 406, 431, 508, 765, 781, 602, 833, 789, 811]"
84,997,1000,3,"[830, 485, 655, 513, 543, 553, 971, 672]"
85,984,1000,16,"[839, 701, 953, 836, 562, 754, 769, 792]"
86,987,1000,13,"[697, 854, 186, 560, 76, 19, 653]"
87,988,1000,12,"[683, 704, 666, 667, 540, 520, 547, 551]"
88,997,1000,3,"[552, 131, 364, 688, 711, 957, 198]"
89,981,1000,19,"[426, 436, 621, 637]"
90,997,1000,3,"[819, 643, 665, 503, 524, 12]"
91,980,1000,20,"[601, 613, 284, 317, 502, 786]"
92,994,1000,6,"[703, 800, 136, 775, 600, 920]"
93,989,1000,11,"[948, 142, 493, 309, 834, 395, 411, 541]"
94,984,1000,16,"[401, 778, 564, 837, 55, 640, 314, 985]"
95,998,1000,2,"[80, 347, 838, 494, 90, 118, 413, 151]"
96,978,1000,22,"[101, 657, 263, 267, 380]"
97,990,1000,10,"[298, 474, 124, 996, 975, 710, 736, 767]"
98,997,1000,3,"[776, 15, 788, 804, 661, 896, 522, 147]"
99,981,1000,19,"[292, 728, 346, 466, 846, 11]"
