Task,Station,Time
22,1,615
16,2,438
30,2,526
15,3,518
19,3,383
32,4,409
6,4,493
31,5,443
5,5,480
13,6,757
7,7,387
33,7,566
58,8,417
80,8,545
113,9,650
137,10,307
144,10,594
43,11,419
12,11,479
55,12,435
42,12,527
56,13,659
4,14,576
18,15,523
49,15,402
57,16,454
3,16,460
29,17,175
156,17,562
181,18,449
204,19,601
219,20,710
245,21,647
259,21,337
265,22,511
299,22,406
308,23,651
336,24,332
350,24,548
366,25,726
387,25,240
402,26,500
252,26,459
273,27,609
64,28,657
95,29,530
121,29,386
138,30,455
152,30,409
160,31,590
39,31,391
20,32,396
50,32,329
52,33,628
38,33,316
51,34,413
27,34,526
54,35,347
1,35,582
53,36,438
2,36,481
26,37,578
73,37,368
104,38,722
36,39,480
41,39,462
83,40,583
276,41,521
117,41,448
136,42,342
154,42,470
164,43,497
185,43,417
208,44,394
215,44,481
293,45,366
302,45,577
74,46,720
416,47,451
438,47,475
454,48,586
63,49,503
481,49,421
487,50,616
97,51,668
115,52,597
135,52,366
151,53,442
168,53,497
184,54,595
45,55,341
148,55,624
60,56,552
173,56,437
196,57,650
203,58,559
107,58,429
132,59,445
153,59,540
179,60,487
231,60,478
239,61,338
108,61,552
255,62,398
134,62,543
142,63,603
283,64,694
286,65,579
172,66,574
174,67,428
155,67,432
306,68,348
319,68,488
163,69,446
25,69,458
506,70,195
526,70,682
565,71,489
186,71,473
586,72,406
207,72,555
613,73,396
224,73,540
241,74,467
257,74,468
205,75,441
267,75,535
284,76,367
221,76,611
61,77,257
229,77,595
246,78,382
243,78,481
250,79,400
212,79,579
541,80,411
572,80,524
296,81,435
228,81,512
237,82,398
260,82,580
270,83,438
298,83,485
317,84,589
65,84,297
90,85,351
167,85,624
187,86,365
177,86,448
201,87,316
218,87,544
197,88,163
249,88,645
84,89,445
248,89,443
242,90,367
301,90,483
254,91,397
102,91,600
320,92,331
344,92,607
251,93,515
365,93,481
341,94,771
310,95,338
268,95,557
297,96,431
303,96,534
122,97,777
375,98,465
126,98,533
323,99,467
285,99,504
312,100,344
161,100,597
324,101,370
364,101,552
374,102,403
10,102,518
209,103,360
216,103,553
307,104,373
159,104,551
235,105,235
362,105,689
322,106,314
400,106,663
530,107,466
338,107,518
632,108,475
637,108,505
663,109,523
674,109,458
561,110,507
579,110,415
608,111,400
28,111,578
615,112,338
583,112,546
604,113,266
125,113,716
88,114,463
17,114,504
628,115,404
420,115,587
633,116,432
437,116,561
643,117,315
653,117,537
214,118,404
673,118,504
539,119,209
684,119,344
99,119,434
111,120,517
556,120,452
706,121,314
726,121,667
757,122,418
372,122,543
124,123,360
332,123,602
349,124,668
765,125,198
21,125,496
790,126,442
34,126,511
379,127,680
120,128,487
130,128,492
145,129,299
393,129,579
35,130,361
799,130,634
815,131,705
834,132,658
856,133,510
879,133,422
891,134,266
901,134,515
915,135,551
943,135,262
959,136,412
971,136,525
997,137,515
131,137,475
536,138,634
566,138,309
578,139,617
597,139,381
619,140,477
651,140,400
666,141,395
679,141,414
696,142,536
717,142,421
735,143,430
729,143,457
755,144,472
764,144,435
746,145,622
687,146,546
710,146,373
736,147,474
147,147,519
9,148,426
8,148,569
745,149,489
176,149,497
760,150,659
777,151,437
803,151,499
816,152,675
847,153,672
796,154,535
858,154,426
885,155,669
893,156,444
907,156,464
528,157,617
44,158,615
69,159,569
92,160,750
383,161,594
412,162,676
431,163,703
89,164,466
537,164,434
564,165,617
266,166,542
581,166,438
609,167,477
261,167,521
269,168,765
103,169,462
170,169,471
183,170,493
200,170,474
199,171,410
226,171,489
162,172,551
292,172,340
318,173,513
325,173,487
247,174,683
458,175,778
477,176,665
133,177,476
143,177,512
213,178,595
488,179,779
175,180,412
378,180,525
411,181,447
262,181,492
433,182,439
480,182,557
450,183,375
489,183,596
72,184,447
321,184,496
348,185,375
453,185,516
263,186,521
507,186,467
545,187,308
571,187,649
432,188,470
498,188,530
594,189,462
515,189,472
551,190,715
562,191,385
37,191,549
11,192,455
525,192,520
585,193,237
569,193,555
588,194,465
606,194,420
614,195,605
595,195,235
634,196,409
654,196,515
683,197,602
698,198,590
712,199,537
732,199,424
759,200,494
774,200,480
797,201,557
813,201,410
823,202,613
127,203,531
850,203,443
863,204,674
217,205,450
876,205,261
887,205,260
898,206,476
924,206,516
931,207,477
333,207,504
150,208,603
448,208,334
476,209,486
223,209,428
234,210,519
116,210,437
129,211,402
493,211,558
59,212,382
198,212,613
508,213,321
485,213,554
490,214,484
549,214,515
355,215,498
361,215,482
146,216,238
157,216,564
158,217,378
373,217,531
396,218,454
560,218,537
591,219,380
782,219,517
599,220,440
806,220,518
624,221,415
819,221,555
841,222,669
534,223,465
377,223,510
406,224,684
272,225,605
288,226,592
781,227,461
316,227,466
337,228,591
358,229,421
371,229,538
384,230,844
860,231,271
883,231,691
527,232,465
538,232,496
392,233,330
405,233,646
655,234,390
676,234,600
413,235,676
543,235,317
568,236,517
165,236,460
193,237,446
478,237,514
289,238,634
703,239,627
867,240,455
714,240,535
625,241,471
743,241,527
427,242,311
758,242,628
761,243,448
587,243,547
277,244,469
596,244,514
631,245,637
445,245,316
468,246,487
646,246,492
264,247,479
843,247,521
414,248,630
533,248,349
570,249,469
788,249,479
589,250,421
694,250,570
376,251,367
401,251,628
767,252,754
794,253,478
804,253,485
827,254,568
494,254,185
520,255,468
553,255,453
576,256,494
839,256,500
865,257,758
644,258,400
882,258,593
728,259,472
744,259,309
748,260,349
771,260,391
787,261,513
23,261,464
772,262,382
342,262,580
902,263,502
810,263,480
826,264,347
842,264,646
540,265,684
846,266,505
768,266,467
792,267,444
484,267,539
575,268,397
501,268,535
584,269,437
522,269,557
881,270,654
886,270,258
905,271,442
425,271,543
972,272,425
610,272,566
452,273,494
618,273,504
455,274,473
641,274,522
334,275,394
546,275,589
805,276,389
46,276,603
67,277,504
720,277,374
738,278,662
986,279,417
399,279,573
443,280,460
380,280,430
403,281,365
429,281,457
598,282,501
602,282,395
630,283,712
279,284,556
900,284,373
911,285,430
280,285,570
304,286,633
866,287,713
775,288,511
166,288,402
189,289,446
859,289,536
869,290,640
909,291,640
945,291,281
950,292,427
657,292,567
677,293,492
975,293,508
360,294,397
988,294,601
190,295,398
664,295,584
210,296,400
682,296,563
702,297,220
713,297,532
742,298,400
747,298,595
656,299,369
910,299,605
941,300,222
958,300,616
786,301,459
754,301,521
395,302,489
868,302,482
888,303,650
814,303,215
820,304,396
897,304,562
544,305,453
567,305,450
590,306,435
809,306,547
386,307,522
620,307,456
650,308,442
671,308,519
256,309,707
91,310,698
529,311,527
460,311,461
482,312,426
880,312,567
68,313,375
940,313,595
895,314,444
330,314,535
949,315,403
352,315,592
363,316,433
356,316,548
946,317,318
954,317,477
836,318,459
483,318,531
739,319,402
661,319,598
680,320,420
505,320,578
890,321,390
346,321,582
275,322,715
621,323,431
532,323,562
524,324,453
40,324,461
904,325,394
62,325,582
919,326,322
436,326,638
516,327,788
877,328,493
326,328,440
723,329,368
359,329,603
872,330,565
369,330,424
381,331,381
638,331,601
840,332,317
762,332,658
635,333,573
668,333,406
675,334,552
912,334,433
389,335,327
934,335,651
727,336,247
947,336,572
752,337,533
952,337,449
976,338,474
785,338,472
808,339,506
973,339,486
991,340,750
801,341,450
825,341,442
838,342,309
169,342,668
722,343,551
370,343,423
86,344,502
112,344,455
141,345,339
391,345,625
956,346,751
695,347,506
980,347,494
987,348,392
315,348,581
109,349,385
291,349,459
227,350,370
314,350,584
715,351,456
503,351,510
511,352,490
906,352,496
922,353,511
339,353,454
182,354,411
612,354,574
731,355,308
622,355,601
639,356,376
925,356,577
354,357,418
939,357,546
574,358,715
557,359,455
894,359,498
903,360,466
394,360,526
962,361,394
835,361,596
660,362,850
368,363,520
313,363,454
335,364,395
824,364,599
709,365,738
968,366,478
486,366,512
449,367,496
474,367,496
422,368,457
479,368,534
244,369,719
258,370,368
502,370,612
465,371,422
558,371,558
47,372,455
721,372,528
118,373,514
274,373,486
995,374,336
899,374,619
238,375,608
600,375,356
617,376,292
697,376,703
410,377,413
351,377,581
974,378,382
202,378,550
821,379,403
851,379,568
14,380,478
828,380,518
944,381,491
918,381,484
419,382,727
424,383,496
870,383,487
892,384,298
512,384,660
430,385,279
447,385,564
989,386,446
878,386,525
831,387,665
938,387,258
961,388,301
845,388,568
965,389,390
783,389,518
345,390,359
499,390,595
724,391,400
659,391,521
670,392,293
426,392,692
463,393,279
730,393,717
504,394,625
970,394,348
994,395,441
461,395,546
844,396,450
466,396,532
232,397,345
942,397,634
960,398,452
913,398,525
85,399,448
230,399,540
833,400,467
469,400,508
195,401,469
70,401,496
96,402,458
451,402,539
818,403,412
645,403,568
87,404,436
119,404,510
623,405,407
930,405,575
180,406,422
951,406,567
563,407,445
542,407,524
993,408,405
793,408,570
110,409,314
807,409,669
969,410,318
822,410,621
290,411,412
495,411,575
434,412,430
510,412,568
800,413,470
853,413,516
857,414,370
305,414,626
441,415,278
278,415,653
390,416,316
408,416,610
464,417,480
751,417,520
769,418,432
616,418,562
648,419,372
24,419,619
48,420,264
473,420,681
421,421,330
439,421,609
467,422,460
917,422,535
932,423,489
957,423,422
979,424,452
981,424,471
233,425,452
647,425,548
573,426,339
678,426,612
77,427,825
652,428,461
580,428,534
295,429,261
791,429,709
983,430,471
222,430,500
407,431,485
889,431,512
294,432,340
582,432,625
178,433,399
331,433,595
928,434,282
963,434,667
415,435,472
990,435,523
492,436,479
236,436,505
701,437,466
649,437,525
811,438,440
191,438,550
397,439,432
211,439,568
81,440,438
690,440,558
837,441,378
864,441,513
327,442,339
967,442,590
79,443,377
287,443,611
311,444,326
784,444,625
300,445,364
626,445,611
367,446,439
999,446,544
472,447,486
700,447,512
550,448,357
955,448,579
194,449,453
357,449,545
873,450,497
936,450,494
497,451,366
861,451,594
830,452,454
937,452,537
343,453,563
428,453,429
446,454,430
435,454,567
442,455,347
456,455,620
105,456,346
281,456,654
982,457,428
513,457,572
871,458,388
734,458,573
849,459,429
240,459,537
875,460,454
459,460,527
496,461,478
725,461,515
829,462,376
471,462,617
629,463,385
692,463,608
756,464,319
750,464,655
908,465,299
770,465,673
795,466,344
669,466,616
94,467,405
509,467,578
601,468,427
681,468,570
640,469,482
705,469,500
707,470,769
66,471,410
78,471,583
998,472,385
100,472,594
547,473,437
817,473,522
353,474,484
920,474,503
555,475,465
933,475,514
685,476,473
927,476,496
789,477,303
519,477,647
225,478,439
662,478,546
929,479,681
521,479,183
552,480,426
123,480,573
139,481,462
93,481,517
82,482,351
409,482,586
780,483,769
382,484,419
665,484,565
491,485,496
523,485,495
206,486,439
347,486,548
711,487,397
953,487,589
699,488,413
398,488,563
548,489,281
423,489,719
329,490,471
559,490,514
98,491,365
852,491,602
689,492,394
691,492,581
802,493,416
418,493,572
704,494,318
848,494,631
740,495,264
71,495,696
708,496,370
985,496,607
192,497,334
518,497,658
978,498,763
404,499,297
966,499,681
798,500,342
149,500,600
778,501,284
340,501,674
577,502,375
996,502,609
753,503,362
642,503,538
462,504,257
554,504,690
773,505,324
779,505,619
444,506,348
611,506,645
964,507,508
253,507,481
607,508,450
812,508,546
388,509,429
688,509,562
718,510,379
914,510,607
776,511,566
76,511,422
749,512,366
114,512,609
128,513,376
733,513,593
667,514,415
457,514,538
171,515,314
531,515,679
672,516,400
75,516,598
385,517,457
627,517,497
220,518,272
1000,518,663
282,519,431
693,519,568
719,520,392
514,520,596
923,521,198
926,521,766
658,522,405
737,522,575
417,523,404
535,523,532
763,524,160
271,524,750
605,525,410
921,525,531
935,526,297
517,526,653
593,527,507
862,527,481
636,528,303
896,528,659
309,529,344
101,529,620
948,530,355
855,530,638
475,531,254
766,531,639
874,532,431
603,532,565
884,533,391
140,533,586
592,534,519
328,534,481
984,535,354
716,535,607
