Task,Station,Time
22,1,422
38,1,501
20,2,39
30,2,257
3,2,39
1,2,125
5,2,86
4,2,39
2,2,23
27,2,224
51,3,223
69,3,408
49,3,120
85,3,68
98,3,79
21,4,389
36,4,494
62,4,96
76,5,441
113,5,494
125,6,357
88,6,576
142,7,160
161,7,148
179,7,170
210,7,465
219,8,477
255,8,243
143,8,182
170,8,81
176,9,286
263,9,279
212,9,254
222,9,106
241,10,199
281,10,253
296,10,523
107,11,127
128,11,133
145,11,64
322,11,406
164,11,252
172,12,166
347,12,234
15,12,51
28,12,182
63,12,309
72,13,229
148,13,55
162,13,84
8,13,585
184,14,118
191,14,214
37,14,308
127,14,357
16,15,100
93,15,180
112,15,320
139,15,221
124,15,147
130,16,80
153,16,376
66,16,61
131,16,282
83,16,185
86,17,102
25,17,489
26,17,98
216,17,137
245,17,120
267,18,463
34,18,519
278,19,268
59,19,76
78,19,311
182,19,133
204,19,181
217,20,128
29,20,96
94,20,136
103,20,375
64,20,253
253,21,406
185,21,372
149,21,217
166,22,255
199,22,282
230,22,430
260,23,91
258,23,305
274,23,116
58,23,387
277,24,175
6,24,64
261,24,163
134,24,64
171,24,499
186,25,61
201,25,404
223,25,476
65,26,30
251,26,60
79,26,485
52,26,93
81,26,299
100,27,26
109,27,77
97,27,61
114,27,213
271,27,572
120,28,166
87,28,268
104,28,520
279,29,228
70,29,482
158,29,254
90,30,72
174,30,228
192,30,156
121,30,518
136,31,305
102,31,234
295,31,400
132,32,81
311,32,37
312,32,32
155,32,73
71,32,59
330,32,96
352,32,32
381,32,106
390,32,147
418,32,88
433,32,158
458,32,75
475,33,124
283,33,97
305,33,392
326,33,213
348,33,118
361,34,88
379,34,445
388,34,74
313,34,121
346,34,237
319,35,370
386,35,104
408,35,175
437,35,296
417,36,122
452,36,276
460,36,127
68,36,384
101,37,414
399,37,315
409,37,192
137,38,63
435,38,239
431,38,555
439,38,114
41,39,75
454,39,75
362,39,180
329,39,272
480,39,174
366,39,23
461,39,165
499,40,127
519,40,166
549,40,92
562,40,318
156,40,278
448,41,192
584,41,175
7,41,253
591,41,345
406,42,39
462,42,197
614,42,264
638,42,264
669,42,213
116,43,118
682,43,159
700,43,194
714,43,123
728,43,183
750,43,151
769,44,63
778,44,348
790,44,515
119,45,163
294,45,198
309,45,85
321,45,526
343,46,196
517,46,243
546,46,546
559,47,260
572,47,166
827,47,250
411,47,239
288,48,129
430,48,444
341,48,210
359,48,185
369,49,98
467,49,112
498,49,337
9,49,278
307,49,140
323,50,123
340,50,217
363,50,49
382,50,145
394,50,234
419,50,174
426,51,55
441,51,191
597,51,37
