Task,Station,Time
20,1,189
24,1,219
8,1,247
22,1,97
19,1,238
10,2,70
25,2,260
27,2,118
17,2,99
15,2,81
23,2,325
26,3,66
47,3,245
72,3,130
117,3,73
125,3,270
153,3,64
166,3,127
36,4,257
51,4,156
13,4,149
7,4,198
6,4,126
14,4,85
31,5,71
39,5,149
52,5,46
5,5,85
85,5,104
106,5,104
133,5,173
145,5,109
170,5,140
195,6,65
194,6,128
201,6,112
99,6,55
131,6,191
147,6,153
171,6,130
181,6,151
101,7,92
203,7,102
173,7,263
175,7,98
40,7,231
46,7,204
107,8,113
169,8,107
176,8,119
54,8,59
80,8,108
95,8,214
120,8,217
68,9,37
82,9,135
199,9,24
220,9,136
243,9,148
264,9,35
287,9,344
307,9,31
96,9,27
3,9,44
322,10,41
219,10,172
242,10,101
273,10,111
299,10,69
319,10,154
334,10,154
350,10,192
341,11,130
67,11,211
368,11,158
385,11,160
188,11,23
204,11,215
230,11,97
245,12,165
262,12,279
298,12,143
305,12,141
61,12,103
89,12,139
202,13,45
21,13,97
29,13,116
9,13,71
34,13,74
44,13,121
79,13,171
367,13,145
214,13,155
222,14,73
76,14,43
112,14,399
123,14,259
43,14,91
225,14,98
97,15,24
251,15,32
113,15,122
126,15,207
283,15,116
261,15,234
50,15,111
140,15,145
49,16,179
308,16,50
337,16,34
348,16,147
146,16,124
160,16,57
215,16,104
241,16,120
124,16,182
268,17,71
284,17,90
382,17,92
132,17,56
151,17,84
1,17,257
416,17,113
424,17,230
408,18,29
235,18,142
250,18,160
259,18,177
42,18,42
45,18,327
437,18,115
442,19,23
158,19,146
119,19,59
128,19,298
136,19,143
455,19,61
475,19,222
512,20,144
521,20,59
546,20,136
565,20,219
581,20,49
605,20,26
613,20,229
632,20,112
229,21,141
103,21,210
130,21,110
148,21,166
324,21,118
361,21,180
372,22,90
161,22,278
343,22,212
369,22,207
391,22,195
328,23,91
360,23,276
375,23,35
383,23,156
420,23,274
440,23,149
452,24,220
470,24,155
496,24,84
513,24,68
527,24,205
552,24,235
98,25,77
560,25,234
580,25,26
600,25,305
254,25,69
270,25,86
279,25,178
429,26,55
443,26,85
295,26,49
417,26,138
433,26,38
137,26,153
359,26,260
364,26,137
620,26,72
624,27,307
105,27,88
121,27,70
478,27,55
500,27,183
474,27,53
318,27,70
320,27,161
499,28,47
517,28,45
534,28,163
645,28,206
656,28,95
695,28,43
705,28,169
451,28,88
467,28,84
490,28,57
510,29,94
724,29,95
523,29,61
554,29,98
558,29,271
180,29,242
539,29,137
559,30,37
4,30,72
184,30,360
414,30,59
200,30,136
426,30,178
572,30,155
733,31,52
589,31,62
619,31,207
637,31,242
643,31,178
759,31,236
653,32,118
777,32,28
791,32,78
807,32,64
821,32,238
844,32,106
860,32,147
886,32,187
304,33,28
897,33,29
913,33,113
918,33,83
129,33,98
275,33,234
285,33,250
303,33,49
135,33,84
936,34,134
954,34,245
216,34,225
255,34,40
266,34,39
294,34,316
912,35,276
926,35,149
445,35,170
606,35,31
611,35,38
623,35,64
649,35,199
356,35,37
376,36,73
654,36,127
543,36,194
564,36,138
583,36,203
315,36,57
333,36,118
353,36,63
378,37,101
387,37,84
396,37,82
134,37,234
139,37,292
557,37,95
302,37,55
310,37,40
330,38,130
404,38,66
425,38,135
634,38,88
480,38,59
501,38,99
651,38,205
671,38,72
688,38,67
708,38,61
727,39,77
739,39,192
745,39,115
785,39,117
796,39,113
389,39,178
808,39,177
397,40,66
816,40,101
110,40,80
122,40,242
221,40,200
338,40,164
529,40,26
831,40,96
858,41,52
603,41,165
608,41,158
621,41,145
647,41,172
149,41,152
601,41,40
164,41,116
617,42,60
193,42,352
208,42,119
226,42,172
662,42,289
33,43,75
630,43,31
652,43,98
690,43,120
48,43,86
413,43,121
435,43,46
449,43,27
463,43,81
571,43,291
142,44,145
172,44,154
174,44,166
540,44,133
556,44,153
313,44,37
332,44,190
590,45,76
487,45,240
659,45,306
618,45,160
236,45,211
2,46,126
631,46,250
648,46,175
380,46,147
675,46,58
698,46,146
716,46,87
669,47,33
729,47,56
300,47,136
697,47,32
677,47,159
423,47,90
178,47,201
676,47,148
355,47,140
159,48,99
699,48,193
700,48,113
177,48,121
138,48,142
260,48,69
441,48,79
365,48,172
444,49,39
306,49,27
744,49,143
773,49,139
789,49,131
74,49,179
704,49,62
725,49,146
732,49,131
349,50,95
758,50,102
28,50,273
650,50,60
479,50,146
509,50,181
447,50,134
885,51,72
899,51,69
917,51,69
932,51,174
384,51,170
162,51,49
196,51,177
213,51,196
244,52,65
144,52,135
626,52,193
223,52,144
483,52,159
363,52,291
35,53,49
55,53,27
321,53,266
90,53,65
94,53,191
366,53,202
168,53,192
271,54,70
179,54,89
381,54,255
538,54,161
504,54,171
446,54,226
402,55,50
567,55,43
585,55,62
518,55,76
141,55,138
323,55,135
595,55,175
612,55,102
635,55,130
640,55,80
12,56,52
639,56,31
30,56,52
309,56,283
456,56,120
655,56,161
681,56,300
292,57,48
709,57,149
614,57,208
573,57,157
853,57,262
892,57,74
911,57,102
924,58,102
69,58,101
813,58,268
830,58,93
848,58,211
326,58,203
362,59,149
281,59,111
828,59,81
835,59,187
866,59,241
542,59,221
482,60,66
874,60,25
889,60,103
561,60,188
578,60,93
599,60,84
609,60,108
638,60,142
476,60,172
683,61,50
485,61,73
514,61,382
531,61,300
549,61,180
778,62,86
801,62,59
809,62,208
155,62,260
439,62,344
453,63,113
582,63,77
167,63,168
401,63,224
432,63,60
258,63,142
951,63,204
722,64,47
966,64,88
974,64,143
465,64,273
901,64,199
935,64,63
945,64,95
780,64,84
772,65,64
788,65,141
736,65,52
747,65,119
766,65,273
793,65,91
805,65,248
827,66,100
846,66,102
584,66,121
591,66,237
291,66,202
317,66,207
329,67,135
234,67,170
239,67,117
506,67,101
505,67,165
964,67,201
976,67,79
212,68,47
991,68,131
823,68,114
658,68,94
689,68,294
711,68,195
719,68,122
743,69,131
748,69,110
776,69,120
888,69,118
914,69,274
263,69,153
920,69,77
950,70,42
296,70,278
352,70,236
900,70,42
412,70,80
431,70,235
905,70,84
672,71,42
923,71,105
660,71,159
787,71,337
802,71,162
41,71,47
806,71,146
58,72,55
822,72,175
400,72,307
537,72,25
566,72,147
586,72,169
642,72,108
666,73,49
62,73,286
916,73,288
767,73,132
868,73,235
882,74,57
799,74,214
811,74,93
820,74,99
847,74,75
862,74,107
884,74,38
890,74,181
734,74,103
770,75,69
751,75,52
779,75,161
838,75,99
865,75,26
876,75,20
893,75,143
902,75,273
933,75,141
473,76,46
942,76,87
898,76,142
354,76,137
108,76,124
687,76,200
340,76,263
740,77,61
701,77,164
374,77,156
73,77,125
570,77,171
190,77,150
210,77,158
233,78,67
906,78,191
873,78,226
276,78,127
694,78,363
325,79,70
702,79,145
238,79,251
272,79,68
152,79,86
829,79,134
836,79,229
331,80,284
663,80,58
154,80,35
163,80,130
183,80,72
764,80,207
418,80,197
909,81,70
795,81,127
71,81,65
682,81,118
792,81,42
206,81,219
231,81,191
692,81,157
749,82,125
217,82,73
246,82,212
948,82,113
970,82,99
357,82,133
714,82,220
730,83,112
762,83,115
679,83,46
710,83,198
721,83,123
955,83,176
519,83,90
550,83,128
929,84,165
952,84,328
794,84,73
815,84,328
83,84,102
399,85,71
115,85,175
824,85,152
843,85,73
869,85,166
879,85,59
720,85,130
737,85,38
754,85,131
915,86,51
256,86,171
468,86,165
495,86,124
516,86,53
528,86,240
673,86,189
812,87,154
541,87,198
525,87,265
562,87,263
674,87,110
277,88,30
696,88,134
535,88,147
532,88,216
832,88,128
775,88,214
70,88,131
960,89,25
157,89,101
834,89,108
977,89,36
1000,89,108
880,89,170
895,89,188
461,89,48
904,89,203
403,90,41
498,90,49
927,90,63
939,90,124
428,90,101
903,90,162
60,90,93
908,90,103
919,90,52
859,90,212
872,91,24
943,91,282
969,91,121
959,91,107
980,91,189
335,91,264
344,92,48
228,92,73
358,92,89
18,92,94
850,92,148
371,92,75
390,92,57
422,92,108
436,92,176
507,92,113
524,93,131
967,93,59
286,93,242
209,93,251
57,93,119
93,93,194
351,94,53
925,94,67
114,94,225
839,94,227
686,94,69
544,94,126
881,94,163
978,94,65
987,95,43
854,95,116
66,95,47
86,95,154
555,95,216
290,95,131
342,95,92
928,95,200
232,96,48
946,96,31
379,96,108
395,96,228
156,96,194
269,96,196
965,96,195
16,97,91
37,97,179
973,97,180
625,97,164
937,97,192
972,97,61
975,97,132
985,98,138
450,98,71
459,98,92
497,98,183
819,98,24
849,98,106
953,98,198
922,98,168
568,99,38
741,99,46
197,99,251
668,99,167
288,99,135
265,99,67
797,99,156
311,99,135
336,100,97
941,100,45
494,100,165
503,100,161
457,100,98
493,100,151
594,100,133
347,100,145
471,101,34
545,101,38
405,101,129
398,101,98
314,101,262
971,101,157
833,101,273
979,102,59
990,102,122
864,102,184
814,102,91
817,102,101
297,102,170
989,102,72
462,102,181
409,103,30
994,103,225
761,103,216
165,103,182
186,103,148
345,103,54
370,103,47
392,103,96
419,104,138
489,104,85
678,104,123
75,104,244
574,104,162
592,104,229
38,105,194
346,105,123
207,105,201
327,105,135
763,105,127
657,105,212
986,106,122
691,106,55
703,106,93
680,106,170
182,106,74
963,106,278
982,106,92
984,106,103
211,107,41
84,107,43
