Station,Load,Capacity,Idle,Tasks
1,929,1000,71,"[8, 28, 47, 68]"
2,942,1000,58,"[58, 78, 98]"
3,989,1000,11,"[84, 111, 144, 159]"
4,996,1000,4,"[64, 156, 190]"
5,928,1000,72,"[206, 77, 96, 108]"
6,935,1000,65,"[135, 163, 5, 17]"
7,895,1000,105,"[46, 186, 207, 225]"
8,961,1000,39,"[238, 254, 277, 284, 246]"
9,835,1000,165,"[260, 283]"
10,826,1000,174,"[300, 6, 30]"
11,840,1000,160,"[45, 56, 271]"
12,919,1000,81,"[285, 313, 326]"
13,944,1000,56,"[347, 10, 16, 2]"
14,948,1000,52,"[223, 255, 266]"
15,941,1000,59,"[234, 251, 278, 282, 15]"
16,992,1000,8,"[368, 390, 11, 19]"
17,988,1000,12,"[418, 433, 455, 478, 499]"
18,960,1000,40,"[523, 52, 62]"
19,945,1000,55,"[29, 51, 53, 82]"
20,987,1000,13,"[32, 33, 92, 88]"
21,941,1000,59,"[105, 118, 142]"
22,983,1000,17,"[168, 185, 191, 393]"
23,963,1000,37,"[424, 293, 307, 325, 358, 373]"
24,992,1000,8,"[407, 443, 140]"
25,957,1000,43,"[147, 453, 482, 494]"
26,943,1000,57,"[511, 274, 296, 536, 549]"
27,940,1000,60,"[558, 388, 410, 309]"
28,998,1000,2,"[342, 13, 14, 409, 525]"
29,962,1000,38,"[465, 590, 612, 350]"
30,983,1000,17,"[67, 4, 31]"
31,927,1000,73,"[351, 20, 34, 1]"
32,915,1000,85,"[72, 95]"
33,960,1000,40,"[110, 3, 18, 35]"
34,954,1000,46,"[50, 55, 132, 61, 71, 74, 73, 126, 70, 54]"
35,994,1000,6,"[145, 172, 202, 432, 462, 479, 611]"
36,977,1000,23,"[646, 228, 188, 201]"
37,963,1000,37,"[657, 208, 498, 519]"
38,959,1000,41,"[244, 250, 538, 298]"
39,956,1000,44,"[263, 364, 365, 128]"
40,994,1000,6,"[153, 183, 198, 211, 231, 386]"
41,993,1000,7,"[411, 448, 456]"
42,942,1000,58,"[416, 466, 257, 264]"
43,986,1000,14,"[272, 289, 414, 435, 308, 331]"
44,933,1000,67,"[452, 356, 379]"
45,995,1000,5,"[177, 493, 501, 524, 401]"
46,997,1000,3,"[421, 526, 429, 540, 560]"
47,984,1000,16,"[376, 197, 212, 232]"
48,988,1000,12,"[85, 81, 106]"
49,961,1000,39,"[59, 76]"
50,987,1000,13,"[397, 320, 340, 353, 369, 398]"
51,940,1000,60,"[193, 90, 591]"
52,985,1000,15,"[218, 615, 644, 659]"
53,948,1000,52,"[521, 528, 275, 635]"
54,993,1000,7,"[670, 291, 658, 323]"
55,973,1000,27,"[192, 333, 684, 36, 138, 160, 169]"
56,951,1000,49,"[363, 417, 382, 685]"
57,991,1000,9,"[617, 444, 637, 450]"
58,984,1000,16,"[230, 396, 660, 672]"
59,964,1000,36,"[542, 694, 715, 93, 104, 638, 648, 262]"
60,982,1000,18,"[742, 707, 734, 281, 673, 686, 752, 775]"
61,911,1000,89,"[803, 822]"
62,899,1000,101,"[832, 845, 852]"
63,972,1000,28,"[873, 481]"
64,742,1000,258,"[500, 515, 533, 556, 583]"
65,968,1000,32,"[79, 89, 217]"
66,933,1000,67,"[236, 259, 592, 619]"
67,996,1000,4,"[641, 667, 610, 83, 103, 124]"
68,990,1000,10,"[650, 267, 139, 166, 642]"
69,990,1000,10,"[651, 178, 671, 689, 721]"
70,907,1000,93,"[748, 391, 683]"
71,945,1000,55,"[422, 705, 754, 791]"
72,980,1000,20,"[810, 820, 837, 843, 864, 878]"
73,938,1000,62,"[899, 306, 380]"
74,997,1000,3,"[408, 423, 319, 42]"
75,971,1000,29,"[60, 327, 360, 367]"
76,992,1000,8,"[37, 687, 731, 503]"
