Station,Load,Capacity,Idle,Tasks
1,615,1000,385,[22]
2,964,1000,36,"[16, 30]"
3,901,1000,99,"[15, 19]"
4,902,1000,98,"[32, 6]"
5,923,1000,77,"[31, 5]"
6,757,1000,243,[13]
7,953,1000,47,"[7, 33]"
8,962,1000,38,"[58, 80]"
9,650,1000,350,[113]
10,901,1000,99,"[137, 144]"
11,898,1000,102,"[43, 12]"
12,962,1000,38,"[55, 42]"
13,659,1000,341,[56]
14,576,1000,424,[4]
15,925,1000,75,"[18, 49]"
16,914,1000,86,"[57, 3]"
17,737,1000,263,"[29, 156]"
18,449,1000,551,[181]
19,601,1000,399,[204]
20,710,1000,290,[219]
21,984,1000,16,"[245, 259]"
22,917,1000,83,"[265, 299]"
23,651,1000,349,[308]
24,880,1000,120,"[336, 350]"
25,966,1000,34,"[366, 387]"
26,959,1000,41,"[402, 252]"
27,609,1000,391,[273]
28,657,1000,343,[64]
29,916,1000,84,"[95, 121]"
30,864,1000,136,"[138, 152]"
31,981,1000,19,"[160, 39]"
32,725,1000,275,"[20, 50]"
33,944,1000,56,"[52, 38]"
34,939,1000,61,"[51, 27]"
35,929,1000,71,"[54, 1]"
36,919,1000,81,"[53, 2]"
37,946,1000,54,"[26, 73]"
38,722,1000,278,[104]
39,942,1000,58,"[36, 41]"
40,583,1000,417,[83]
41,969,1000,31,"[276, 117]"
42,812,1000,188,"[136, 154]"
43,914,1000,86,"[164, 185]"
44,875,1000,125,"[208, 215]"
45,943,1000,57,"[293, 302]"
46,720,1000,280,[74]
47,926,1000,74,"[416, 438]"
48,586,1000,414,[454]
49,924,1000,76,"[63, 481]"
50,616,1000,384,[487]
51,668,1000,332,[97]
52,963,1000,37,"[115, 135]"
53,939,1000,61,"[151, 168]"
54,595,1000,405,[184]
55,965,1000,35,"[45, 148]"
56,989,1000,11,"[60, 173]"
57,650,1000,350,[196]
58,988,1000,12,"[203, 107]"
59,985,1000,15,"[132, 153]"
60,965,1000,35,"[179, 231]"
61,890,1000,110,"[239, 108]"
62,941,1000,59,"[255, 134]"
63,603,1000,397,[142]
64,694,1000,306,[283]
65,579,1000,421,[286]
66,574,1000,426,[172]
67,860,1000,140,"[174, 155]"
68,836,1000,164,"[306, 319]"
69,904,1000,96,"[163, 25]"
70,877,1000,123,"[506, 526]"
71,962,1000,38,"[565, 186]"
72,961,1000,39,"[586, 207]"
73,936,1000,64,"[613, 224]"
74,935,1000,65,"[241, 257]"
75,976,1000,24,"[205, 267]"
76,978,1000,22,"[284, 221]"
77,852,1000,148,"[61, 229]"
78,863,1000,137,"[246, 243]"
79,979,1000,21,"[250, 212]"
80,935,1000,65,"[541, 572]"
81,947,1000,53,"[296, 228]"
82,978,1000,22,"[237, 260]"
83,923,1000,77,"[270, 298]"
84,886,1000,114,"[317, 65]"
85,975,1000,25,"[90, 167]"
86,813,1000,187,"[187, 177]"
87,860,1000,140,"[201, 218]"
88,808,1000,192,"[197, 249]"
89,888,1000,112,"[84, 248]"
90,850,1000,150,"[242, 301]"
91,997,1000,3,"[254, 102]"
92,938,1000,62,"[320, 344]"
93,996,1000,4,"[251, 365]"
94,771,1000,229,[341]
95,895,1000,105,"[310, 268]"
96,965,1000,35,"[297, 303]"
97,777,1000,223,[122]
98,998,1000,2,"[375, 126]"
99,971,1000,29,"[323, 285]"
100,941,1000,59,"[312, 161]"
101,922,1000,78,"[324, 364]"
102,921,1000,79,"[374, 10]"
103,913,1000,87,"[209, 216]"
104,924,1000,76,"[307, 159]"
105,924,1000,76,"[235, 362]"
106,977,1000,23,"[322, 400]"
107,984,1000,16,"[530, 338]"
108,980,1000,20,"[632, 637]"
109,981,1000,19,"[663, 674]"
110,922,1000,78,"[561, 579]"
111,978,1000,22,"[608, 28]"
112,884,1000,116,"[615, 583]"
113,982,1000,18,"[604, 125]"
114,967,1000,33,"[88, 17]"
115,991,1000,9,"[628, 420]"
116,993,1000,7,"[633, 437]"
117,852,1000,148,"[643, 653]"
118,908,1000,92,"[214, 673]"
119,987,1000,13,"[539, 684, 99]"
120,969,1000,31,"[111, 556]"
121,981,1000,19,"[706, 726]"
122,961,1000,39,"[757, 372]"
123,962,1000,38,"[124, 332]"
124,668,1000,332,[349]
125,694,1000,306,"[765, 21]"
126,953,1000,47,"[790, 34]"
127,680,1000,320,[379]
128,979,1000,21,"[120, 130]"
129,878,1000,122,"[145, 393]"
130,995,1000,5,"[35, 799]"
131,705,1000,295,[815]
132,658,1000,342,[834]
133,932,1000,68,"[856, 879]"
134,781,1000,219,"[891, 901]"
135,813,1000,187,"[915, 943]"
136,937,1000,63,"[959, 971]"
137,990,1000,10,"[997, 131]"
138,943,1000,57,"[536, 566]"
139,998,1000,2,"[578, 597]"
140,877,1000,123,"[619, 651]"
141,809,1000,191,"[666, 679]"
142,957,1000,43,"[696, 717]"
143,887,1000,113,"[735, 729]"
144,907,1000,93,"[755, 764]"
145,622,1000,378,[746]
146,919,1000,81,"[687, 710]"
147,993,1000,7,"[736, 147]"
148,995,1000,5,"[9, 8]"
149,986,1000,14,"[745, 176]"
150,659,1000,341,[760]
151,936,1000,64,"[777, 803]"
152,675,1000,325,[816]
153,672,1000,328,[847]
154,961,1000,39,"[796, 858]"
155,669,1000,331,[885]
156,908,1000,92,"[893, 907]"
157,617,1000,383,[528]
158,615,1000,385,[44]
159,569,1000,431,[69]
160,750,1000,250,[92]
161,594,1000,406,[383]
162,676,1000,324,[412]
163,703,1000,297,[431]
164,900,1000,100,"[89, 537]"
165,617,1000,383,[564]
166,980,1000,20,"[266, 581]"
167,998,1000,2,"[609, 261]"
168,765,1000,235,[269]
169,933,1000,67,"[103, 170]"
170,967,1000,33,"[183, 200]"
171,899,1000,101,"[199, 226]"
172,891,1000,109,"[162, 292]"
173,1000,1000,0,"[318, 325]"
174,683,1000,317,[247]
175,778,1000,222,[458]
176,665,1000,335,[477]
177,988,1000,12,"[133, 143]"
178,595,1000,405,[213]
179,779,1000,221,[488]
180,937,1000,63,"[175, 378]"
181,939,1000,61,"[411, 262]"
182,996,1000,4,"[433, 480]"
183,971,1000,29,"[450, 489]"
184,943,1000,57,"[72, 321]"
185,891,1000,109,"[348, 453]"
186,988,1000,12,"[263, 507]"
187,957,1000,43,"[545, 571]"
188,1000,1000,0,"[432, 498]"
189,934,1000,66,"[594, 515]"
190,715,1000,285,[551]
191,934,1000,66,"[562, 37]"
192,975,1000,25,"[11, 525]"
193,792,1000,208,"[585, 569]"
194,885,1000,115,"[588, 606]"
195,840,1000,160,"[614, 595]"
196,924,1000,76,"[634, 654]"
197,602,1000,398,[683]
198,590,1000,410,[698]
199,961,1000,39,"[712, 732]"
200,974,1000,26,"[759, 774]"
201,967,1000,33,"[797, 813]"
202,613,1000,387,[823]
203,974,1000,26,"[127, 850]"
204,674,1000,326,[863]
205,971,1000,29,"[217, 876, 887]"
206,992,1000,8,"[898, 924]"
207,981,1000,19,"[931, 333]"
208,937,1000,63,"[150, 448]"
209,914,1000,86,"[476, 223]"
210,956,1000,44,"[234, 116]"
211,960,1000,40,"[129, 493]"
212,995,1000,5,"[59, 198]"
213,875,1000,125,"[508, 485]"
214,999,1000,1,"[490, 549]"
215,980,1000,20,"[355, 361]"
216,802,1000,198,"[146, 157]"
217,909,1000,91,"[158, 373]"
218,991,1000,9,"[396, 560]"
