Task,Station,Time
13,1,194
37,1,459
60,1,307
17,2,146
74,2,355
94,2,161
113,2,145
131,2,188
40,3,154
64,3,178
73,3,63
90,3,178
9,3,155
24,3,172
19,4,46
38,4,122
66,4,37
86,4,113
33,4,479
105,4,170
34,5,220
122,5,36
130,5,69
153,5,162
180,5,491
4,6,96
2,6,275
63,6,139
1,6,330
80,7,200
5,7,191
3,7,121
6,7,220
30,7,132
55,7,119
88,8,204
102,8,281
118,8,252
147,8,174
95,9,78
124,9,34
152,9,338
99,9,149
117,9,202
146,9,184
128,10,106
111,10,65
151,10,186
172,10,26
205,10,26
221,10,99
256,10,358
22,11,59
47,11,49
65,11,523
78,11,288
106,12,194
268,12,456
276,12,140
285,12,135
313,13,21
323,13,151
54,13,478
202,13,279
209,14,437
264,14,526
232,15,169
278,15,392
291,15,416
225,16,471
245,16,437
210,17,293
81,17,110
98,17,523
242,18,114
116,18,37
134,18,243
7,18,533
16,19,365
231,19,516
254,19,71
262,20,49
279,20,581
288,20,157
309,20,92
266,20,102
329,21,50
280,21,368
341,21,63
357,21,471
43,22,69
58,22,247
394,22,39
138,22,192
167,22,275
294,22,176
173,23,43
402,23,65
426,23,364
308,23,499
325,24,64
340,24,101
461,24,291
321,24,477
144,25,147
162,25,476
170,25,329
333,26,32
332,26,85
107,26,133
108,26,104
70,26,152
347,26,171
366,26,293
238,27,121
486,27,49
247,27,252
269,27,536
489,28,91
413,28,423
438,28,479
471,29,143
112,29,191
271,29,109
367,29,499
418,30,183
428,30,218
165,30,130
184,30,418
44,31,178
353,31,162
337,31,475
479,31,127
10,32,55
490,32,488
59,32,259
302,32,165
354,33,72
504,33,187
541,33,161
560,33,534
567,34,507
289,34,235
315,34,204
298,35,109
324,35,137
334,35,174
150,35,460
526,35,65
545,36,356
349,36,100
414,36,86
430,36,102
472,36,304
476,37,127
462,37,82
481,37,334
501,37,206
441,37,207
506,38,24
519,38,71
348,38,349
475,38,161
257,38,27
565,38,44
580,38,242
201,39,152
604,39,128
598,39,422
616,39,140
623,39,147
643,40,133
660,40,49
680,40,209
700,40,273
735,40,97
742,40,56
757,40,167
775,41,587
794,41,173
804,41,205
813,42,415
835,42,210
857,42,304
874,43,188
460,43,66
480,43,519
791,43,147
799,43,40
819,44,241
827,44,128
854,44,127
875,44,485
882,45,148
449,45,216
485,45,598
488,46,305
478,46,614
503,47,478
493,47,139
510,47,358
14,48,277
536,48,132
97,48,352
120,48,175
556,49,499
566,49,346
135,49,83
149,50,212
592,50,238
176,50,474
28,51,144
154,51,360
72,51,410
274,52,283
57,52,194
79,52,518
148,53,142
284,53,46
104,53,34
109,53,283
52,53,434
110,54,20
127,54,322
71,54,483
29,54,51
171,54,87
194,55,357
200,55,481
18,55,135
35,56,68
336,56,311
230,56,432
251,56,144
260,57,237
352,57,188
557,57,168
570,57,150
596,57,128
606,57,99
634,58,72
546,58,75
387,58,370
403,58,324
644,58,144
651,59,362
601,59,141
674,59,455
691,60,198
728,60,100
517,60,457
532,60,123
551,60,120
345,61,114
361,61,54
398,61,139
141,61,113
448,61,133
163,61,105
669,61,299
679,62,532
704,62,146
734,62,235
738,62,76
767,63,212
650,63,203
667,63,539
683,64,148
715,64,480
721,64,294
749,65,33
758,65,458
774,65,324
784,65,117
808,65,62
816,66,589
832,66,78
847,66,99
871,66,81
880,66,120
905,67,218
584,67,570
602,67,169
625,68,169
831,68,77
851,68,507
867,68,207
893,69,503
697,69,152
730,69,29
743,69,298
766,70,137
692,70,212
380,70,110
424,70,504
591,71,168
589,71,247
806,71,454
123,71,98
142,71,28
168,72,93
815,72,102
836,72,512
810,72,208
826,72,75
855,73,486
497,73,509
509,74,162
355,74,543
265,74,262
227,75,185
277,75,207
252,75,346
283,75,221
342,76,425
87,76,536
91,77,152
351,77,408
228,77,57
243,77,353
320,78,248
259,78,51
132,78,142
379,78,479
809,79,97
818,79,186
411,79,114
425,79,84
904,79,71
912,79,114
89,79,118
193,79,212
923,80,66
261,80,155
585,80,59
612,80,320
631,80,394
453,81,101
386,81,185
440,81,144
477,81,148
868,81,112
161,81,175
946,81,112
970,82,89
693,82,497
722,82,153
587,82,71
610,82,176
748,83,130
628,83,142
640,83,107
51,83,483
877,83,125
618,84,160
301,84,252
408,84,562
621,85,116
752,85,491
590,85,329
613,86,28
648,86,20
282,86,124
639,86,155
652,86,504
682,86,143
427,87,49
689,87,24
821,87,178
306,87,162
622,87,184
641,87,233
671,87,32
688,87,130
690,88,97
319,88,254
864,88,87
888,88,542
600,89,403
275,89,40
295,89,525
300,90,150
174,90,489
837,90,36
853,90,310
858,91,113
759,91,291
844,91,262
175,91,176
103,91,155
121,92,75
129,92,113
673,92,29
768,92,209
859,92,171
894,92,266
913,92,111
926,93,501
959,93,494
889,94,165
974,94,458
841,94,162
866,94,157
891,95,181
513,95,47
535,95,86
993,95,292
395,95,347
508,96,198
492,96,409
603,96,157
636,96,220
645,97,47
525,97,72
561,97,408
579,97,457
637,98,174
655,98,108
678,98,170
713,98,288
723,98,235
751,99,142
446,99,188
744,99,300
761,99,369
292,100,58
911,100,397
922,100,539
407,101,79
624,101,286
531,101,204
549,101,425
76,102,328
714,102,280
388,102,195
927,102,155
962,103,95
181,103,291
218,103,598
233,104,90
293,104,433
828,104,201
890,104,55
902,104,169
191,105,53
160,105,154
389,105,253
290,105,92
307,105,174
331,105,273
338,106,107
404,106,534
396,106,336
415,107,30
435,107,294
947,107,161
436,107,338
157,107,76
896,107,82
914,108,50
190,108,275
583,108,175
26,108,498
405,109,242
647,109,301
658,109,412
687,110,102
702,110,318
335,110,538
499,111,198
390,111,208
708,111,242
729,111,167
739,111,99
755,111,66
771,112,112
270,112,359
253,112,517
84,113,103
27,113,136
136,113,207
299,113,547
11,114,35
32,114,178
281,114,294
258,114,472
206,115,190
8,115,47
219,115,233
31,115,338
350,115,161
371,116,121
982,116,115
992,116,138
215,116,123
760,116,72
777,116,170
792,116,226
788,117,114
654,117,353
718,117,532
883,118,84
741,118,595
763,118,219
511,118,92
538,119,164
139,119,58
166,119,203
732,119,534
382,120,103
115,120,154
663,120,235
305,120,175
932,120,213
955,120,104
973,121,113
524,121,531
930,121,352
953,122,57
786,122,338
776,122,585
824,123,46
793,123,144
800,123,350
820,123,453
736,124,455
316,124,509
944,125,70
410,125,412
437,125,481
474,126,173
198,126,199
226,126,34
244,126,576
995,127,58
491,127,88
156,127,183
908,127,153
928,127,395
961,127,117
969,128,544
917,128,433
179,129,87
931,129,82
958,129,203
686,129,186
712,129,404
731,130,80
747,130,275
756,130,156
967,130,466
49,131,44
469,131,85
432,131,147
833,131,92
685,131,105
554,131,312
574,131,204
675,132,82
370,132,410
897,132,503
716,133,37
919,133,25
933,133,170
20,133,247
45,133,510
69,134,85
530,134,413
346,134,473
790,135,59
948,135,105
364,135,146
843,135,220
439,135,464
267,136,48
363,136,422
483,136,526
559,137,313
494,137,113
512,137,539
539,138,33
378,138,456
412,138,505
192,139,84
434,139,212
229,139,341
358,139,355
330,140,105
949,140,218
978,140,330
518,140,165
558,140,22
571,140,132
597,141,54
255,141,239
594,141,63
873,141,74
879,141,75
901,141,470
614,142,46
966,142,196
920,142,34
934,142,226
523,142,413
550,142,82
547,143,55
303,143,539
569,143,392
467,144,37
599,144,72
328,144,394
344,144,325
214,144,167
514,145,75
695,145,265
719,145,87
746,145,424
145,145,114
950,146,476
977,146,515
241,147,43
155,147,42
185,147,159
989,147,315
56,147,419
297,148,37
834,148,543
657,148,248
676,148,136
987,149,60
943,149,115
971,149,84
929,149,96
548,149,312
607,149,40
620,149,263
699,150,114
213,150,130
963,150,98
521,150,194
374,150,449
635,151,56
849,151,445
782,151,491
956,152,48
797,152,158
420,152,460
204,152,304
789,153,119
429,153,93
803,153,569
814,153,200
236,154,35
823,154,169
187,154,181
212,154,126
807,154,150
942,154,338
906,155,41
196,155,178
39,155,272
359,155,493
82,156,271
840,156,422
286,156,292
869,157,142
314,157,194
326,157,216
872,157,426
143,158,66
450,158,331
848,158,125
533,158,463
466,159,50
876,159,51
988,159,119
562,159,251
910,159,158
918,159,270
938,159,88
964,160,269
802,160,411
393,160,292
177,161,105
529,161,93
234,161,237
750,161,81
764,161,473
773,162,163
638,162,171
421,162,310
164,162,111
705,162,229
46,163,53
717,163,237
941,163,463
287,163,226
406,164,67
465,164,515
502,164,410
207,165,71
140,165,498
745,165,422
754,166,115
183,166,68
431,166,167
500,166,60
507,166,195
762,166,42
780,166,333
391,167,45
990,167,134
740,167,148
577,167,108
397,167,134
169,167,211
186,167,135
263,167,85
457,168,318
384,168,582
392,168,79
576,169,56
318,169,192
372,169,308
373,169,184
707,169,100
304,169,141
861,170,198
884,170,248
812,170,554
327,171,36
895,171,83
916,171,126
829,171,253
798,171,502
416,172,77
339,172,118
182,172,298
25,172,493
907,173,70
593,173,402
50,173,156
67,173,369
470,174,39
642,174,197
85,174,527
863,174,208
96,175,85
887,175,184
870,175,329
892,175,237
661,175,156
383,176,27
684,176,59
473,176,201
925,176,198
951,176,511
444,177,140
968,177,195
975,177,143
985,177,503
656,178,98
365,178,252
23,178,314
12,178,311
375,179,38
36,179,371
737,179,380
677,179,208
703,180,79
817,180,390
572,180,508
246,181,152
553,181,36
701,181,84
965,181,60
711,181,149
456,181,235
133,181,279
158,182,204
248,182,576
805,182,197
957,183,107
765,183,403
377,183,478
778,184,43
443,184,67
343,184,230
498,184,306
48,184,285
845,184,59
93,185,147
41,185,139
273,185,230
126,185,208
137,185,265
42,186,134
159,186,193
21,186,118
235,186,116
668,186,420
909,187,252
710,187,136
77,187,254
101,187,162
681,187,176
417,188,41
296,188,91
211,188,358
222,188,497
694,189,28
617,189,495
633,189,473
423,190,113
842,190,106
772,190,174
783,190,129
564,190,453
317,191,205
846,191,219
899,191,409
878,191,144
900,192,135
954,192,158
980,192,175
249,192,519
725,193,25
838,193,67
595,193,150
451,193,151
522,193,309
952,193,292
581,194,51
856,194,359
619,194,443
698,194,145
272,195,28
568,195,97
646,195,244
996,195,149
830,195,477
53,196,504
433,196,480
15,197,61
898,197,197
356,197,181
609,197,554
979,198,23
785,198,58
921,198,116
240,198,47
250,198,146
409,198,610
769,199,60
468,199,375
188,199,556
981,200,93
811,200,240
458,200,247
552,200,409
575,201,217
83,201,158
311,201,154
795,201,83
400,201,378
696,202,191
527,202,106
563,202,583
482,202,116
495,203,506
770,203,492
939,204,47
540,204,414
528,204,518
991,205,70
886,205,314
376,205,89
885,205,516
360,206,32
