task,station
1,10
2,2
3,1
4,13
5,1
6,8
7,3
8,1
9,3
10,1
11,4
12,3
13,2
14,2
15,4
16,3
17,1
18,3
19,1
20,3
21,4
22,2
23,4
24,6
25,6
26,10
27,3
28,1
29,1
30,4
31,4
32,2
33,12
34,13
35,2
36,4
37,3
38,1
39,4
40,2
41,4
42,5
43,5
44,6
45,9
46,5
47,11
48,9
49,8
50,9
51,12
52,6
53,10
54,10
55,9
56,5
57,8
58,11
59,14
60,14
61,12
62,14
63,13
64,13
65,11
66,13
67,6
68,14
69,14
70,14
71,10
72,9
73,8
74,5
75,11
76,12
77,13
78,10
79,11
80,10
81,11
82,5
83,9
84,8
85,11
86,6
87,11
88,12
89,5
90,6
91,14
92,7
93,7
94,5
95,7
96,7
97,7
98,8
99,7
100,7
