task,station
1,4
2,1
3,4
4,4
5,1
6,3
7,2
8,8
9,15
10,1
11,1
12,3
13,2
14,4
15,1
16,4
17,4
18,11
19,8
20,11
21,1
22,2
23,3
24,5
25,2
26,1
27,4
28,4
29,1
30,8
31,4
32,5
33,7
34,2
35,14
36,9
37,2
38,7
39,6
40,3
41,13
42,5
43,9
44,7
45,6
46,7
47,10
48,6
49,3
50,5
51,8
52,6
53,7
54,10
55,5
56,3
57,6
58,5
59,8
60,13
61,10
62,11
63,6
64,8
65,10
66,6
67,9
68,8
69,13
70,12
71,9
72,12
73,13
74,14
75,9
76,9
77,10
78,7
79,9
80,10
81,13
82,12
83,12
84,9
85,10
86,11
87,10
88,13
89,11
90,11
91,11
92,14
93,15
94,14
95,14
96,15
97,15
98,15
99,15
100,14
