station,load,cycle_time
1,553,1000
2,839,1000
3,916,1000
4,939,1000
5,997,1000
6,987,1000
7,926,1000
8,941,1000
9,677,1000
10,903,1000
11,819,1000
12,727,1000
13,672,1000
14,944,1000
15,569,1000
16,560,1000
17,602,1000
18,673,1000
19,920,1000
20,920,1000
21,928,1000
22,885,1000
23,935,1000
24,878,1000
25,936,1000
26,593,1000
27,632,1000
28,814,1000
29,914,1000
30,598,1000
31,633,1000
32,971,1000
33,972,1000
34,963,1000
35,844,1000
36,996,1000
37,585,1000
38,626,1000
39,977,1000
40,912,1000
41,886,1000
42,662,1000
43,988,1000
44,694,1000
45,985,1000
46,526,1000
47,978,1000
48,959,1000
49,787,1000
50,997,1000
51,817,1000
52,606,1000
53,912,1000
54,587,1000
55,990,1000
56,966,1000
57,820,1000
58,906,1000
59,790,1000
60,611,1000
61,917,1000
62,594,1000
