task,station
1,1
2,3
3,1
4,3
5,2
6,4
7,5
8,6
9,2
10,6
11,38
12,9
13,4
14,48
15,49
16,7
17,21
18,25
19,10
20,9
21,11
22,7
23,12
24,13
25,10
26,5
27,8
28,8
29,22
30,39
31,13
32,27
33,16
34,50
35,23
36,52
37,51
38,19
39,40
40,28
41,17
42,14
43,24
44,20
45,15
46,29
47,17
48,26
49,20
50,15
51,25
52,32
53,26
54,30
55,16
56,21
57,22
58,40
59,55
60,35
61,30
62,33
63,44
64,53
65,18
66,42
67,54
68,52
69,41
70,31
71,34
72,36
73,61
74,18
75,60
76,45
77,59
78,43
79,61
80,44
81,42
82,47
83,48
84,37
85,32
86,34
87,23
88,46
89,43
90,19
91,56
92,55
93,56
94,57
95,59
96,58
97,62
98,62
99,63
100,64
