task,station
1,4
2,4
3,1
4,1
5,1
6,1
7,1
8,2
9,7
10,3
11,4
12,9
13,4
14,4
15,5
16,5
17,5
18,2
19,11
20,7
21,7
22,5
23,2
24,12
25,13
26,12
27,13
28,13
29,13
30,12
31,2
32,3
33,7
34,11
35,12
36,8
37,9
38,9
39,5
40,8
41,8
42,2
43,7
44,2
45,2
46,8
47,5
48,8
49,8
50,3
51,2
52,3
53,6
54,15
55,15
56,7
57,10
58,3
59,15
60,3
61,6
62,5
63,7
64,3
65,15
66,6
67,6
68,7
69,3
70,4
71,6
72,10
73,9
74,11
75,11
76,10
77,11
78,10
79,10
80,9
81,11
82,10
83,10
84,10
85,12
86,10
87,11
88,13
89,14
90,14
91,15
92,15
93,15
94,14
95,14
96,14
97,15
98,13
99,14
100,14
