task,station
1,1
2,1
3,4
4,5
5,5
6,1
7,1
8,1
9,1
10,1
11,2
12,2
13,4
14,4
15,17
16,3
17,9
18,18
19,18
20,2
21,5
22,24
23,3
24,24
25,9
26,19
27,4
28,2
29,9
30,6
31,18
32,19
33,4
34,3
35,23
36,7
37,6
38,8
39,9
40,7
41,19
42,8
43,8
44,7
45,10
46,7
47,20
48,13
49,11
50,20
51,10
52,15
53,20
54,20
55,11
56,14
57,22
58,12
59,16
60,26
61,25
62,10
63,12
64,13
65,21
66,11
67,15
68,14
69,22
70,10
71,12
72,25
73,16
74,25
75,10
76,21
77,12
78,14
79,15
80,16
81,23
82,21
83,12
84,23
85,23
86,12
87,12
88,15
89,14
90,17
91,26
92,12
93,26
94,26
95,15
96,17
97,12
98,15
99,13
100,25
