task,station
1,1
2,16
3,16
4,16
5,1
6,16
7,16
8,2
9,1
10,3
11,4
12,5
13,18
14,12
15,12
16,4
17,13
18,1
19,2
20,2
21,5
22,16
23,5
24,5
25,13
26,1
27,3
28,2
29,5
30,5
31,14
32,19
33,6
34,9
35,7
36,14
37,21
38,19
39,16
40,21
41,15
42,15
43,19
44,9
45,7
46,6
47,23
48,19
49,20
50,11
51,9
52,13
53,6
54,10
55,8
56,17
57,7
58,12
59,14
60,9
61,8
62,17
63,10
64,17
65,14
66,8
67,12
68,11
69,17
70,10
71,18
72,15
73,15
74,10
75,12
76,11
77,18
78,18
79,18
80,15
81,22
82,21
83,22
84,22
85,20
86,21
87,20
88,21
89,23
90,25
91,25
92,24
93,24
94,25
95,24
96,24
97,24
98,25
99,25
100,23
