task,station
1,7
2,7
3,3
4,10
5,6
6,6
7,20
8,1
9,13
10,8
11,7
12,8
13,10
14,21
15,20
16,1
17,21
18,3
19,12
20,6
21,21
22,7
23,7
24,6
25,11
26,8
27,1
28,3
29,8
30,6
31,1
32,11
33,4
34,19
35,1
36,10
37,9
38,4
39,11
40,2
41,10
42,19
43,19
44,19
45,15
46,9
47,14
48,14
49,13
50,4
51,2
52,11
53,10
54,14
55,13
56,13
57,9
58,2
59,16
60,4
61,16
62,22
63,22
64,22
65,22
66,22
67,9
68,19
69,16
70,15
71,16
72,15
73,9
74,16
75,2
76,5
77,17
78,17
79,2
80,5
81,12
82,12
83,17
84,9
85,3
86,18
87,5
88,18
89,12
90,10
91,18
92,18
93,18
94,18
95,18
96,18
97,20
98,20
99,20
100,21
