task,station
1,2
2,6
3,1
4,1
5,1
6,2
7,2
8,4
9,1
10,9
11,1
12,2
13,6
14,1
15,2
16,1
17,2
18,2
19,8
20,4
21,5
22,3
23,2
24,8
25,3
26,3
27,5
28,4
29,6
30,5
31,6
32,9
33,6
34,7
35,9
36,7
37,3
38,8
39,5
40,4
41,7
42,7
43,3
44,5
45,9
46,7
47,8
48,9
49,7
50,4
51,8
52,3
53,5
54,9
55,14
56,8
57,7
58,4
59,14
60,14
61,3
62,5
63,9
64,7
65,4
66,8
67,10
68,10
69,11
70,12
71,12
72,10
73,10
74,10
75,10
76,10
77,11
78,11
79,11
80,11
81,11
82,13
83,13
84,13
85,12
86,11
87,12
88,11
89,11
90,11
91,11
92,12
93,12
94,13
95,14
96,14
97,14
98,14
99,13
100,14
