task,station
1,4
2,4
3,2
4,2
5,1
6,1
7,5
8,27
9,3
10,4
11,3
12,3
13,5
14,2
15,2
16,5
17,1
18,1
19,9
20,9
21,10
22,15
23,12
24,27
25,16
26,5
27,7
28,14
29,9
30,10
31,11
32,12
33,7
34,6
35,16
36,25
37,23
38,24
39,15
40,16
41,9
42,8
43,6
44,10
45,11
46,12
47,14
48,17
49,16
50,24
51,8
52,6
53,13
54,15
55,27
56,27
57,24
58,7
59,15
60,15
61,14
62,9
63,24
64,13
65,24
66,18
67,20
68,26
69,25
70,21
71,17
72,26
73,18
74,20
75,22
76,26
77,25
78,26
79,17
80,27
81,19
82,22
83,17
84,20
85,26
86,25
87,17
88,22
89,19
90,26
91,25
92,20
93,20
94,18
95,23
96,20
97,19
98,20
99,21
100,21
