station,load,cycle_time
1,917,1000
2,977,1000
3,888,1000
4,885,1000
5,744,1000
6,913,1000
7,433,1000
8,657,1000
9,940,1000
10,621,1000
11,580,1000
12,677,1000
13,989,1000
14,495,1000
15,647,1000
16,971,1000
17,823,1000
18,773,1000
19,536,1000
20,490,1000
21,666,1000
22,722,1000
23,636,1000
24,959,1000
25,638,1000
26,681,1000
27,950,1000
28,954,1000
29,619,1000
30,907,1000
31,615,1000
32,735,1000
33,657,1000
34,935,1000
35,677,1000
36,916,1000
37,542,1000
38,983,1000
39,592,1000
40,710,1000
41,715,1000
42,761,1000
43,527,1000
44,580,1000
45,945,1000
46,989,1000
47,854,1000
48,955,1000
49,601,1000
50,895,1000
51,941,1000
52,961,1000
53,610,1000
54,900,1000
55,978,1000
56,950,1000
57,843,1000
58,951,1000
59,990,1000
60,855,1000
61,821,1000
62,860,1000
63,881,1000
