station,load,cycle_time
1,924,1000
2,954,1000
3,935,1000
4,932,1000
5,970,1000
6,851,1000
7,947,1000
8,885,1000
9,954,1000
10,990,1000
11,952,1000
12,978,1000
13,940,1000
14,878,1000
15,923,1000
16,950,1000
17,937,1000
18,974,1000
19,789,1000
20,912,1000
21,879,1000
22,996,1000
23,925,1000
24,901,1000
25,973,1000
26,976,1000
27,988,1000
28,968,1000
29,898,1000
30,995,1000
31,882,1000
32,954,1000
33,988,1000
34,975,1000
35,922,1000
36,813,1000
37,907,1000
38,887,1000
39,881,1000
40,979,1000
41,881,1000
42,906,1000
43,939,1000
44,888,1000
45,947,1000
46,994,1000
47,930,1000
48,857,1000
49,996,1000
50,988,1000
51,966,1000
52,928,1000
53,976,1000
54,963,1000
55,981,1000
56,970,1000
57,951,1000
58,897,1000
59,947,1000
60,914,1000
61,987,1000
62,919,1000
63,996,1000
64,908,1000
65,952,1000
66,937,1000
67,1000,1000
68,955,1000
69,981,1000
70,928,1000
71,848,1000
72,947,1000
73,912,1000
74,924,1000
75,869,1000
76,962,1000
77,910,1000
78,916,1000
79,960,1000
80,951,1000
81,923,1000
82,940,1000
83,879,1000
84,988,1000
85,943,1000
86,955,1000
87,922,1000
88,929,1000
89,933,1000
90,930,1000
91,977,1000
92,804,1000
93,971,1000
94,918,1000
95,973,1000
96,968,1000
97,899,1000
98,956,1000
99,952,1000
100,990,1000
101,909,1000
102,852,1000
103,935,1000
104,995,1000
105,750,1000
106,975,1000
107,963,1000
108,964,1000
109,990,1000
110,970,1000
111,916,1000
112,934,1000
113,956,1000
114,886,1000
115,923,1000
116,900,1000
117,952,1000
118,832,1000
119,947,1000
120,782,1000
121,969,1000
122,994,1000
123,933,1000
124,990,1000
125,942,1000
126,939,1000
127,985,1000
128,989,1000
129,894,1000
130,930,1000
131,942,1000
132,992,1000
133,905,1000
134,991,1000
135,869,1000
136,962,1000
137,948,1000
138,850,1000
139,995,1000
140,782,1000
141,834,1000
142,936,1000
143,840,1000
144,903,1000
145,926,1000
146,592,1000
