station,load,cycle_time
1,923,1000
2,986,1000
3,960,1000
4,914,1000
5,963,1000
6,974,1000
7,986,1000
8,995,1000
9,897,1000
10,885,1000
11,921,1000
12,981,1000
13,990,1000
14,956,1000
15,936,1000
16,882,1000
17,968,1000
18,859,1000
19,970,1000
20,945,1000
21,829,1000
22,981,1000
23,906,1000
24,946,1000
25,834,1000
26,906,1000
27,873,1000
28,904,1000
29,881,1000
30,956,1000
31,939,1000
32,973,1000
33,862,1000
34,984,1000
35,670,1000
36,786,1000
37,986,1000
38,911,1000
39,894,1000
40,921,1000
41,841,1000
42,992,1000
43,930,1000
44,930,1000
45,922,1000
46,888,1000
47,853,1000
48,990,1000
49,959,1000
50,994,1000
51,927,1000
52,810,1000
53,987,1000
54,961,1000
55,917,1000
56,871,1000
57,933,1000
58,943,1000
59,964,1000
60,686,1000
61,949,1000
62,975,1000
63,938,1000
64,967,1000
65,978,1000
66,929,1000
67,949,1000
68,988,1000
69,954,1000
70,862,1000
71,954,1000
72,802,1000
73,959,1000
74,935,1000
75,856,1000
76,982,1000
77,896,1000
78,940,1000
79,961,1000
80,985,1000
81,957,1000
82,899,1000
83,974,1000
84,729,1000
85,890,1000
86,950,1000
87,927,1000
88,937,1000
89,951,1000
90,846,1000
91,979,1000
92,968,1000
93,905,1000
94,806,1000
95,880,1000
96,994,1000
97,995,1000
98,888,1000
99,942,1000
100,930,1000
101,962,1000
102,881,1000
103,915,1000
104,928,1000
105,817,1000
106,966,1000
107,946,1000
108,865,1000
109,988,1000
110,936,1000
111,960,1000
112,888,1000
113,974,1000
114,998,1000
115,962,1000
116,882,1000
117,993,1000
118,957,1000
119,973,1000
120,924,1000
121,970,1000
122,977,1000
123,978,1000
124,991,1000
125,988,1000
126,899,1000
127,877,1000
128,940,1000
129,837,1000
130,945,1000
131,984,1000
132,951,1000
133,960,1000
134,967,1000
135,984,1000
136,960,1000
137,961,1000
138,901,1000
139,885,1000
140,854,1000
141,940,1000
142,969,1000
143,893,1000
144,961,1000
145,984,1000
