task,station
1,1
2,3
3,1
4,1
5,8
6,4
7,1
8,4
9,2
10,9
11,1
12,3
13,5
14,2
15,2
16,7
17,8
18,1
19,6
20,5
21,4
22,5
23,4
24,11
25,2
26,13
27,19
28,13
29,9
30,8
31,9
32,33
33,10
34,8
35,16
36,13
37,10
38,5
39,3
40,9
41,7
42,5
43,9
44,16
45,13
46,11
47,14
48,17
49,33
50,14
51,32
52,15
53,11
54,14
55,14
56,8
57,31
58,6
59,13
60,12
61,10
62,16
63,37
64,10
65,15
66,10
67,19
68,8
69,36
70,22
71,23
72,21
73,18
74,31
75,15
76,12
77,20
78,38
79,20
80,24
81,22
82,19
83,35
84,19
85,35
86,12
87,16
88,29
89,44
90,24
91,43
92,26
93,29
94,34
95,34
96,36
97,34
98,25
99,25
100,24
101,26
102,18
103,42
104,23
105,25
106,21
107,39
108,17
109,22
110,25
111,56
112,32
113,30
114,30
115,14
116,27
117,47
118,31
119,17
120,30
121,38
122,60
123,43
124,40
125,38
126,43
127,37
128,25
129,32
130,44
131,34
132,20
133,41
134,30
135,25
136,27
137,48
138,50
139,50
140,50
141,61
142,33
143,21
144,44
145,36
146,41
147,45
148,25
149,44
150,51
151,36
152,46
153,40
154,48
155,43
156,42
157,32
158,47
159,49
160,32
161,53
162,51
163,41
164,53
165,66
166,47
167,27
168,28
169,45
170,46
171,46
172,68
173,35
174,45
175,49
176,42
177,46
178,61
179,51
180,48
181,33
182,37
183,59
184,57
185,84
186,67
187,51
188,61
189,70
190,57
191,66
192,54
193,93
194,74
195,39
196,68
197,52
198,76
199,82
200,77
201,70
202,51
203,52
204,67
205,47
206,62
207,74
208,55
209,60
210,33
211,82
212,52
213,66
214,59
215,75
216,73
217,35
218,76
219,41
220,52
221,56
222,52
223,75
224,68
225,75
226,54
227,85
228,53
229,37
230,85
231,73
232,62
233,79
234,57
235,72
236,96
237,66
238,63
239,45
240,75
241,52
242,81
243,69
244,71
245,80
246,95
247,88
248,107
249,75
250,84
251,90
252,58
253,72
254,54
255,85
256,84
257,64
258,77
259,46
260,93
261,88
262,48
263,77
264,80
265,58
266,73
267,131
268,98
269,115
270,87
271,104
272,112
273,56
274,89
275,50
276,65
277,97
278,85
279,107
280,80
281,137
282,82
283,100
284,90
285,89
286,63
287,118
