task,station
1,9
2,6
3,2
4,2
5,1
6,1
7,16
8,3
9,3
10,1
11,2
12,17
13,1
14,8
15,3
16,4
17,4
18,2
19,4
20,1
21,1
22,2
23,8
24,5
25,8
26,5
27,2
28,9
29,7
30,4
31,4
32,5
33,4
34,18
35,6
36,8
37,22
38,6
39,5
40,13
41,12
42,12
43,6
44,5
45,15
46,9
47,7
48,6
49,3
50,5
51,10
52,11
53,9
54,9
55,12
56,15
57,10
58,13
59,13
60,4
61,6
62,10
63,6
64,10
65,8
66,13
67,13
68,9
69,7
70,6
71,18
72,16
73,11
74,11
75,18
76,11
77,9
78,9
79,13
80,12
81,10
82,7
83,11
84,17
85,22
86,18
87,11
88,11
89,18
90,9
91,9
92,21
93,10
94,20
95,14
96,18
97,17
98,21
99,14
100,19
101,19
102,11
103,19
104,16
105,23
106,12
107,19
108,19
109,23
110,15
111,19
112,20
113,21
114,14
115,16
116,15
117,20
118,14
119,19
120,17
121,20
122,16
123,18
124,14
125,27
126,16
127,17
128,17
129,27
130,23
131,22
132,20
133,19
134,20
135,13
136,25
137,20
138,21
139,29
140,25
141,21
142,17
143,23
144,27
145,20
146,18
147,28
148,27
149,22
150,23
151,26
152,26
153,15
154,24
155,23
156,23
157,33
158,19
159,29
160,24
161,27
162,26
163,25
164,27
165,22
166,24
167,24
168,19
169,26
170,29
171,24
172,30
173,25
174,27
175,35
176,38
177,35
178,33
179,38
180,35
181,26
182,26
183,26
184,25
185,27
186,27
187,30
188,24
189,25
190,27
191,29
192,35
193,35
194,31
195,37
196,35
197,28
198,39
199,29
200,36
201,35
202,36
203,39
204,28
205,31
206,40
207,30
208,28
209,30
210,30
211,32
212,37
213,36
214,30
215,41
216,33
217,29
218,32
219,36
220,36
221,39
222,28
223,44
224,34
225,34
226,44
227,31
228,32
229,30
230,41
231,36
232,35
233,38
234,36
235,45
236,40
237,37
238,40
239,38
240,30
241,38
242,43
243,40
244,39
245,46
246,37
247,45
248,47
249,34
250,37
251,34
252,31
253,37
254,31
255,51
256,47
257,37
258,43
259,48
260,36
261,45
262,31
263,45
264,39
265,32
266,40
267,46
268,39
269,32
270,41
271,40
272,32
273,49
274,42
275,55
276,49
277,33
278,32
279,32
280,40
281,42
282,42
283,42
284,50
285,43
286,39
287,49
288,40
289,33
290,33
291,43
292,51
293,45
294,45
295,47
296,56
297,42
298,42
299,61
300,54
301,41
302,48
303,49
304,46
305,55
306,33
307,59
308,45
309,42
310,46
311,43
312,47
313,34
314,67
315,48
316,43
317,41
318,42
319,47
320,48
321,53
322,43
323,56
324,48
325,35
326,51
327,53
328,44
329,49
330,44
331,56
332,50
333,63
334,49
335,50
336,52
337,46
338,50
339,57
340,50
341,53
342,57
343,52
344,50
345,38
346,59
347,50
348,53
349,58
350,53
351,52
352,57
353,44
354,51
355,51
356,57
357,54
358,51
359,60
360,52
361,42
362,55
363,52
364,58
365,54
366,57
367,54
368,56
369,52
370,54
371,44
372,59
373,56
374,52
375,51
376,59
377,61
378,58
379,54
380,62
381,46
382,46
383,53
384,51
385,57
386,64
387,54
