task,station
1,5
2,3
3,3
4,2
5,3
6,4
7,1
8,5
9,12
10,3
11,19
12,2
13,6
14,2
15,5
16,3
17,1
18,2
19,2
20,3
21,6
22,3
23,15
24,18
25,8
26,19
27,7
28,11
29,11
30,12
31,4
32,4
33,21
34,4
35,21
36,17
37,16
38,25
39,10
40,7
41,25
42,12
43,20
44,10
45,24
46,16
47,13
48,13
49,14
50,13
51,9
52,12
53,8
54,9
55,22
56,9
57,14
58,18
59,13
60,23
61,16
62,17
63,17
64,14
65,19
66,17
67,10
68,21
69,9
70,13
71,23
72,22
73,11
74,15
75,18
76,36
77,23
78,19
79,27
80,30
81,20
82,11
83,23
84,14
85,23
86,26
87,34
88,37
89,15
90,21
91,20
92,26
93,27
94,20
95,33
96,45
97,20
98,23
99,34
100,35
101,37
102,33
103,29
104,38
105,47
106,26
107,38
108,35
109,57
110,24
111,46
112,28
113,26
114,28
115,43
116,43
117,35
118,27
119,45
120,65
121,31
122,30
123,36
124,34
125,28
126,59
127,39
128,51
129,29
130,35
131,42
132,29
133,56
134,52
135,33
136,63
137,52
138,40
139,62
140,60
141,39
142,34
143,30
144,35
145,52
146,53
147,40
148,56
149,32
150,63
151,64
152,35
153,69
154,34
155,68
156,71
157,60
158,58
159,40
160,67
161,41
162,59
163,39
164,53
165,56
166,34
167,68
168,33
169,32
170,35
171,61
172,54
173,68
174,60
175,40
176,36
177,41
178,59
179,42
180,54
181,70
182,55
183,63
184,63
185,65
186,40
187,70
188,67
189,43
190,76
191,70
192,69
193,68
194,71
195,41
196,54
197,65
198,46
199,66
200,49
201,51
202,42
203,42
204,57
205,64
206,38
207,45
208,55
209,70
210,44
211,71
212,41
213,45
214,50
215,72
216,71
217,62
218,46
219,46
220,69
221,64
222,42
223,52
224,67
225,71
226,73
227,47
228,58
229,71
230,72
231,43
232,44
233,59
234,55
235,73
236,50
237,67
238,50
239,78
240,77
241,48
242,74
243,74
244,72
245,72
246,74
247,82
248,69
249,50
250,77
251,62
252,58
253,49
254,48
255,48
256,47
257,70
258,73
259,53
260,73
261,50
262,78
263,49
264,48
265,79
266,51
267,81
268,67
269,64
270,85
271,75
272,52
273,82
274,73
275,85
276,82
277,80
278,82
279,80
280,54
281,51
282,82
283,82
284,76
285,89
286,77
287,78
288,74
289,82
290,87
291,48
292,57
293,74
294,80
295,84
296,55
297,85
298,79
299,79
300,83
301,86
302,83
303,57
304,55
305,88
306,87
307,87
308,53
309,80
310,84
311,86
312,96
313,89
314,86
315,87
316,84
317,94
318,86
319,65
320,85
321,81
322,56
323,88
324,90
325,88
326,96
327,63
328,88
329,68
330,97
331,98
332,94
333,93
334,108
335,66
336,97
337,92
338,93
339,87
340,91
341,56
342,96
343,82
344,90
345,89
346,97
347,57
