task,station
1,62
2,62
3,44
4,14
5,14
6,4
7,4
8,4
9,4
10,46
11,64
12,64
13,1
14,1
15,4
16,100
17,103
18,43
19,2
20,100
21,5
22,3
23,100
24,1
25,5
26,8
27,8
28,4
29,4
30,5
31,5
32,5
33,5
34,5
35,6
36,50
37,100
38,1
39,88
40,2
41,8
42,2
43,10
44,101
45,43
46,1
47,14
48,102
49,3
50,8
51,44
52,14
53,15
54,6
55,77
56,77
57,89
58,101
59,102
60,101
61,101
62,102
63,10
64,43
65,2
66,1
67,101
68,2
69,3
70,44
71,15
72,11
73,103
74,6
75,7
76,2
77,102
78,3
79,10
80,102
81,101
82,2
83,7
84,101
85,1
86,101
87,6
88,11
89,10
90,6
91,7
92,1
93,7
94,6
95,10
96,10
97,7
98,11
99,3
100,11
101,11
102,11
103,2
104,7
105,7
106,2
107,2
108,3
109,2
110,15
111,31
112,28
113,8
114,12
115,24
116,106
117,105
118,92
119,103
120,78
121,107
122,107
123,46
124,68
125,68
126,105
127,50
128,68
129,31
130,107
131,17
132,15
133,82
134,47
135,50
136,12
137,108
138,103
139,107
140,9
141,8
142,68
143,51
144,103
145,24
146,78
147,92
148,9
149,9
150,69
151,72
152,51
153,93
154,12
155,110
156,24
157,107
158,17
159,106
160,108
161,78
162,13
163,62
164,9
165,32
166,78
167,17
168,18
169,110
170,104
171,107
172,104
173,108
174,13
175,78
176,13
177,105
178,12
179,106
180,104
181,104
182,38
183,103
184,107
185,103
186,24
187,103
188,32
189,108
190,105
191,9
192,105
193,108
194,69
195,78
196,47
197,108
198,13
199,106
200,106
201,17
202,18
203,19
204,104
205,12
206,109
207,108
208,108
209,109
210,104
211,13
212,105
213,109
214,12
215,17
216,106
217,9
218,18
219,105
220,13
221,19
222,110
223,18
224,13
225,106
226,18
227,18
228,20
229,13
230,20
231,14
232,19
233,14
234,18
235,14
236,20
237,21
238,13
239,19
240,18
241,10
242,11
243,12
244,20
245,21
246,20
247,16
248,16
249,19
250,14
251,20
252,22
253,15
254,24
255,15
256,20
257,22
258,22
259,19
260,16
261,21
262,21
263,21
264,22
265,21
266,22
267,20
268,23
269,20
270,23
271,16
272,16
273,23
274,47
275,110
276,21
277,26
278,27
279,110
280,110
281,27
282,111
283,111
284,25
285,112
286,108
287,109
288,109
289,64
290,24
291,47
292,64
293,64
294,24
295,44
296,110
297,22
298,111
299,30
300,109
301,112
302,23
303,113
304,26
305,27
306,25
307,27
308,44
309,62
310,44
311,44
312,29
313,111
314,26
315,22
316,111
317,23
318,113
319,30
320,25
321,27
322,112
323,26
324,24
325,113
326,27
327,28
328,27
329,29
330,23
331,26
332,23
333,26
334,28
335,30
336,38
337,25
338,26
339,29
340,26
341,28
342,25
343,27
344,25
345,22
346,27
347,25
348,27
349,63
350,82
351,32
352,112
353,115
354,114
355,113
356,114
357,57
358,116
359,41
360,39
361,113
362,69
363,116
364,116
365,112
366,114
367,28
368,30
369,69
370,32
371,34
372,33
373,40
374,113
375,34
376,115
377,28
378,116
379,69
380,117
381,30
382,33
383,41
384,39
385,63
386,70
387,30
388,36
389,33
390,33
391,39
392,39
393,29
394,34
395,32
396,114
397,34
398,34
399,41
400,40
401,37
402,40
403,33
404,34
405,36
406,31
407,31
408,40
409,33
410,41
411,36
412,40
413,42
414,33
415,30
416,32
417,33
418,39
419,32
420,34
421,29
422,35
423,39
424,29
425,34
426,41
427,31
428,41
429,36
430,35
431,37
432,38
433,33
434,29
435,41
436,37
437,31
438,36
439,31
440,37
441,38
442,34
443,39
444,38
445,37
446,35
447,38
448,34
449,37
450,33
451,34
452,35
453,41
454,40
455,36
456,45
457,82
458,86
459,114
460,115
461,115
462,73
463,47
464,47
465,42
466,118
467,114
468,51
469,115
470,118
471,118
472,115
473,83
474,117
475,118
476,116
477,45
478,63
479,47
480,42
481,116
482,73
483,118
484,124
485,114
486,116
487,83
488,116
489,48
490,117
491,120
492,51
493,116
494,117
495,73
496,63
497,42
498,118
499,51
500,127
501,125
502,120
503,64
504,48
505,119
506,45
507,118
508,63
509,45
510,45
511,48
512,48
513,64
514,121
515,119
516,123
517,121
518,131
519,42
520,119
521,52
522,122
523,45
524,48
525,64
526,121
527,122
528,122
529,132
530,42
531,124
532,125
533,126
534,125
535,124
536,122
537,132
538,125
539,121
540,122
541,52
542,121
543,124
544,127
545,46
546,53
547,123
548,123
549,128
550,126
551,128
552,49
553,124
554,124
555,123
556,48
557,120
558,120
559,120
560,53
561,119
562,119
563,120
564,64
565,120
566,123
567,122
568,124
569,126
570,133
571,126
572,123
573,122
574,128
575,42
576,124
577,52
578,65
579,48
580,42
581,46
582,132
583,128
584,131
585,127
586,127
587,49
588,53
589,52
590,125
591,54
592,54
593,65
594,130
595,49
596,54
597,122
598,127
599,123
600,130
601,120
602,125
603,49
604,88
605,132
606,59
607,42
608,46
609,52
610,54
611,50
612,53
613,66
614,65
615,74
616,67
617,123
618,125
619,70
620,79
621,52
622,125
623,55
624,133
625,50
626,55
627,54
628,92
629,53
630,46
631,50
632,49
633,43
634,126
635,127
636,74
637,53
638,52
639,71
640,53
641,50
642,49
643,50
644,70
645,74
646,50
647,67
648,71
649,65
650,43
651,46
652,54
653,55
654,66
655,49
656,75
657,79
658,79
659,59
660,129
661,129
662,57
663,55
664,127
665,126
666,131
667,68
668,56
669,128
670,133
671,128
672,124
673,76
674,55
675,132
676,76
677,132
678,130
679,65
680,68
681,79
682,129
683,58
684,56
685,60
686,131
687,60
688,127
689,56
690,130
691,129
692,77
693,55
694,130
695,57
696,60
697,60
698,59
699,68
700,77
701,82
702,79
703,65
704,59
705,58
706,76
707,56
708,55
709,68
710,77
711,77
712,60
713,60
714,59
715,57
716,56
717,61
718,60
719,77
720,57
721,56
722,57
723,79
724,61
725,80
726,86
727,80
728,57
729,82
730,85
731,66
732,57
733,61
734,58
735,87
736,80
737,61
738,77
739,62
740,66
741,89
742,60
743,67
744,66
745,66
746,67
747,87
748,58
749,82
750,129
751,80
752,66
753,80
754,87
755,62
756,58
757,58
758,62
759,70
760,95
761,89
762,95
763,131
764,132
765,131
766,91
767,58
768,84
769,132
770,134
771,133
772,134
773,135
774,67
775,71
776,70
777,70
778,71
779,74
780,76
781,71
782,71
783,71
784,75
785,74
786,72
787,70
788,71
789,95
790,72
791,91
792,67
793,90
794,95
795,84
796,59
797,71
798,67
799,72
800,75
801,60
802,74
803,90
804,72
805,74
806,96
807,75
808,70
809,74
810,75
811,79
812,73
813,94
814,70
815,90
816,75
817,75
818,61
819,91
820,96
821,75
822,91
823,80
824,96
825,76
826,61
827,73
828,74
829,76
830,74
831,77
832,75
833,91
834,138
835,138
836,139
837,137
838,144
839,142
840,141
841,89
842,139
843,83
844,138
845,137
846,135
847,87
848,135
849,134
850,80
851,136
852,138
853,136
854,137
855,134
856,142
857,134
858,132
859,93
860,144
861,137
862,81
863,142
864,83
865,138
866,139
867,134
868,81
869,139
870,87
871,137
872,80
873,140
874,136
875,93
876,89
877,83
878,140
879,89
880,143
881,96
882,141
883,80
884,94
885,81
886,139
887,136
888,135
889,98
890,87
891,144
892,144
893,85
894,83
895,144
896,143
897,143
898,141
899,134
900,133
901,98
902,92
903,89
904,88
905,81
906,84
907,144
908,94
909,133
910,96
911,80
912,92
913,98
914,80
915,96
916,88
917,89
918,81
919,85
920,84
921,84
922,84
923,94
924,85
925,86
926,84
927,88
928,97
929,98
930,89
931,97
932,88
933,84
934,98
935,88
936,97
937,86
938,85
939,92
940,81
941,86
942,92
943,86
944,82
945,94
946,142
947,145
948,135
949,93
950,99
951,90
952,140
953,135
954,95
955,94
956,87
957,145
958,141
959,97
960,100
961,100
962,98
963,141
964,140
965,99
966,146
967,99
968,99
969,87
970,90
971,100
972,95
973,99
974,93
975,96
976,97
977,99
978,97
979,100
980,100
981,146
982,137
983,137
984,145
985,139
986,142
987,146
988,145
989,145
990,142
991,143
992,142
993,145
994,139
995,138
996,141
997,142
998,145
999,145
1000,146
