task,station
1,1
2,3
3,4
4,9
5,5
6,2
7,1
8,5
9,1
10,2
11,2
12,3
13,17
14,4
15,8
16,7
17,3
18,1
19,10
20,14
21,5
22,4
23,10
24,17
25,17
26,13
27,2
28,10
29,24
30,5
31,18
32,9
33,5
34,2
35,10
36,8
37,33
38,11
39,34
40,10
41,11
42,11
43,14
44,12
45,9
46,18
47,12
48,11
49,4
50,37
51,6
52,24
53,13
54,18
55,32
56,10
57,5
58,16
59,14
60,57
61,5
62,15
63,11
64,41
65,12
66,21
67,44
68,12
69,11
70,30
71,15
72,13
73,52
74,7
75,58
76,6
77,19
78,20
79,56
80,22
81,23
82,13
83,16
84,18
85,45
86,25
87,27
88,58
89,18
90,20
91,29
92,57
93,22
94,65
95,15
96,15
97,18
98,44
99,62
100,51
101,63
102,29
103,18
104,31
105,61
106,28
107,19
108,65
109,17
110,60
111,20
112,67
113,18
114,66
115,66
116,21
117,26
118,68
119,67
120,19
121,61
122,71
123,25
124,20
125,27
126,73
127,32
128,70
129,31
130,30
131,20
132,28
133,72
134,23
135,72
136,77
137,33
138,69
139,59
140,34
141,70
142,32
143,36
144,71
145,21
146,74
147,39
148,75
149,31
150,73
151,33
152,32
153,73
154,49
155,77
156,31
157,26
158,33
159,33
160,73
161,21
162,34
163,76
164,42
165,42
166,79
167,73
168,36
169,27
170,79
171,35
172,33
173,36
174,82
175,37
176,24
177,40
178,75
179,40
180,35
181,35
182,38
183,81
184,39
185,45
186,84
187,47
188,40
189,35
190,49
191,53
192,25
193,84
194,38
195,40
196,37
197,53
198,78
199,77
200,28
201,41
202,65
203,25
204,59
205,91
206,87
207,92
208,85
209,91
210,86
211,94
212,47
213,82
214,37
215,81
216,56
217,53
218,28
219,81
220,49
221,80
222,42
223,53
224,45
225,55
226,47
227,61
228,51
229,50
230,55
231,50
232,59
233,61
234,60
235,56
236,34
237,102
238,99
239,58
240,97
241,45
242,56
243,52
244,58
245,85
246,63
247,58
248,57
249,56
250,28
251,54
252,69
253,62
254,38
255,91
256,36
257,65
258,64
259,54
260,64
261,94
262,64
263,65
264,93
265,47
266,50
267,70
268,38
269,87
270,41
271,38
272,97
273,44
274,65
275,66
276,38
277,92
278,66
279,69
280,67
281,46
282,98
283,41
284,49
285,62
286,39
287,71
