station,load,cycle_time
1,838,1000
2,956,1000
3,968,1000
4,976,1000
5,959,1000
6,825,1000
7,974,1000
8,646,1000
9,807,1000
10,885,1000
11,886,1000
12,875,1000
13,756,1000
14,929,1000
15,1000,1000
16,907,1000
17,785,1000
18,943,1000
19,821,1000
20,515,1000
21,828,1000
22,967,1000
23,776,1000
24,893,1000
25,823,1000
26,811,1000
27,897,1000
28,535,1000
29,863,1000
30,891,1000
31,660,1000
32,988,1000
33,969,1000
34,633,1000
35,555,1000
36,994,1000
37,937,1000
38,808,1000
39,747,1000
40,764,1000
41,993,1000
42,839,1000
43,688,1000
44,966,1000
45,663,1000
46,911,1000
47,998,1000
48,605,1000
49,729,1000
50,912,1000
51,878,1000
52,973,1000
53,808,1000
54,968,1000
55,856,1000
56,975,1000
57,674,1000
58,908,1000
59,960,1000
60,529,1000
61,881,1000
62,941,1000
63,786,1000
64,845,1000
65,947,1000
66,997,1000
67,984,1000
68,859,1000
69,901,1000
70,946,1000
71,902,1000
72,970,1000
73,822,1000
74,742,1000
75,988,1000
76,927,1000
77,991,1000
78,877,1000
79,882,1000
80,775,1000
81,885,1000
82,972,1000
83,976,1000
84,937,1000
85,927,1000
86,924,1000
87,931,1000
88,810,1000
89,959,1000
90,967,1000
91,886,1000
92,927,1000
93,929,1000
94,841,1000
95,983,1000
96,640,1000
97,816,1000
98,986,1000
99,984,1000
100,942,1000
101,867,1000
102,962,1000
103,962,1000
104,445,1000
105,951,1000
106,926,1000
107,765,1000
108,871,1000
109,918,1000
110,741,1000
111,917,1000
112,925,1000
113,849,1000
114,789,1000
115,639,1000
116,776,1000
117,918,1000
118,957,1000
119,875,1000
120,816,1000
121,562,1000
122,785,1000
123,969,1000
124,719,1000
125,645,1000
126,907,1000
127,827,1000
128,901,1000
129,958,1000
130,946,1000
131,916,1000
132,998,1000
133,942,1000
134,917,1000
135,942,1000
136,858,1000
137,805,1000
138,893,1000
139,791,1000
140,846,1000
141,961,1000
142,994,1000
143,847,1000
144,935,1000
145,885,1000
146,787,1000
147,847,1000
148,993,1000
149,850,1000
150,740,1000
151,964,1000
152,770,1000
153,962,1000
154,981,1000
155,974,1000
156,984,1000
157,961,1000
158,986,1000
159,891,1000
160,886,1000
161,877,1000
162,861,1000
163,580,1000
164,739,1000
165,990,1000
166,903,1000
167,961,1000
168,991,1000
169,790,1000
170,921,1000
171,821,1000
172,765,1000
173,982,1000
174,799,1000
175,960,1000
176,847,1000
177,909,1000
178,933,1000
179,943,1000
180,933,1000
181,922,1000
182,527,1000
183,979,1000
184,951,1000
185,949,1000
186,964,1000
187,908,1000
188,896,1000
189,941,1000
190,862,1000
191,845,1000
192,861,1000
193,488,1000
194,950,1000
195,903,1000
196,820,1000
197,989,1000
198,976,1000
199,856,1000
200,938,1000
201,808,1000
202,786,1000
203,937,1000
204,773,1000
205,889,1000
206,927,1000
207,932,1000
208,783,1000
209,623,1000
210,858,1000
211,928,1000
212,907,1000
213,973,1000
214,850,1000
215,941,1000
216,967,1000
217,845,1000
218,932,1000
219,503,1000
220,545,1000
221,558,1000
222,877,1000
223,666,1000
224,861,1000
225,829,1000
226,686,1000
227,711,1000
228,885,1000
229,739,1000
230,780,1000
231,919,1000
232,918,1000
233,890,1000
234,864,1000
235,870,1000
236,651,1000
237,863,1000
238,875,1000
239,712,1000
240,510,1000
241,909,1000
242,974,1000
243,803,1000
244,979,1000
245,645,1000
246,971,1000
247,606,1000
248,872,1000
249,869,1000
250,999,1000
251,748,1000
252,801,1000
253,836,1000
254,943,1000
255,838,1000
256,767,1000
257,970,1000
258,514,1000
