task,station
1,2
2,2
3,1
4,2
5,2
6,1
7,7
8,2
9,1
10,16
11,3
12,5
13,4
14,1
15,5
16,2
17,1
18,2
19,1
20,6
21,5
22,1
23,8
24,3
25,4
26,3
27,6
28,3
29,1
30,3
31,4
32,3
33,9
34,5
35,7
36,1
37,8
38,7
39,12
40,8
41,6
42,9
43,9
44,2
45,7
46,3
47,8
48,8
49,12
50,8
51,11
52,10
53,5
54,10
55,10
56,2
57,15
58,11
59,17
60,2
61,6
62,9
63,9
64,4
65,4
66,13
67,4
68,9
69,4
70,14
71,6
72,20
73,12
74,11
75,16
76,7
77,6
78,16
79,13
80,10
81,14
82,10
83,12
84,16
85,16
86,17
87,13
88,15
89,17
90,6
91,15
92,13
93,20
94,15
95,20
96,17
97,12
98,10
99,7
100,17
101,13
102,19
103,14
104,26
105,8
106,18
107,20
108,17
109,11
110,13
111,16
112,15
113,23
114,20
115,13
116,21
117,15
118,19
119,14
120,17
121,16
122,23
123,32
124,22
125,26
126,15
127,11
128,27
129,29
130,18
131,17
132,18
133,25
134,12
135,29
136,18
137,22
138,18
139,17
140,33
141,51
142,24
143,35
144,19
145,23
146,29
147,28
148,19
149,26
150,33
151,30
152,22
153,22
154,41
155,20
156,24
157,30
158,19
159,22
160,26
161,31
162,31
163,23
164,26
165,25
166,34
167,25
168,25
169,21
170,43
171,43
172,30
173,35
174,27
175,34
176,24
177,25
178,26
179,31
180,20
181,24
182,32
183,38
184,27
185,45
186,38
187,50
188,44
189,54
190,21
191,23
192,21
193,23
194,36
195,36
196,38
197,27
198,47
199,45
200,36
201,40
202,24
203,50
204,24
205,34
206,30
207,34
208,32
209,27
210,32
211,30
212,28
213,28
214,32
215,30
216,29
217,27
218,35
219,43
220,23
221,46
222,38
223,22
224,27
225,40
226,29
227,37
228,24
229,38
230,48
231,38
232,34
233,51
234,31
235,25
236,26
237,49
238,51
239,30
240,28
241,35
242,40
243,34
244,36
245,33
246,31
247,30
248,52
249,40
250,36
251,51
252,33
253,37
254,38
255,53
256,32
257,36
258,35
259,54
260,49
261,40
262,35
263,33
264,37
265,41
266,47
267,61
268,37
