station,load,cycle_time
1,951,1000
2,858,1000
3,990,1000
4,957,1000
5,967,1000
6,876,1000
7,876,1000
8,983,1000
9,971,1000
10,822,1000
11,954,1000
12,965,1000
13,903,1000
14,857,1000
15,830,1000
16,967,1000
17,923,1000
18,929,1000
19,895,1000
20,944,1000
21,793,1000
22,963,1000
23,953,1000
24,930,1000
25,871,1000
26,946,1000
27,985,1000
28,829,1000
29,875,1000
30,919,1000
31,955,1000
32,996,1000
33,973,1000
34,972,1000
35,983,1000
36,956,1000
37,941,1000
38,964,1000
39,969,1000
40,963,1000
41,904,1000
42,955,1000
43,983,1000
44,881,1000
45,988,1000
46,963,1000
47,866,1000
48,843,1000
49,995,1000
50,990,1000
51,918,1000
52,939,1000
53,997,1000
54,884,1000
55,950,1000
56,862,1000
57,987,1000
58,959,1000
59,942,1000
60,994,1000
61,957,1000
62,957,1000
63,906,1000
64,962,1000
65,916,1000
66,969,1000
67,914,1000
68,847,1000
69,838,1000
70,949,1000
71,987,1000
72,919,1000
73,876,1000
74,930,1000
75,990,1000
76,987,1000
77,915,1000
78,867,1000
79,787,1000
80,877,1000
81,919,1000
82,942,1000
83,983,1000
84,935,1000
85,950,1000
86,931,1000
87,954,1000
88,932,1000
89,920,1000
90,990,1000
91,876,1000
92,798,1000
93,822,1000
94,731,1000
95,886,1000
96,914,1000
97,898,1000
98,946,1000
99,991,1000
100,850,1000
101,921,1000
102,953,1000
103,977,1000
104,794,1000
105,808,1000
106,986,1000
107,796,1000
108,948,1000
109,860,1000
110,930,1000
111,939,1000
112,915,1000
113,981,1000
114,994,1000
115,910,1000
116,894,1000
117,988,1000
118,923,1000
119,971,1000
120,914,1000
121,967,1000
122,994,1000
123,881,1000
124,888,1000
125,912,1000
126,996,1000
127,865,1000
128,976,1000
129,957,1000
130,839,1000
131,956,1000
132,923,1000
133,981,1000
134,914,1000
135,943,1000
136,835,1000
137,952,1000
138,975,1000
139,815,1000
140,839,1000
141,961,1000
142,996,1000
143,957,1000
144,939,1000
