station,load,cycle_time
1,944,1000
2,941,1000
3,875,1000
4,803,1000
5,845,1000
6,841,1000
7,962,1000
8,926,1000
9,819,1000
10,953,1000
11,828,1000
12,901,1000
13,979,1000
14,759,1000
15,831,1000
16,943,1000
17,810,1000
18,936,1000
19,930,1000
20,870,1000
21,911,1000
22,962,1000
23,878,1000
24,917,1000
25,784,1000
26,968,1000
27,886,1000
28,998,1000
29,962,1000
30,905,1000
31,942,1000
32,843,1000
33,911,1000
34,902,1000
35,956,1000
36,996,1000
37,942,1000
38,979,1000
39,891,1000
40,897,1000
41,843,1000
42,942,1000
43,984,1000
44,842,1000
45,948,1000
46,961,1000
47,973,1000
48,901,1000
49,974,1000
50,981,1000
51,947,1000
52,900,1000
53,868,1000
54,989,1000
55,944,1000
56,880,1000
57,998,1000
58,904,1000
59,919,1000
60,966,1000
61,956,1000
62,909,1000
63,983,1000
64,831,1000
65,957,1000
66,955,1000
67,992,1000
68,894,1000
69,915,1000
70,965,1000
71,937,1000
72,983,1000
73,856,1000
74,910,1000
75,928,1000
76,822,1000
77,986,1000
78,881,1000
79,935,1000
80,976,1000
81,928,1000
82,937,1000
83,908,1000
84,902,1000
85,922,1000
86,957,1000
87,918,1000
88,927,1000
89,895,1000
90,978,1000
91,896,1000
92,957,1000
93,993,1000
94,969,1000
95,828,1000
96,848,1000
97,886,1000
98,952,1000
99,873,1000
100,947,1000
101,982,1000
102,991,1000
103,919,1000
104,884,1000
105,845,1000
106,896,1000
107,963,1000
108,959,1000
109,976,1000
110,954,1000
111,947,1000
112,986,1000
113,926,1000
114,992,1000
115,997,1000
116,922,1000
117,997,1000
118,940,1000
119,997,1000
120,849,1000
121,891,1000
122,964,1000
123,920,1000
124,916,1000
125,929,1000
126,877,1000
127,942,1000
128,989,1000
129,930,1000
130,998,1000
131,964,1000
132,944,1000
133,921,1000
134,921,1000
135,952,1000
136,905,1000
137,864,1000
138,993,1000
139,966,1000
140,869,1000
141,854,1000
142,952,1000
143,890,1000
144,997,1000
145,993,1000
146,948,1000
147,956,1000
148,728,1000
